training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
-0.19262886,0.0,0.51240224,0.19262886,-0.19262886,1.0,0.0,3000.0,30.0,0,300.0,16.908876,3.8560033,0.30027467,-3.086927,445.45172,-413.03967,8453.077,0.100370616,0.9441237,0.9441237,0.0,0.0003,299.95334,0.009915751314163208,49.57876110076904,0,,,,,,,
-48.8299,0.03376969,0.082106665,48.86367,-48.86367,25265798.0,0.0,3000.0,30.0,2,300.0,2.7569077,447.22614,48.60919,-7.5998836,206.73715,-201.07771,6079.081,0.016040962,0.25265798,0.25265798,1e-05,0.0003,29.724403,0.008988158082962036,94.51955604553223,5000,,,,,,,
-556.15137,0.03274235,0.24687342,556.1841,-556.1841,104571010.0,0.0,3000.0,30.0,4,300.0,335.597,772.92584,540.4507,334.72372,430.1308,-437.99222,27129.764,0.036187038,1.0457101,1.0457101,2e-05,0.0003,93.15863,0.0037217470169067382,113.12829613685608,10000,,,,,,,
-770.4225,0.058577888,0.3318679,770.4811,-770.4811,70479590.0,0.0,3000.0,30.0,7,300.0,658.1587,1028.1254,751.4796,543.87354,511.6082,-448.49387,24412.1,0.034602597,0.7047959,0.7047959,3e-05,0.0003,99.17497,0.003736476516723633,131.8106827735901,15000,,,,,,,
-1119.6012,0.04534856,0.37274426,1119.6465,-1119.6465,51451250.0,0.0,3000.0,30.0,9,300.0,28.770855,1252.8076,1098.3843,929.68445,194.58652,-317.26016,7441.3755,0.025700476,0.5145125,0.5145125,4e-05,0.0003,-936.47656,0.003669850206375122,150.15993905067444,20000,,,,,,,
-1206.0754,0.023006849,0.15891147,1206.0984,-1206.0984,3.4551094,0.09732503,3000.0,30.0,12,300.0,71.22229,1439.2614,1190.9451,1000.9753,217.81282,-577.6265,11393.076,0.010412851,0.3362686,0.3362686,5e-05,0.0003,-1033.9725,0.0037543301105499266,168.93159365653992,25000,,,,,,,
-1292.4558,0.014838653,0.047027268,1292.4707,-1292.4707,1.090744,0.26102912,3000.0,30.0,14,300.0,582.55084,1592.6718,1289.5548,1050.1926,686.528,-4204.2446,25029.629,0.0063791005,0.28471595,0.28471595,6e-05,0.0003,-624.4902,0.003718362855911255,187.52341222763062,30000,,,,,,,
-1472.4646,0.06564619,0.71445566,1472.5303,-1472.5303,1.8404114,0.35943285,3000.0,30.0,17,300.0,129.32173,1736.2245,1435.0889,1173.1229,1219.2821,-225.96945,10177.416,0.05887775,0.66150427,0.66150427,6.9999995e-05,0.0003,-1144.6915,0.0037096923828125,206.07187795639038,35000,,,,,,,
-1690.4209,0.041467145,0.37173572,1690.4624,-1690.4624,1.4190856,0.4008825,3000.0,30.0,19,300.0,30.916273,1878.8833,1669.3789,1418.7988,130.93669,-348.39154,5381.0527,0.03467999,0.56888664,0.56888664,8e-05,0.0003,-1488.8386,0.003654637861251831,224.3450710773468,40000,,,,,,,
-1708.7677,0.023526404,0.18246298,1708.7913,-1708.7913,0.7906384,0.45715642,3000.0,30.0,20,300.0,131.22736,1968.118,1694.8872,1482.8093,7664.7764,-472.71964,22887.662,0.017911226,0.3614454,0.3614454,8.9999994e-05,0.0003,-1469.1067,0.0037278393268585204,242.98427200317383,45000,,,,,,,
-1779.0309,0.024825983,0.28393853,1779.0557,-1779.0557,0.88242584,0.48900792,3000.0,30.0,20,300.0,83.93914,2043.0767,1760.5254,1506.2178,345.32703,-9219.083,23369.996,0.017358473,0.43151322,0.43151322,1e-04,0.0003,-1565.6378,0.0037101043701171874,261.53479766845703,50000,,,,,,,
-1838.6769,0.011106887,0.055651147,1838.688,-1838.688,1.0778464,0.43848202,3000.0,30.0,20,300.0,317.16138,2110.0688,1834.2273,1528.8958,1101.8334,-20255.127,44770.664,0.007636685,0.47261626,0.47261626,9.999385e-05,0.0003,-1379.7306,0.00371955623626709,280.1325831413269,55000,,,,,,,
-1923.271,0.047582876,0.39788076,1923.3186,-1923.3186,0.912302,0.45150575,3000.0,30.0,20,300.0,114.575424,2175.1729,1900.2402,1691.7019,12267.558,-329.54266,25884.498,0.016058616,0.41190958,0.41190958,9.99754e-05,0.0003,-1685.1227,0.00365867600440979,298.4259672164917,60000,,,,,,,
-2008.751,0.02421993,0.24429561,2008.7751,-2008.7751,0.70602006,0.43134022,3000.0,30.0,20,300.0,44.00915,2240.7705,1990.7231,1828.5383,152.55429,-5264.757,11164.799,0.01572056,0.30453485,0.30453485,9.994465e-05,0.0003,-1873.3813,0.0036941602230072023,316.89677238464355,65000,,,,,,,
-2047.2845,0.048115745,0.39247426,2047.3326,-2047.3326,0.7726171,0.43034145,3000.0,30.0,20,300.0,34.603416,2274.3494,2023.0298,1806.8723,4301.3843,-122.13318,9722.074,0.025557112,0.33248916,0.33248916,9.990162e-05,0.0003,-1912.9344,0.0037204822540283203,335.499187707901,70000,,,,,,,
-2015.31,0.029207265,0.32415602,2015.3392,-2015.3392,0.5831714,0.42720017,3000.0,30.0,20,300.0,20.619268,2295.1323,1994.2412,1773.0292,2949.6191,-78.529564,6559.7295,0.016985787,0.24913093,0.24913093,9.984629e-05,0.0003,-1919.9515,0.0037221753120422365,354.11006784439087,75000,,,,,,,
-2075.9932,0.044302426,0.3915347,2076.0374,-2076.0374,0.99576205,0.39861444,3000.0,30.0,20,300.0,22.395939,2314.5552,2053.998,1817.1317,127.67154,-5354.622,10180.042,0.024219299,0.39692512,0.39692512,9.977873e-05,0.0003,-1934.5197,0.003663786315917969,372.42900347709656,80000,,,,,,,
-1997.1927,0.038256794,0.4682058,1997.231,-1997.231,0.9421793,0.37963396,3000.0,30.0,20,300.0,56.148285,2332.1367,1970.7805,1677.1427,490.17847,-7264.5537,13967.947,0.019283164,0.35768324,0.35768324,9.969891e-05,0.0003,-1833.7395,0.0037228111743927003,391.04306292533875,85000,,,,,,,
-1916.3337,0.007613456,0.028660439,1916.3413,-1916.3413,0.36901137,0.34882486,3000.0,30.0,20,300.0,145.70674,2331.678,1915.9641,1753.4346,2889.0571,-203.22096,8210.663,0.0047539906,0.12872034,0.12872034,9.9606885e-05,0.0003,-1732.0109,0.0037055505752563475,409.5708203315735,90000,,,,,,,
-2146.5808,0.036422968,0.49887863,2146.6172,-2146.6172,1.1428992,0.31867248,3000.0,30.0,20,300.0,197.65628,2357.338,2121.9397,1933.0071,27261.41,-2988.084,49929.348,0.043433603,0.3642105,0.3642105,9.950265e-05,0.0003,-1839.6614,0.0036487850189208986,427.8147497177124,95000,,,,,,,
-2117.369,0.010413549,0.08222798,2117.3794,-2117.3794,1.5676391,0.31543553,3000.0,30.0,20,300.0,538.995,2388.5842,2110.7559,1929.9473,4196.823,-36697.855,62214.1,0.007033444,0.49448907,0.49448907,9.938626e-05,0.0003,-1430.0272,0.0036966353416442873,446.29793071746826,100000,,,,,,,
-2083.8933,0.011852033,0.038561463,2083.9053,-2083.9053,0.55983925,0.33130664,3000.0,30.0,20,300.0,159.67096,2410.4124,2082.0913,1897.0414,320.9368,-3663.8765,9896.601,0.0073531517,0.18547846,0.18547846,9.9257726e-05,0.0003,-1868.5789,0.007086785840988159,481.7318639755249,105000,,,,,,,
-2165.896,0.032145184,0.40228784,2165.9282,-2165.9282,1.4983236,0.31558847,3000.0,30.0,20,300.0,115.528595,2397.6042,2144.872,1940.2767,23836.377,-837.9031,39795.695,0.023099909,0.47285366,0.47285366,9.91171e-05,0.0003,-1908.5114,0.0037134650230407715,500.2991933822632,110000,,,,,,,
-2091.1108,0.010323787,0.032285206,2091.121,-2091.121,0.5839712,0.34024084,3000.0,30.0,20,300.0,13.274618,2376.7344,2089.3428,1882.1365,23.063425,-616.65643,2184.2832,0.00592963,0.19869086,0.19869086,9.896442e-05,0.0003,-2018.2289,0.0036610550880432128,518.6044731140137,115000,,,,,,,
-2110.7773,0.03652722,0.4490639,2110.814,-2110.814,0.76366955,0.35694918,3000.0,30.0,20,300.0,25.434076,2372.8467,2086.9087,1874.9468,144.98824,-224.89818,2338.9038,0.01915582,0.27259123,0.27259123,9.8799705e-05,0.0003,-2003.5659,0.0037338366031646726,537.2736604213715,120000,,,,,,,
-2112.44,0.041398246,0.45431113,2112.4814,-2112.4814,1.4102608,0.35091683,3000.0,30.0,20,300.0,40.335346,2363.7852,2086.459,1777.3412,67.61581,-2423.0022,5620.403,0.0167035,0.49488425,0.49488425,9.8623015e-05,0.0003,-1923.6392,0.0037061240673065187,555.8042850494385,125000,,,,,,,
-2088.0283,0.050792474,0.46804395,2088.079,-2088.079,1.4108272,0.33986875,3000.0,30.0,20,300.0,98.81937,2353.0227,2064.704,1789.174,17392.646,-539.812,30550.771,0.021807913,0.47949606,0.47949606,9.843441e-05,0.0003,-1845.3601,0.003712466335296631,574.3666236400604,130000,,,,,,,
