training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.28470463,0.0,0.43014118,-0.28470463,0.28470463,1.0,0.0,330000.0,3300.0,0,33000.0,303.8808,3.1194437,-0.40330333,-3.7581298,56993.234,-49015.09,1152877.1,0.08416908,0.9195273,0.9195273,0.0,0.0003,30648.566,0.008697757959365844,43.48879384994507,0,,,,,,,
-98.07798,0.031626087,0.09555421,98.109604,-98.109604,24812690.0,0.0,330000.0,3300.0,2,33000.0,79.43165,1112.479,97.82637,-35.628593,23224.328,-15821.763,413058.62,0.017219383,0.24812691,0.24812691,1e-05,0.0003,8169.5415,0.009215150117874146,89.56454920768738,5000,,,,,,,
-191.28278,0.0152066685,0.047608104,191.29799,-191.29799,16355205.0,0.0,330000.0,3300.0,4,33000.0,66.03056,2644.9714,191.25507,-66.049034,31124.791,-29303.98,462479.56,0.0077397493,0.16355205,0.16355205,2e-05,0.0003,5271.965,0.0037204031467437744,108.1665689945221,10000,,,,,,,
-262.90732,0.011279024,0.039178446,262.9186,-262.9186,15732396.0,0.0,330000.0,3300.0,7,33000.0,148.67058,4070.6794,262.86798,-103.305756,28391.307,-35411.47,329259.56,0.006044462,0.15732396,0.15732396,3e-05,0.0003,5077.4536,0.0037171143054962157,126.75214505195618,15000,,,,,,,
-319.09344,0.006424146,0.030369643,319.09988,-319.09988,12166550.0,0.0,330000.0,3300.0,9,33000.0,94.3948,5288.3643,319.4477,-192.31107,15044.888,-17876.887,232641.22,0.0056969537,0.1216655,0.1216655,4e-05,0.0003,3790.2627,0.003660157775878906,145.05293774604797,20000,,,,,,,
-455.74118,0.007198545,0.032796558,455.74838,-455.74838,1.7883658,0.084831536,330000.0,3300.0,12,33000.0,81.83632,6284.7266,455.55475,-174.09839,14751.609,-21714.396,219523.23,0.003406073,0.15170982,0.15170982,5e-05,0.0003,4632.5195,0.0037696927070617675,163.90140891075134,25000,,,,,,,
-651.52216,0.008590991,0.03657914,651.53076,-651.53076,1.274019,0.11533238,330000.0,3300.0,14,33000.0,77.544464,7096.9233,651.3662,-196.22647,16482.324,-21425.357,173405.28,0.0050291736,0.14693564,0.14693564,6e-05,0.0003,4274.8984,0.0037121307373046875,182.4620668888092,30000,,,,,,,
-683.04626,0.007068651,0.031042792,683.05334,-683.05334,0.9888106,0.14159185,330000.0,3300.0,17,33000.0,70.90871,7760.206,681.8618,-154.41428,11667.024,-22246.18,159437.67,0.0070108017,0.14000753,0.14000753,6.9999995e-05,0.0003,4008.1108,0.003724658393859863,201.08536291122437,35000,,,,,,,
-604.2794,0.012944528,0.031333882,604.29236,-604.29236,0.62506866,0.15505804,330000.0,3300.0,19,33000.0,96.17142,8292.9375,604.07263,-319.61893,14644.259,-10050.782,138525.75,0.005503407,0.09692192,0.09692192,8e-05,0.0003,2690.3154,0.003668560075759888,219.42816805839539,40000,,,,,,,
-679.20807,0.0065107094,0.0320644,679.2146,-679.2146,1.019424,0.13869634,330000.0,3300.0,20,33000.0,98.73044,8718.56,678.54456,-190.09967,10910.298,-8193.64,122640.96,0.0051880246,0.14139038,0.14139038,8.9999994e-05,0.0003,4085.4053,0.003711370849609375,237.9850263595581,45000,,,,,,,
