training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.012237668,0.0,0.7173909,-0.012237668,0.012237668,1.0,0.0,30000.0,300.0,0,3000.0,1529.8362,3.8536587,-0.030983903,-3.040214,7738.262,-7481.4727,134990.48,0.1352163,1.1686206,1.1686206,0.0,0.0003,5035.71,0.01033788022994995,51.68940496444702,0,,,,,,,
-493.76843,0.059617054,0.08135901,493.82806,-493.82806,25531588.0,0.0,30000.0,300.0,2,3000.0,894.08215,1006.4189,496.23813,-8.475109,2525.929,-2494.7412,97193.664,0.018834703,0.25531587,0.25531587,1e-05,0.0003,1166.2614,0.007492842960357666,89.1536238193512,5000,,,,,,,
-1145.6747,0.049586736,0.05187598,1145.7242,-1145.7242,20049376.0,0.0,30000.0,300.0,4,3000.0,1391.7068,2074.627,1147.251,2.82903,4694.7734,-5974.365,101911.24,0.011642218,0.20049375,0.20049375,2e-05,0.0003,847.51337,0.0037270726680755616,107.78899145126343,10000,,,,,,,
-1822.4492,0.026799073,0.028842403,1822.4761,-1822.4761,17100156.0,0.0,30000.0,300.0,7,3000.0,5568.0605,3004.7632,1815.9874,-21.967035,21766.44,-22041.799,371708.62,0.0053857453,0.17100155,0.17100155,3e-05,0.0003,4258.616,0.0037333839416503907,126.45591592788696,15000,,,,,,,
-2437.354,0.026882896,0.026467245,2437.3809,-2437.3809,17286182.0,0.0,30000.0,300.0,9,3000.0,5184.1104,3742.7566,2430.3481,-93.72966,9203.699,-10083.726,264345.97,0.0046717916,0.17286183,0.17286183,4e-05,0.0003,3265.3418,0.0036662742137908936,144.78729128837585,20000,,,,,,,
-3125.7834,0.054522607,0.07657297,3125.838,-3125.838,3.3799317,0.09122485,30000.0,300.0,12,3000.0,3507.8362,4314.27,3126.0625,-19.934153,5032.2344,-8757.396,177883.06,0.012916179,0.30833375,0.30833375,5e-05,0.0003,1307.054,0.0037361690998077395,163.46814131736755,25000,,,,,,,
-3518.7263,0.026810423,0.031810205,3518.7532,-3518.7532,1.5303141,0.12762797,30000.0,300.0,14,3000.0,3913.0205,4754.1733,3514.9812,10.545589,3645.5981,-3608.3462,170508.1,0.006595278,0.19531088,0.19531088,6e-05,0.0003,980.2268,0.0037596569061279297,182.2664303779602,30000,,,,,,,
-3834.433,0.03274023,0.090458654,3834.4658,-3834.4658,1.4415483,0.18325269,30000.0,300.0,17,3000.0,7082.7783,5118.24,3796.6538,8.5219145,3177.5327,-3318.0403,192768.6,0.012345435,0.2641676,0.2641676,6.9999995e-05,0.0003,4040.8481,0.0037119592666625977,200.8262312412262,35000,,,,,,,
-4163.5947,0.030965485,0.020767435,4163.6255,-4163.6255,0.73681605,0.21178044,30000.0,300.0,19,3000.0,2328.1265,5405.901,4159.7607,44.245407,1296.3405,-1687.7651,82115.72,0.0045163915,0.15604323,0.15604323,8e-05,0.0003,-1367.3386,0.003718875789642334,219.4206154346466,40000,,,,,,,
-4516.294,0.022572163,0.020002242,4516.3164,-4516.3164,0.77323735,0.19652574,30000.0,300.0,20,3000.0,2078.0017,5647.3784,4512.9795,460.12842,2310.3386,-1998.8015,88999.95,0.00439785,0.15196103,0.15196103,8.9999994e-05,0.0003,-1982.4092,0.0036699100494384765,237.770170211792,45000,,,,,,,
