training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.10818009,0.0,0.3877815,-0.10818009,0.10818009,1.0,0.0,30000.0,300.0,0,3000.0,123.269196,2.7377276,0.11762454,-3.5874968,4222.948,-3813.4268,75448.57,0.07599237,0.8313438,0.8313438,0.0,0.0003,2617.409,0.008801856327056885,44.00928544998169,0,,,,,,,
-127.20538,0.020614007,0.07845478,127.226,-127.226,22644504.0,0.0,30000.0,300.0,2,3000.0,17.356384,689.6208,127.20443,-6.521875,1441.7208,-1594.9336,54027.477,0.014212681,0.22644505,0.22644505,1e-05,0.0003,569.48615,0.009059728574752807,89.30793380737305,5000,,,,,,,
-258.8447,0.015359804,0.057936873,258.86005,-258.86005,19782594.0,0.0,30000.0,300.0,4,3000.0,13.737024,1244.711,258.3222,-6.8800974,2673.4631,-2960.2146,61008.758,0.009793037,0.19782594,0.19782594,2e-05,0.0003,348.37018,0.0037380768299102784,107.99832224845886,10000,,,,,,,
-464.52435,0.011488121,0.059268616,464.53583,-464.53583,19040858.0,0.0,30000.0,300.0,7,3000.0,128.82547,1676.5427,461.3294,-10.792158,1581.9928,-1731.5435,39073.45,0.010625374,0.19040859,0.19040859,3e-05,0.0003,235.52689,0.003739423608779907,126.6954448223114,15000,,,,,,,
-1206.5902,0.00802215,0.047365066,1206.5983,-1206.5983,19296266.0,0.0,30000.0,300.0,9,3000.0,367.96313,2012.8899,1203.4878,127.88587,2309.145,-1083.732,35148.656,0.007205454,0.19296266,0.19296266,4e-05,0.0003,-259.73907,0.0036927353858947753,145.15912580490112,20000,,,,,,,
-1490.0768,0.020673238,0.103428386,1490.0974,-1490.0974,3.5011284,0.08573173,30000.0,300.0,12,3000.0,108.65045,2269.6843,1490.5527,735.11597,1387.6794,-1274.3771,15581.891,0.018192517,0.3001578,0.3001578,5e-05,0.0003,-480.95294,0.0037728342533111573,164.02330112457275,25000,,,,,,,
-1365.0956,0.0118044745,0.05482308,1365.1074,-1365.1074,1.616442,0.12391825,30000.0,300.0,14,3000.0,73.72053,2469.6084,1361.3105,558.5377,577.03906,-571.79193,16772.25,0.008878007,0.20030665,0.20030665,6e-05,0.0003,-690.455,0.0037372818946838377,182.7097146511078,30000,,,,,,,
-1376.5529,0.008864796,0.042881794,1376.5618,-1376.5618,0.9170677,0.17124644,30000.0,300.0,17,3000.0,122.23747,2634.258,1373.5955,546.54034,720.47253,-471.6015,16366.193,0.00897669,0.15704457,0.15704457,6.9999995e-05,0.0003,-783.1817,0.0037483019351959228,201.45122861862183,35000,,,,,,,
-1439.7643,0.01018434,0.04667205,1439.7744,-1439.7744,0.90206885,0.19393508,30000.0,300.0,19,3000.0,199.98022,2772.2722,1436.8351,466.95203,458.38672,-472.941,19826.895,0.0076753134,0.17494279,0.17494279,8e-05,0.0003,-714.9557,0.0036814430713653563,219.85844802856445,40000,,,,,,,
-1577.6898,0.0072714174,0.052854806,1577.6971,-1577.6971,0.95107716,0.18853329,30000.0,300.0,20,3000.0,220.55096,2881.408,1567.8872,368.73334,586.8742,-340.50778,17139.957,0.00960821,0.1793097,0.1793097,8.9999994e-05,0.0003,-819.20984,0.003740928554534912,238.5630977153778,45000,,,,,,,
-1702.4694,0.0071965964,0.04744662,1702.4766,-1702.4766,0.9527281,0.18647085,30000.0,300.0,20,3000.0,318.88593,2966.3594,1690.9421,288.92685,505.79327,-375.61368,18651.205,0.008077989,0.17765601,0.17765601,1e-04,0.0003,-850.6155,0.0037433784484863283,257.27999353408813,50000,,,,,,,
-1753.5623,0.0076709483,0.030441143,1753.57,-1753.57,0.8041535,0.18948127,30000.0,300.0,20,3000.0,2744.8433,3034.7842,1753.7747,248.95465,1658.1536,-1470.6682,72264.63,0.0068868482,0.15237203,0.15237203,9.999385e-05,0.0003,1448.3971,0.003737560796737671,275.96780157089233,55000,,,,,,,
-1930.311,0.008069336,0.046051934,1930.3191,-1930.3191,0.9352771,0.19048648,30000.0,300.0,20,3000.0,395.39154,3097.156,1922.2305,686.90936,407.63226,-394.93314,19302.6,0.0076342006,0.17815764,0.17815764,9.99754e-05,0.0003,-1000.44653,0.0036954110622406007,294.4448606967926,60000,,,,,,,
-2097.237,0.006023717,0.04057052,2097.2432,-2097.2432,0.9710172,0.18860959,30000.0,300.0,20,3000.0,1654.198,3153.4075,2090.4238,166.88564,1204.4838,-533.5027,53141.484,0.008877037,0.18314314,0.18314314,9.994465e-05,0.0003,106.39038,0.003734379243850708,313.116760969162,65000,,,,,,,
-2212.5938,0.008822786,0.04216218,2212.6025,-2212.6025,0.9683125,0.19217831,30000.0,300.0,20,3000.0,412.49213,3199.7617,2199.1338,122.1785,204.8561,-380.25043,18990.309,0.007439237,0.18608867,0.18608867,9.990162e-05,0.0003,-1241.8356,0.0037369741439819337,331.8016359806061,70000,,,,,,,
-2162.616,0.005581765,0.038245607,2162.6216,-2162.6216,0.71983707,0.19212095,30000.0,300.0,20,3000.0,182.07564,3228.29,2159.151,123.65923,171.46964,-178.81621,11761.496,0.0064705503,0.13829578,0.13829578,9.984629e-05,0.0003,-1565.653,0.003742720651626587,350.5152442455292,75000,,,,,,,
-2226.9895,0.010505257,0.06672338,2227.0,-2227.0,1.6524372,0.18692248,30000.0,300.0,20,3000.0,719.40186,3245.807,2201.557,1186.4847,502.87723,-188.40038,24075.342,0.007917503,0.30887765,0.30887765,9.977873e-05,0.0003,-580.9547,0.003694228219985962,368.98639035224915,80000,,,,,,,
-2135.2637,0.0076367585,0.04204407,2135.2712,-2135.2712,1.0351278,0.19228466,30000.0,300.0,20,3000.0,267.63385,3255.4053,2120.455,91.17038,341.87064,-160.13112,18537.824,0.007882159,0.19903919,0.19903919,9.969891e-05,0.0003,-1270.5123,0.0037509706497192382,387.7412476539612,85000,,,,,,,
-2135.1506,0.0056029665,0.03785323,2135.1562,-2135.1562,0.7628989,0.1910761,30000.0,300.0,20,3000.0,251.2832,3268.5554,2131.2017,1162.4812,126.14472,-316.44174,17290.598,0.0069691823,0.14577174,0.14577174,9.9606885e-05,0.0003,-1446.5522,0.0037558349132537842,406.52042627334595,90000,,,,,,,
-2216.0725,0.0076059336,0.034891654,2216.08,-2216.08,0.7638916,0.1932873,30000.0,300.0,20,3000.0,483.87433,3285.522,2213.0022,46.86834,882.15674,-880.99457,31932.748,0.006324559,0.14765054,0.14765054,9.950265e-05,0.0003,-1289.2466,0.003747835111618042,425.259605884552,95000,,,,,,,
-2256.1318,0.0057587065,0.03415602,2256.1377,-2256.1377,0.67505574,0.19593166,30000.0,300.0,20,3000.0,1073.2703,3295.9863,2256.0352,1189.2789,525.4526,-212.46718,28934.824,0.006038045,0.1322648,0.1322648,9.938626e-05,0.0003,-786.0672,0.003676104211807251,443.6401307582855,100000,,,,,,,
-2124.4622,0.0071972217,0.037179362,2124.4692,-2124.4692,0.7600085,0.1902185,30000.0,300.0,20,3000.0,124.380226,3305.5076,2123.6602,46.035057,147.69855,-194.68834,9435.203,0.0069558932,0.14456767,0.14456767,9.9257726e-05,0.0003,-1566.3789,0.007115328979492188,479.21678042411804,105000,,,,,,,
-2093.0789,0.0037091598,0.03316976,2093.0825,-2093.0825,0.91087323,0.180377,30000.0,300.0,20,3000.0,166.30856,3311.1323,2089.5994,1183.9055,154.04744,-167.98956,11263.469,0.0041381684,0.16430059,0.16430059,9.91171e-05,0.0003,-1433.8685,0.003757186508178711,498.00272130966187,110000,,,,,,,
-2169.0293,0.0048294812,0.03135382,2169.0342,-2169.0342,0.7521545,0.17706163,30000.0,300.0,20,3000.0,131.39276,3318.014,2167.2595,18.400665,122.44327,-123.919815,9712.857,0.006835749,0.13317771,0.13317771,9.896442e-05,0.0003,-1638.1033,0.0037634486198425293,516.819970369339,115000,,,,,,,
