training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.113674864,0.0,0.4129077,-0.113674864,0.113674864,1.0,0.0,110000.0,1100.0,0,11000.0,243.14293,3.7109785,0.21083742,-3.442274,15595.704,-18275.613,318205.03,0.0828025,0.8335409,0.8335409,0.0,0.0003,9412.207,0.006629498863220215,33.14749836921692,0,,,,,,,
-76.64229,0.028529953,0.09522603,76.670815,-76.670815,26449538.0,0.0,110000.0,1100.0,2,11000.0,103.31944,1118.3195,76.60046,-40.6355,7946.4624,-9087.242,148554.88,0.019111961,0.26449537,0.26449537,1e-05,0.0003,2936.1265,0.009067899847030639,78.48700189590454,5000,,,,,,,
-231.52254,0.0148100965,0.051088583,231.53735,-231.53735,16409473.0,0.0,110000.0,1100.0,4,11000.0,238.93088,2640.1348,231.09021,-65.327286,8045.0825,-11654.698,187704.83,0.007723787,0.16409473,0.16409473,2e-05,0.0003,1812.4503,0.0037149003982543945,97.0615074634552,10000,,,,,,,
-237.65497,0.011004226,0.047656078,237.66597,-237.66597,14235173.0,0.0,110000.0,1100.0,7,11000.0,70.37109,4057.4758,237.33301,-93.21196,5009.283,-6338.0835,137507.69,0.0065987376,0.14235173,0.14235173,3e-05,0.0003,1398.5852,0.0037093120098114015,115.60807180404663,15000,,,,,,,
-381.12375,0.011581161,0.040843785,381.1353,-381.1353,18314446.0,0.0,110000.0,1100.0,9,11000.0,113.55121,5266.4966,380.9417,-185.93404,6824.217,-9860.276,103792.84,0.0065281955,0.18314445,0.18314445,4e-05,0.0003,1747.0165,0.0036538079261779787,133.87711668014526,20000,,,,,,,
-456.074,0.009192228,0.040734548,456.0832,-456.0832,1.569847,0.08578187,110000.0,1100.0,12,11000.0,99.8203,6254.543,455.8568,-155.81418,5597.345,-3847.497,75905.94,0.0060738637,0.13466442,0.13466442,5e-05,0.0003,1125.0549,0.0037381940841674805,152.56809401512146,25000,,,,,,,
-677.48566,0.0072367936,0.03829973,677.4929,-677.4929,1.1828173,0.114236794,110000.0,1100.0,14,11000.0,111.333534,7057.3994,677.06213,-141.71806,5992.2607,-5561.492,64297.555,0.0047760317,0.13512126,0.13512126,6e-05,0.0003,920.18176,0.003708708715438843,171.11164164543152,30000,,,,,,,
-659.1043,0.008387743,0.03357989,659.1127,-659.1127,1.001291,0.14368589,110000.0,1100.0,17,11000.0,88.70947,7710.4585,658.28687,-256.8546,6259.2925,-3497.155,57555.863,0.0048128315,0.1438714,0.1438714,6.9999995e-05,0.0003,1012.1905,0.003699311113357544,189.60820126533508,35000,,,,,,,
-748.699,0.009198491,0.03637084,748.7082,-748.7082,0.8689102,0.15643813,110000.0,1100.0,19,11000.0,176.33112,8244.064,746.39233,-72.60556,4316.608,-2864.9355,57436.84,0.0056828666,0.13593069,0.13593069,8e-05,0.0003,922.8697,0.003654128170013428,207.8788459300995,40000,,,,,,,
-727.34534,0.011038555,0.029677672,727.3564,-727.3564,0.88714457,0.14426404,110000.0,1100.0,20,11000.0,68.5253,8670.449,726.14966,-114.46509,2099.3533,-3683.9385,41268.266,0.004292912,0.12798306,0.12798306,8.9999994e-05,0.0003,748.99365,0.003694956970214844,226.35363483428955,45000,,,,,,,
-745.0337,0.0054796184,0.029238192,745.0392,-745.0392,1.0500567,0.13712434,110000.0,1100.0,20,11000.0,116.569,6716.125,743.04443,-304.9009,4006.7373,-2549.404,38540.1,0.003735648,0.14398834,0.14398834,1e-04,0.0003,955.407,0.0037043763637542725,244.8755238056183,50000,,,,,,,
-995.6473,0.023660427,0.01961428,995.67096,-995.67096,1.0257859,0.13434717,110000.0,1100.0,20,11000.0,156.53737,9278.88,996.9076,-127.49917,8456.498,-7696.554,81153.08,0.004522228,0.13781144,0.13781144,9.999385e-05,0.0003,676.81586,0.003705442190170288,263.40273904800415,55000,,,,,,,
-908.8151,0.01200779,0.07500565,908.82715,-908.82715,1.6270683,0.1357936,110000.0,1100.0,20,11000.0,300.18594,9515.723,909.6683,-200.5932,128873.7,-174026.44,501578.25,0.011371611,0.22094545,0.22094545,9.99754e-05,0.0003,1821.7708,0.0036501943588256834,281.6537148952484,60000,,,,,,,
-1162.8403,0.013673025,0.040368747,1162.854,-1162.854,0.9459016,0.14062023,110000.0,1100.0,20,11000.0,408.3496,9808.783,1160.4724,-11.782872,21032.615,-9842.241,102390.17,0.005579515,0.13301289,0.13301289,9.994465e-05,0.0003,708.6511,0.003692684078216553,300.1171395778656,65000,,,,,,,
-1296.7307,0.010293638,0.03721457,1296.741,-1296.741,0.99234176,0.14069913,110000.0,1100.0,20,11000.0,397.4779,10195.717,1294.5784,-111.36493,3778.7878,-4526.8604,68172.19,0.0063227853,0.13962163,0.13962163,9.990162e-05,0.0003,636.5851,0.003700146484375,318.6178767681122,70000,,,,,,,
-1348.4568,0.009997318,0.040201176,1348.4668,-1348.4668,0.9808865,0.14013284,110000.0,1100.0,20,11000.0,581.4769,10421.388,1338.707,-36.771397,1210.6046,-1403.0267,64116.082,0.006672055,0.13745442,0.13745442,9.984629e-05,0.0003,745.0188,0.0037064720153808595,337.1502437591553,75000,,,,,,,
-6111.1772,0.015314436,0.07099213,6111.1924,-6111.1924,2.0586565,0.15326613,110000.0,1100.0,20,11000.0,58694.945,9964.518,5927.1377,-21.735035,22437.176,-21140.078,898120.0,0.00649688,0.3155223,0.3155223,9.977873e-05,0.0003,56054.516,0.0036455160617828368,355.3778278827667,80000,,,,,,,
-6928.756,0.008791968,0.03444933,6928.7646,-6928.7646,0.75769466,0.16237544,110000.0,1100.0,20,11000.0,2379.1565,10321.53,6922.8906,2629.9182,2877.6118,-2326.8762,127202.03,0.007066522,0.123031005,0.123031005,9.969891e-05,0.0003,-3196.2585,0.0037109889030456544,373.9327766895294,85000,,,,,,,
-6138.691,0.009112513,0.02703985,6138.7,-6138.7,0.6785419,0.16839866,110000.0,1100.0,20,11000.0,1839.0432,10507.948,6131.6914,-55.721478,2130.135,-4319.685,138492.94,0.005922937,0.114265546,0.114265546,9.9606885e-05,0.0003,-3042.7266,0.0037114287853240967,392.48992443084717,90000,,,,,,,
-5838.0864,0.0074013565,0.042349257,5838.0938,-5838.0938,1.2972649,0.16929401,110000.0,1100.0,20,11000.0,6655.784,10587.707,5769.2783,-252.64334,3785.358,-9177.633,241483.28,0.0043825703,0.21961918,0.21961918,9.950265e-05,0.0003,3233.5088,0.0037045230865478517,411.0125436782837,95000,,,,,,,
-6060.7188,0.0039535286,0.026250318,6060.7227,-6060.7227,0.6915416,0.1684408,110000.0,1100.0,20,11000.0,1697.9888,10736.3545,6050.596,2821.7732,1016.9504,-2702.0227,79523.67,0.007946802,0.11648382,0.11648382,9.938626e-05,0.0003,-3081.408,0.0036406081199645995,429.2155885696411,100000,,,,,,,
-6996.986,0.015222978,0.047030002,6997.001,-6997.001,1.6488243,0.16365257,110000.0,1100.0,20,11000.0,16250.331,10934.509,6931.9033,-401.77222,5967.26,-34302.652,476127.62,0.00509952,0.26983434,0.26983434,9.9257726e-05,0.0003,12221.523,0.008126127576828002,469.846230506897,105000,,,,,,,
-6700.7354,0.007807968,0.03316626,6700.743,-6700.743,0.93229324,0.17073435,110000.0,1100.0,20,11000.0,2291.6038,10960.122,6677.5635,-90.11388,1274.8287,-4135.7607,83016.91,0.006022761,0.15917447,0.15917447,9.91171e-05,0.0003,-2658.2126,0.0037208909511566163,488.45068979263306,110000,,,,,,,
-6939.713,0.007699879,0.024877217,6939.7207,-6939.7207,0.7281971,0.17028353,110000.0,1100.0,20,11000.0,1698.7266,11073.286,6927.503,3011.5205,3069.8657,-2924.807,80095.39,0.0034433445,0.12399997,0.12399997,9.896442e-05,0.0003,-3876.9868,0.0037208641052246094,507.0550150871277,115000,,,,,,,
-7070.0674,0.008535274,0.028384563,7070.0757,-7070.0757,0.6124543,0.16029915,110000.0,1100.0,20,11000.0,1194.4736,11203.422,7061.6465,4426.5493,801.7004,-4472.9043,67894.195,0.0044880398,0.098175906,0.098175906,9.8799705e-05,0.0003,-4795.6587,0.003663966131210327,525.3748495578766,120000,,,,,,,
-6984.728,0.0073670465,0.047085654,6984.7354,-6984.7354,1.2636946,0.14718325,110000.0,1100.0,20,11000.0,3765.9185,11251.159,6934.341,2873.1792,14326.082,-1669.3474,155335.06,0.005489463,0.1859947,0.1859947,9.8623015e-05,0.0003,-1172.8679,0.0037058682441711427,543.904194355011,125000,,,,,,,
-7356.8403,0.013971419,0.08357247,7356.8545,-7356.8545,2.3966126,0.14977895,110000.0,1100.0,20,11000.0,11599.346,11246.969,7245.95,-389.22775,3210.3843,-49510.266,375261.53,0.0072083035,0.3589621,0.3589621,9.843441e-05,0.0003,8191.0884,0.0037052526473999024,562.4304621219635,130000,,,,,,,
-7733.015,0.010477828,0.029381273,7733.0254,-7733.0254,0.9047994,0.16633314,110000.0,1100.0,20,11000.0,1266.8787,11504.482,7720.9717,13.916317,757.8973,-3252.4253,66608.45,0.0048940964,0.15049812,0.15049812,9.823391e-05,0.0003,-4810.657,0.003661183738708496,580.7363843917847,135000,,,,,,,
-7126.341,0.004560824,0.024468211,7126.345,-7126.345,0.71060306,0.1661895,110000.0,1100.0,20,11000.0,993.2281,11299.105,7121.0815,-5.343581,1220.0483,-654.6589,57200.117,0.004271377,0.11809477,0.11809477,9.8021614e-05,0.0003,-4834.0703,0.0037055497169494627,599.2641372680664,140000,,,,,,,
-6950.7876,0.013094692,0.06871156,6950.801,-6950.801,1.4498899,0.16055095,110000.0,1100.0,20,11000.0,26854.121,11337.526,6864.138,-27.201096,70978.65,-8241.62,507305.7,0.004443592,0.2327812,0.2327812,9.779754e-05,0.0003,22463.928,0.003704457664489746,617.7864294052124,145000,,,,,,,
-7768.989,0.009425542,0.02190785,7768.998,-7768.998,0.6609922,0.17356567,110000.0,1100.0,20,11000.0,3713.9158,11402.859,7763.612,4428.0815,2421.8157,-1497.5112,95385.26,0.0052938852,0.11472555,0.11472555,9.756177e-05,0.0003,-2793.0918,0.003735692596435547,636.4648990631104,150000,,,,,,,
-7594.3975,0.004226504,0.025611388,7594.402,-7594.402,0.5908249,0.17922293,110000.0,1100.0,20,11000.0,1356.5594,11289.496,7593.624,592.2472,1119.9788,-2288.6106,66219.86,0.003057068,0.105889365,0.105889365,9.7314376e-05,0.0003,-5073.0547,0.003660921382904053,654.7695100307465,155000,,,,,,,
-6813.14,0.0033015877,0.02535296,6813.1436,-6813.1436,0.74359137,0.17664881,110000.0,1100.0,20,11000.0,1174.6771,11355.828,6795.327,-139.34709,4948.2974,-662.0645,67691.25,0.0035688793,0.13135453,0.13135453,9.7055396e-05,0.0003,-4193.563,0.003703148031234741,673.2852537631989,160000,,,,,,,
-6616.988,0.01705306,0.10694253,6617.005,-6617.005,1.8075626,0.1765392,110000.0,1100.0,20,11000.0,7638.97,11361.794,6483.753,260.56863,3106.6687,-3598.643,135165.38,0.0042581977,0.31910565,0.31910565,9.6784934e-05,0.0003,4532.1445,0.003713907289505005,691.8547945022583,165000,,,,,,,
-6464.3213,0.0052536656,0.021340005,6464.3267,-6464.3267,0.73267204,0.1716264,110000.0,1100.0,20,11000.0,1335.5542,11496.042,6458.6636,-250.93507,601.0374,-1510.2886,52634.867,0.0032321268,0.12574586,0.12574586,9.6503034e-05,0.0003,-3745.5625,0.003711879873275757,710.4141979217529,170000,,,,,,,
-6013.588,0.0045898375,0.022633128,6013.5923,-6013.5923,0.79474384,0.15220255,110000.0,1100.0,20,11000.0,1522.6201,11364.436,6008.658,-451.0254,1640.5625,-3399.4136,82549.81,0.0029835608,0.12096204,0.12096204,9.62098e-05,0.0003,-3160.3853,0.003655219125747681,728.6902980804443,175000,,,,,,,
-5518.917,0.0040608305,0.02002023,5518.921,-5518.921,0.6768308,0.1560348,110000.0,1100.0,20,11000.0,3163.9995,11175.956,5517.083,-418.8593,4346.581,-1820.2202,89735.11,0.003784744,0.10560916,0.10560916,9.59053e-05,0.0003,-1193.2167,0.0037104289531707762,747.2424466609955,180000,,,,,,,
-8449.291,0.0050913845,0.021707663,8449.296,-8449.296,1.0271449,0.1617677,110000.0,1100.0,20,11000.0,6096.628,11294.367,8434.311,-438.50577,10145.917,-8779.182,245832.28,0.0036756354,0.16615887,0.16615887,9.558961e-05,0.0003,-524.9155,0.0037137771129608153,765.8113360404968,185000,,,,,,,
-7705.1284,0.0033856553,0.020177348,7705.132,-7705.132,0.75213754,0.138205,110000.0,1100.0,20,11000.0,9144.512,11323.803,7702.4863,-385.85596,43463.78,-5766.4214,379330.97,0.0028332851,0.103949174,0.103949174,9.526282e-05,0.0003,2582.8242,0.0037161798000335694,784.3922395706177,190000,,,,,,,
-7079.9834,0.0056255264,0.021337228,7079.9893,-7079.9893,0.8272979,0.12900911,110000.0,1100.0,20,11000.0,3352.0527,11263.155,7074.867,-341.21912,3523.4255,-4646.567,142500.55,0.004305566,0.10672897,0.10672897,9.4925024e-05,0.0003,-2553.912,0.003657182741165161,802.6781570911407,195000,,,,,,,
-7413.652,0.017091695,0.16260849,7413.669,-7413.669,1.9659314,0.12791327,110000.0,1100.0,20,11000.0,7616.414,11390.142,7240.5557,-311.11215,35319.035,-3587.33,227821.75,0.009830936,0.25146872,0.25146872,9.457632e-05,0.0003,2968.9182,0.0037079949378967286,821.2181355953217,200000,,,,,,,
-7156.7256,0.005696272,0.031022623,7156.7314,-7156.7314,1.5026056,0.13389738,110000.0,1100.0,20,11000.0,3993.3218,11367.781,7125.0615,-490.46863,3811.5852,-38352.047,234938.16,0.002927867,0.20119494,0.20119494,9.42168e-05,0.0003,-950.2595,0.007701923274993897,859.7277565002441,205000,,,,,,,
-7064.6333,0.0044233114,0.025050718,7064.6377,-7064.6377,0.75301236,0.12827063,110000.0,1100.0,20,11000.0,24815.361,11220.657,7039.4043,3375.487,27771.012,-5421.9053,444331.84,0.0031413306,0.096589364,0.096589364,9.384654e-05,0.0003,18813.21,0.003713474655151367,878.2951340675354,210000,,,,,,,
-7328.531,0.0033495065,0.017766591,7328.534,-7328.534,0.77603656,0.13234453,110000.0,1100.0,20,11000.0,1779.7379,11476.728,7323.179,-326.79535,1306.4878,-7420.217,81233.84,0.0023453936,0.10270419,0.10270419,9.346567e-05,0.0003,-4419.047,0.003654393720626831,896.5671067237854,215000,,,,,,,
-7458.817,0.0069929743,0.027669597,7458.8237,-7458.8237,1.0941781,0.13076258,110000.0,1100.0,20,11000.0,1982.1907,11317.448,7435.1416,-430.86935,5022.8125,-1926.9735,90721.78,0.003485759,0.14307754,0.14307754,9.30743e-05,0.0003,-3902.773,0.0037058568477630616,915.0963959693909,220000,,,,,,,
-8090.6284,0.01914275,0.21584386,8090.6475,-8090.6475,3.4763443,0.13336669,110000.0,1100.0,20,11000.0,11287.561,11587.805,7831.208,-350.1232,10969.271,-4559.296,282347.06,0.005378799,0.46362853,0.46362853,9.267249e-05,0.0003,8296.846,0.003708441162109375,933.6386053562164,225000,,,,,,,
-8566.409,0.0037086112,0.022019103,8566.413,-8566.413,0.6405905,0.13963175,110000.0,1100.0,20,11000.0,1635.9758,11706.727,8555.781,2767.8154,791.0783,-4896.7417,75956.93,0.0034553811,0.08944677,0.08944677,9.2260394e-05,0.0003,-5946.519,0.003711129140853882,952.1942551136017,230000,,,,,,,
