training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.012237668,0.0,0.7173909,-0.012237668,0.012237668,1.0,0.0,100000.0,1000.0,0,10000.0,1529.8362,3.8536587,-0.030983903,-3.040214,25786.139,-24942.582,439513.3,0.1352163,1.1686206,1.1686206,0.0,0.0003,13216.055,0.007279443550109863,36.39722180366516,0,,,,,,,
-488.82208,0.05912612,0.081541345,488.8812,-488.8812,25415460.0,0.0,100000.0,1000.0,2,10000.0,1127.7068,1004.6393,491.9957,-7.4905357,10106.959,-9395.058,274226.28,0.018784206,0.2541546,0.2541546,1e-05,0.0003,3180.4307,0.007751259660720825,75.15352487564087,5000,,,,,,,
-1117.6279,0.041206084,0.045997273,1117.6692,-1117.6692,20315898.0,0.0,100000.0,1000.0,4,10000.0,1564.692,2070.0664,1119.6877,3.233382,10277.001,-20277.06,204906.34,0.010727185,0.20315897,0.20315897,2e-05,0.0003,2478.6538,0.003752015495300293,93.91360640525818,10000,,,,,,,
-1679.8767,0.026230438,0.0292111,1679.903,-1679.903,16479132.0,0.0,100000.0,1000.0,7,10000.0,6605.976,3023.1643,1679.2073,-8.569773,8811.003,-11051.542,286350.56,0.0059657483,0.16479132,0.16479132,3e-05,0.0003,6574.0127,0.0037232726097106935,112.52997350692749,15000,,,,,,,
-2186.4114,0.025748283,0.023206672,2186.437,-2186.437,11724487.0,0.0,100000.0,1000.0,9,10000.0,12017.114,3807.589,2185.7517,-61.84166,21308.605,-20749.832,761530.3,0.004490505,0.11724487,0.11724487,4e-05,0.0003,11003.152,0.0036698596000671385,130.87927746772766,20000,,,,,,,
-2519.3965,0.023012865,0.024359643,2519.4194,-2519.4194,1.602972,0.09089162,100000.0,1000.0,12,10000.0,5785.6,4435.8247,2515.308,-147.96423,12931.255,-12982.062,359246.28,0.0029759246,0.14569673,0.14569673,5e-05,0.0003,4723.171,0.0037239132404327394,149.49884724617004,25000,,,,,,,
-2904.4678,0.019837867,0.016862938,2904.4875,-2904.4875,1.035511,0.12478131,100000.0,1000.0,14,10000.0,8201.743,4939.7227,2905.4683,-218.59837,11658.415,-11918.308,410946.97,0.003801787,0.12921244,0.12921244,6e-05,0.0003,6589.4,0.003774928140640259,168.37349200248718,30000,,,,,,,
-3083.4443,0.017643485,0.021502562,3083.462,-3083.462,0.8042679,0.14412521,100000.0,1000.0,17,10000.0,6393.44,5338.994,3083.3267,-308.50992,9164.105,-8775.216,323885.25,0.0040098103,0.115915276,0.115915276,6.9999995e-05,0.0003,4469.1484,0.0037189823150634766,186.96840810775757,35000,,,,,,,
-3365.7224,0.026130203,0.018331937,3365.7485,-3365.7485,0.5447944,0.15163195,100000.0,1000.0,19,10000.0,5409.9004,5661.496,3363.5146,-383.40198,10714.825,-6191.6465,252632.38,0.0038125971,0.08260824,0.08260824,8e-05,0.0003,2870.2603,0.003709737825393677,205.51710104942322,40000,,,,,,,
-3562.9236,0.01737826,0.018383753,3562.941,-3562.941,0.88636905,0.13119046,100000.0,1000.0,20,10000.0,4087.0396,5904.4385,3560.278,-871.4059,24791.621,-25944.732,637434.5,0.0035319314,0.11628317,0.11628317,8.9999994e-05,0.0003,1686.9476,0.0036677785873413084,223.8559980392456,45000,,,,,,,
-3832.02,0.018573333,0.017968806,3832.0386,-3832.0386,0.73305213,0.12166246,100000.0,1000.0,20,10000.0,8541.453,6096.9287,3832.4011,-617.9276,32948.074,-29811.557,790935.1,0.005552863,0.089184925,0.089184925,1e-04,0.0003,5601.282,0.003708032989501953,242.39616656303406,50000,,,,,,,
-4048.7566,0.019779366,0.015800238,4048.7764,-4048.7764,0.8527452,0.108041026,100000.0,1000.0,20,10000.0,6174.864,6281.3364,4042.841,-717.5334,8484.79,-7636.7793,291374.88,0.0029746143,0.092131466,0.092131466,9.999385e-05,0.0003,3047.4219,0.0037183021068572996,260.98768043518066,55000,,,,,,,
