training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,1000.0,10.0,0,100.0,3.5033045,4.5016212,0.30088872,-3.954447,287.86465,-277.6997,3389.1746,0.0,1.40382,1.40382,0.0,0.0003,143.88531,0.006713927316665649,33.56988334655762,0,,,,,,,,,,,,,,,,,,,,,,
0.026606936,0.0,64974028.0,0.0,1000.0,10.0,2,100.0,0.9457203,-0.18921617,-21.49265,-24.995527,131.5245,-133.01085,4314.463,0.0,0.6497403,0.6497403,1e-05,0.0003,65.94636,0.0208940860748291,138.04042506217957,5000,,,,,,,,,,,,,,,,,,,,,,
0.024419505,0.0,61580410.0,0.0,1000.0,10.0,4,100.0,1.4023658,0.6546174,-33.396374,-42.884575,161.75014,-148.97621,3999.7944,0.0,0.6158041,0.6158041,2e-05,0.0003,63.00719,0.007966300106048584,177.87202501296997,10000,,,,,,,,,,,,,,,,,,,,,,
0.016849166,0.0,53969944.0,0.0,1000.0,10.0,7,100.0,2.3043334,-0.46333304,-39.665764,-56.319477,300.93857,-193.65459,3425.0706,0.0,0.53969944,0.53969944,3e-05,0.0003,56.291126,0.007782215976715088,216.7832067012787,15000,,,,,,,,,,,,,,,,,,,,,,
0.010648094,0.0,53339796.0,0.0,1000.0,10.0,9,100.0,2.3219457,0.9639006,-41.13575,-66.643105,205.2398,-161.08272,2541.8462,0.0,0.533398,0.533398,4e-05,0.0003,55.67239,0.007841011095046996,255.98831272125244,20000,,,,,,,,,,,,,,,,,,,,,,
0.009538365,0.0,2.0198555,0.23318033,1000.0,10.0,12,100.0,2.0197368,-2.475861,-48.201744,-74.5739,172.47525,-67.93267,1923.4817,0.0,0.47099057,0.47099057,5e-05,0.0003,49.12833,0.007567148065567016,293.82408833503723,25000,,,,,,,,,,,,,,,,,,,,,,
0.00730774,0.0,1.2376447,0.3716759,1000.0,10.0,14,100.0,3.1507626,0.09877922,-44.560455,-81.43134,99.210045,-79.937935,1776.4392,0.0,0.46000266,0.46000266,6e-05,0.0003,49.158337,0.008238016939163208,335.0142092704773,30000,,,,,,,,,,,,,,,,,,,,,,
0.010621233,0.0,0.9111179,0.48695895,1000.0,10.0,17,100.0,1.9402366,1.0975393,-46.90108,-86.71242,50.77319,-64.16636,1348.4025,0.0,0.443677,0.443677,6.9999995e-05,0.0003,46.31856,0.00762268476486206,373.127671957016,35000,,,,,,,,,,,,,,,,,,,,,,
0.008537978,0.0,0.9350541,0.5356238,1000.0,10.0,19,100.0,2.4987094,0.3892156,-44.285748,-91.316574,72.07886,-51.34415,1111.5547,0.0,0.5008372,0.5008372,8e-05,0.0003,52.59097,0.007532131624221802,410.7884337902069,40000,,,,,,,,,,,,,,,,,,,,,,
0.009054498,0.0,0.8200793,0.53315884,1000.0,10.0,20,100.0,1.4457955,-0.16934884,-48.488903,-93.99833,21.485434,-31.4533,1022.04614,0.0,0.43723252,0.43723252,8.9999994e-05,0.0003,45.1781,0.007844250583648682,450.0097620487213,45000,,,,,,,,,,,,,,,,,,,,,,
0.009560596,0.0,0.9572082,0.51768905,1000.0,10.0,20,100.0,1.5555253,0.6055968,-45.549976,-97.719154,16.885515,-20.898106,993.82166,0.0,0.4955362,0.4955362,1e-04,0.0003,51.118706,0.007558530616760254,487.8024916648865,50000,,,,,,,,,,,,,,,,,,,,,,
0.008433741,0.0,1.008334,0.4976266,1000.0,10.0,20,100.0,1.5484021,0.20847206,-50.92932,-99.99188,19.431282,-21.464453,868.766,0.0,0.50177383,0.50177383,9.999385e-05,0.0003,51.73422,0.008106144142150879,528.3332605361938,55000,,,,,,,,,,,,,,,,,,,,,,
0.012572605,0.0,0.98032284,0.4839935,1000.0,10.0,20,100.0,2.3131382,2.3825264,-45.041428,-101.98212,13.981327,-13.448035,805.99,0.0,0.47446987,0.47446987,9.99754e-05,0.0003,49.772697,0.00734092960357666,565.037962436676,60000,,,,,,,,,,,,,,,,,,,,,,
0.008493014,0.0,1.00547,0.47622433,1000.0,10.0,20,100.0,1.4021602,-3.1809819,-51.96055,-102.40179,18.319313,-15.413057,884.8048,0.0,0.47882932,0.47882932,9.994465e-05,0.0003,49.293583,0.007609542560577392,603.0857222080231,65000,,,,,,,,,,,,,,,,,,,,,,
0.00897707,0.0,0.8670335,0.46827754,1000.0,10.0,20,100.0,1.3906424,1.997358,-47.86769,-100.78197,14.535526,-15.367189,756.9774,0.0,0.40601233,0.40601233,9.990162e-05,0.0003,42.000854,0.007479814147949218,640.4848432540894,70000,,,,,,,,,,,,,,,,,,,,,,
0.0067591453,0.0,0.9005715,0.46344343,1000.0,10.0,20,100.0,1.2944187,1.2549931,-47.70578,-103.088585,22.632689,-13.6248455,767.72437,0.0,0.41736397,0.41736397,9.984629e-05,0.0003,43.037575,0.007665662479400635,678.8132064342499,75000,,,,,,,,,,,,,,,,,,,,,,
0.011166234,0.0,0.98834133,0.4598286,1000.0,10.0,20,100.0,1.3759155,-1.5711515,-50.52575,-103.093315,15.251336,-12.505499,745.07477,0.0,0.4544676,0.4544676,9.977873e-05,0.0003,46.83384,0.007503743886947632,716.3320317268372,80000,,,,,,,,,,,,,,,,,,,,,,
0.008266741,0.0,1.0531155,0.45194444,1000.0,10.0,20,100.0,1.647208,0.8437545,-44.347984,-103.115654,14.696016,-18.285809,714.359,0.0,0.4759497,0.4759497,9.969891e-05,0.0003,49.250446,0.0075097938060760495,753.8811075687408,85000,,,,,,,,,,,,,,,,,,,,,,
0.006448479,0.0,1.0326234,0.44465372,1000.0,10.0,20,100.0,1.3325005,-2.1866705,-48.870827,-103.18431,18.155476,-17.10722,802.68835,0.0,0.4591598,0.4591598,9.9606885e-05,0.0003,47.254925,0.007377682065963745,790.7696316242218,90000,,,,,,,,,,,,,,,,,,,,,,
0.0059464187,0.0,0.9976554,0.43827233,1000.0,10.0,20,100.0,1.2211316,-0.20701477,-49.591213,-102.766174,24.086145,-16.766285,826.49243,0.0,0.43724477,0.43724477,9.950265e-05,0.0003,44.951553,0.007296251010894776,827.2509841918945,95000,,,,,,,,,,,,,,,,,,,,,,
0.008216584,0.0,1.1120766,0.4424184,1000.0,10.0,20,100.0,1.3690684,0.5934391,-44.755775,-103.00316,14.78786,-15.5092535,811.16736,0.0,0.49200314,0.49200314,9.938626e-05,0.0003,50.5776,0.00705951714515686,862.5486660003662,100000,,,,,,,,,,,,,,,,,,,,,,
0.0059813205,0.0,0.9690839,0.4371399,1000.0,10.0,20,100.0,1.5883042,-2.279558,-48.096592,-100.67223,15.466802,-13.6422205,641.48895,0.0,0.42362523,0.42362523,9.9257726e-05,0.0003,43.956806,0.011635360717773437,920.7257766723633,105000,,,,,,,,,,,,,,,,,,,,,,
0.007239373,0.0,1.082943,0.44110176,1000.0,10.0,20,100.0,1.6592994,-1.6309528,-50.326885,-101.19635,12.985392,-14.16979,709.5456,0.0,0.47768804,0.47768804,9.91171e-05,0.0003,49.43534,0.00807881941795349,961.1201202869415,110000,,,,,,,,,,,,,,,,,,,,,,
