training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,90000.0,900.0,0,9000.0,16.908583,3.8545947,0.30013457,-3.0868514,13353.893,-13591.726,284245.66,0.0,1.0299811,1.0299811,0.0,0.0003,9286.738,0.006954026126861572,34.770389556884766,0,,,,,,,,,,,,,,,,,,,,,,,
0.011762675,0.0,24999218.0,0.0,90000.0,900.0,2,9000.0,1.4438727,460.9985,39.547314,-9.554356,4671.424,-4575.9395,309533.75,0.0,0.24999218,0.24999218,1e-05,0.0003,2251.3853,0.013680122661590577,103.17120504379272,5000,,,,,,,,,,,,,,,,,,,,,,,
0.0047765183,0.0,20272530.0,0.0,90000.0,900.0,4,9000.0,4.9809427,841.04065,95.11779,-13.458463,6654.1934,-8063.452,251729.31,0.0,0.20272529,0.20272529,2e-05,0.0003,1829.5133,0.008619178247451783,146.26729559898376,10000,,,,,,,,,,,,,,,,,,,,,,,
0.008675831,0.0,14361978.0,0.0,90000.0,900.0,7,9000.0,3.075491,1142.0771,148.77144,-18.466305,4607.147,-3671.1973,169271.56,0.0,0.14361978,0.14361978,3e-05,0.0003,1295.6621,0.00858353853225708,189.18515801429749,15000,,,,,,,,,,,,,,,,,,,,,,,
0.0066503272,0.0,16091424.0,0.0,90000.0,900.0,9,9000.0,3.5074263,1379.8184,168.99039,-24.1889,6268.9146,-4941.098,126081.34,0.0,0.16091424,0.16091424,4e-05,0.0003,1451.7422,0.008568862676620484,232.02964758872986,20000,,,,,,,,,,,,,,,,,,,,,,,
0.007838781,0.0,1.291323,0.10316076,90000.0,900.0,12,9000.0,3.8884366,1559.5183,224.98303,-30.35126,5401.7554,-5778.819,100485.96,0.0,0.13321386,0.13321386,5e-05,0.0003,1202.821,0.008583737325668335,274.94850897789,25000,,,,,,,,,,,,,,,,,,,,,,,
0.007072302,0.0,1.0753509,0.13842127,90000.0,900.0,14,9000.0,8.318562,1693.7579,280.51447,-42.920216,8286.744,-8420.687,95293.08,0.0,0.14885144,0.14885144,6e-05,0.0003,1347.9886,0.008717449235916138,318.53593945503235,30000,,,,,,,,,,,,,,,,,,,,,,,
0.0075891837,0.0,0.7509679,0.16331376,90000.0,900.0,17,9000.0,19.803295,1800.584,319.13043,-72.80184,3180.7134,-6591.7705,95125.46,0.0,0.122643396,0.122643396,6.9999995e-05,0.0003,1123.6014,0.008601411056518555,361.5431818962097,35000,,,,,,,,,,,,,,,,,,,,,,,
0.0065303226,0.0,0.68565917,0.17169513,90000.0,900.0,19,9000.0,25.857658,1883.0077,334.9412,-119.08789,7749.629,-4991.82,67952.97,0.0,0.11772433,0.11772433,8e-05,0.0003,1085.383,0.008590618896484376,404.49646615982056,40000,,,,,,,,,,,,,,,,,,,,,,,
0.0065559214,0.0,0.7772328,0.14745432,90000.0,900.0,20,9000.0,17.588085,1953.8218,321.07352,-172.98152,2180.3308,-7200.161,70922.12,0.0,0.114606336,0.114606336,8.9999994e-05,0.0003,1049.0516,0.008790095329284668,448.4471354484558,45000,,,,,,,,,,,,,,,,,,,,,,,
0.006962091,0.0,0.7596486,0.13789813,90000.0,900.0,20,9000.0,62.64012,2013.35,359.90173,-243.93677,3738.8704,-2403.14,58592.914,0.0,0.10475412,0.10475412,1e-04,0.0003,1005.4342,0.008509432411193847,490.9944899082184,50000,,,,,,,,,,,,,,,,,,,,,,,
0.005829592,0.0,0.9064846,0.12627359,90000.0,900.0,20,9000.0,29.49313,2056.1133,356.748,-307.40283,1898.0928,-3222.5947,57431.1,0.0,0.114465065,0.114465065,9.999385e-05,0.0003,1059.6844,0.008554671430587768,533.76802110672,55000,,,,,,,,,,,,,,,,,,,,,,,
0.0038892138,0.0,0.7442023,0.12104451,90000.0,900.0,20,9000.0,21.521198,2093.5425,320.51108,-248.4441,2844.6057,-3653.658,57772.305,0.0,0.0900816,0.0900816,9.99754e-05,0.0003,832.2595,0.008270694923400879,575.1216697692871,60000,,,,,,,,,,,,,,,,,,,,,,,
0.004236176,0.0,0.731647,0.114736654,90000.0,900.0,20,9000.0,11.40664,2117.7893,441.5963,-253.40477,2012.9058,-3014.8926,44101.215,0.0,0.083946735,0.083946735,9.994465e-05,0.0003,766.9315,0.008487586879730225,617.5597803592682,65000,,,,,,,,,,,,,,,,,,,,,,,
0.005186503,0.0,1.0435498,0.10984037,90000.0,900.0,20,9000.0,67.623695,2137.2068,419.73547,-276.28674,1644.425,-2269.2725,54018.68,0.0,0.114623904,0.114623904,9.990162e-05,0.0003,1099.244,0.008423187112808227,659.6758725643158,70000,,,,,,,,,,,,,,,,,,,,,,,
0.005169651,0.0,0.9041789,0.10644354,90000.0,900.0,20,9000.0,55.00515,2150.8894,381.95566,-179.63387,2402.402,-2427.1665,51569.25,0.0,0.09624401,0.09624401,9.984629e-05,0.0003,921.20636,0.008593722772598266,702.6446433067322,75000,,,,,,,,,,,,,,,,,,,,,,,
0.004513395,0.0,0.791662,0.10308435,90000.0,900.0,20,9000.0,28.094578,2157.2288,377.43073,-236.4153,1526.6438,-2452.5208,50897.66,0.0,0.08160795,0.08160795,9.977873e-05,0.0003,762.5707,0.00833615002632141,744.3255701065063,80000,,,,,,,,,,,,,,,,,,,,,,,
0.005165494,0.0,0.95404905,0.098062515,90000.0,900.0,20,9000.0,20.92389,2159.5676,388.1299,-163.87071,1284.5111,-2382.5024,47264.56,0.0,0.09355645,0.09355645,9.969891e-05,0.0003,862.93713,0.008507111167907715,786.8612780570984,85000,,,,,,,,,,,,,,,,,,,,,,,
0.0039061552,0.0,0.801457,0.09236257,90000.0,900.0,20,9000.0,25.917439,2153.4143,365.5848,-173.85818,1182.9712,-1337.3496,45461.695,0.0,0.074024625,0.074024625,9.9606885e-05,0.0003,692.14294,0.008106122779846191,827.3920595645905,90000,,,,,,,,,,,,,,,,,,,,,,,
0.0038986336,0.0,0.824597,0.08922021,90000.0,900.0,20,9000.0,16.85426,2156.3262,390.7524,-161.92082,1865.687,-2190.0635,48036.984,0.0,0.07357072,0.07357072,9.950265e-05,0.0003,678.9946,0.008170102357864379,868.2427489757538,95000,,,,,,,,,,,,,,,,,,,,,,,
0.0025961201,0.0,1.0280313,0.08950075,90000.0,900.0,20,9000.0,105.47974,2150.0264,410.03156,-195.77368,1296.9895,-1060.0768,47057.543,0.0,0.092009574,0.092009574,9.938626e-05,0.0003,933.5685,0.008194281578063964,909.2143132686615,100000,,,,,,,,,,,,,,,,,,,,,,,
