training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,110000.0,1100.0,0,11000.0,303.88135,3.1206045,-0.40305838,-3.7598984,26444.092,-20324.812,446667.84,0.0,0.9881264,0.9881264,0.0,0.0003,11173.271,0.008844052982330323,44.22054600715637,0,,,,,,,,,,,,,,,,,,,,,,,
0.011051895,0.0,21855194.0,0.0,110000.0,1100.0,2,11000.0,30.628242,1169.8618,64.908295,-44.1436,5714.803,-4702.172,262076.9,0.0,0.21855195,0.21855195,1e-05,0.0003,2434.711,0.01451084179878235,116.77494311332703,5000,,,,,,,,,,,,,,,,,,,,,,,
0.007292819,0.0,18623520.0,0.0,110000.0,1100.0,4,11000.0,73.00485,2723.2922,125.41157,-81.70082,10763.885,-12926.029,292161.47,0.0,0.1862352,0.1862352,2e-05,0.0003,2121.5994,0.008194660472869873,157.74841380119324,10000,,,,,,,,,,,,,,,,,,,,,,,
0.0051016374,0.0,13852990.0,0.0,110000.0,1100.0,7,11000.0,39.680992,4158.2886,183.19556,-138.89038,7589.4077,-9239.478,172294.03,0.0,0.1385299,0.1385299,3e-05,0.0003,1563.5149,0.008029889345169067,197.8980257511139,15000,,,,,,,,,,,,,,,,,,,,,,,
0.004538484,0.0,17017248.0,0.0,110000.0,1100.0,9,11000.0,72.2834,5366.0913,217.45956,-192.67764,12127.549,-10112.801,167241.97,0.0,0.17017248,0.17017248,4e-05,0.0003,1944.1853,0.0082410315990448,239.10335302352905,20000,,,,,,,,,,,,,,,,,,,,,,,
0.004745453,0.0,1.5638422,0.09405184,110000.0,1100.0,12,11000.0,65.744995,6349.4873,330.2241,-228.74416,9248.406,-7849.1885,108106.29,0.0,0.14708224,0.14708224,5e-05,0.0003,1683.6544,0.00807568531036377,279.4819555282593,25000,,,,,,,,,,,,,,,,,,,,,,,
0.006011929,0.0,1.2257843,0.12881896,110000.0,1100.0,14,11000.0,62.16202,7151.957,506.89075,-263.02487,7745.2603,-5937.573,102430.32,0.0,0.15790425,0.15790425,6e-05,0.0003,1799.1149,0.008364061260223389,321.3024501800537,30000,,,,,,,,,,,,,,,,,,,,,,,
0.0042054215,0.0,0.92857116,0.15727694,110000.0,1100.0,17,11000.0,60.941406,7800.224,526.5867,-264.39935,6312.8184,-3818.1558,84477.32,0.0,0.14604284,0.14604284,6.9999995e-05,0.0003,1667.4167,0.00817045373916626,362.15487456321716,35000,,,,,,,,,,,,,,,,,,,,,,,
0.006952898,0.0,0.7435238,0.16927946,110000.0,1100.0,19,11000.0,115.48417,8314.593,473.43915,-357.85913,7226.611,-5644.013,70317.234,0.0,0.1258633,0.1258633,8e-05,0.0003,1499.9874,0.007839554309844971,401.35282826423645,40000,,,,,,,,,,,,,,,,,,,,,,,
0.00547004,0.0,0.78546125,0.1521235,110000.0,1100.0,20,11000.0,98.91413,8718.048,546.49207,-279.97556,4834.246,-5151.363,73234.25,0.0,0.11948711,0.11948711,8.9999994e-05,0.0003,1413.2777,0.007816805458068848,440.43702816963196,45000,,,,,,,,,,,,,,,,,,,,,,,
0.00479776,0.0,0.7042843,0.14369015,110000.0,1100.0,20,11000.0,96.69933,9042.173,492.39407,-289.7572,3592.574,-4174.4824,72261.766,0.0,0.10119872,0.10119872,1e-04,0.0003,1209.89,0.00784596300125122,479.6670341491699,50000,,,,,,,,,,,,,,,,,,,,,,,
0.0028236911,0.0,0.8328635,0.1338479,110000.0,1100.0,20,11000.0,301.8903,9305.845,573.68494,-321.84564,2633.772,-2472.9158,72745.82,0.0,0.11147703,0.11147703,9.999385e-05,0.0003,1528.1404,0.008231506443023682,520.8247497081757,55000,,,,,,,,,,,,,,,,,,,,,,,
0.0040440857,0.0,0.73802173,0.12988666,110000.0,1100.0,20,11000.0,155.28543,9520.596,632.68726,-372.15347,2088.1042,-2573.8362,59621.0,0.0,0.09585917,0.09585917,9.99754e-05,0.0003,1209.7404,0.007978590154647826,560.7178771495819,60000,,,,,,,,,,,,,,,,,,,,,,,
0.0049798945,0.0,0.92220604,0.124165334,110000.0,1100.0,20,11000.0,13658.772,9691.491,693.8836,-404.8524,32094.5,-38903.81,819991.56,0.0,0.11450602,0.11450602,9.994465e-05,0.0003,14918.344,0.008329819822311402,602.3672013282776,65000,,,,,,,,,,,,,,,,,,,,,,,
0.0044931932,0.0,0.8579839,0.11998148,110000.0,1100.0,20,11000.0,171.98126,9828.873,724.3325,-434.25452,1196.7826,-1516.4685,57563.445,0.0,0.102942176,0.102942176,9.990162e-05,0.0003,1304.3496,0.008419386100769043,644.4643356800079,70000,,,,,,,,,,,,,,,,,,,,,,,
0.004157937,0.0,0.89134234,0.11564765,110000.0,1100.0,20,11000.0,266.40628,9942.571,622.7063,-760.76245,1860.9546,-1567.2179,71804.09,0.0,0.10308165,0.10308165,9.984629e-05,0.0003,1400.3086,0.008689617967605591,687.9126274585724,75000,,,,,,,,,,,,,,,,,,,,,,,
0.0032396233,0.0,1.1139518,0.10973859,110000.0,1100.0,20,11000.0,217.23055,10055.059,929.6513,-986.21643,1475.8491,-1069.9825,51360.914,0.0,0.122243494,0.122243494,9.977873e-05,0.0003,1561.9122,0.008225613212585449,729.0408353805542,80000,,,,,,,,,,,,,,,,,,,,,,,
0.0040700315,0.0,0.8689349,0.10711652,110000.0,1100.0,20,11000.0,234.5734,10142.107,814.4934,-3726.788,1302.2614,-1042.9668,61997.18,0.0,0.09307728,0.09307728,9.969891e-05,0.0003,1258.4276,0.008240179252624512,770.2418732643127,85000,,,,,,,,,,,,,,,,,,,,,,,
0.0027328401,0.0,0.973201,0.10312202,110000.0,1100.0,20,11000.0,435.5622,10195.816,819.4484,-3914.9006,1531.666,-856.86237,68360.7,0.0,0.10035845,0.10035845,9.9606885e-05,0.0003,1539.5079,0.008066189002990722,810.572966337204,90000,,,,,,,,,,,,,,,,,,,,,,,
0.003158687,0.0,1.4811763,0.10089562,110000.0,1100.0,20,11000.0,346.1391,10233.59,949.52356,-485.39197,1833.1134,-1973.85,79066.766,0.0,0.1494442,0.1494442,9.950265e-05,0.0003,1990.0283,0.008062182903289795,850.884031534195,95000,,,,,,,,,,,,,,,,,,,,,,,
0.0034885567,0.0,1.0984483,0.09903919,110000.0,1100.0,20,11000.0,345.28018,10262.987,941.0278,-484.2433,1479.251,-1623.8152,59914.812,0.0,0.10878943,0.10878943,9.938626e-05,0.0003,1541.9674,0.007787053966522217,889.8194508552551,100000,,,,,,,,,,,,,,,,,,,,,,,
0.0030983023,0.0,0.961866,0.096237235,110000.0,1100.0,20,11000.0,203.0734,10287.105,693.5012,-821.36957,1352.9556,-1524.3208,49833.047,0.0,0.092567325,0.092567325,9.9257726e-05,0.0003,1221.3171,0.012918421506881713,954.4117505550385,105000,,,,,,,,,,,,,,,,,,,,,,,
0.0022961718,0.0,0.8244429,0.095376424,110000.0,1100.0,20,11000.0,161.58023,10320.74,887.49304,-816.61566,2070.0776,-1923.8896,55366.125,0.0,0.078632414,0.078632414,9.91171e-05,0.0003,1026.5391,0.007927468585968017,994.0492820739746,110000,,,,,,,,,,,,,,,,,,,,,,,
0.0039520934,0.0,1.083865,0.09306847,110000.0,1100.0,20,11000.0,172.6759,10346.846,859.056,-814.222,1046.8813,-943.7097,44903.844,0.0,0.100873664,0.100873664,9.896442e-05,0.0003,1282.2902,0.008205463027954102,1035.0767786502838,115000,,,,,,,,,,,,,,,,,,,,,,,
0.0029413952,0.0,0.96581256,0.09294563,110000.0,1100.0,20,11000.0,696.2943,10328.926,858.9819,-4488.7656,1293.4604,-1092.2133,62279.71,0.0,0.08976805,0.08976805,9.8799705e-05,0.0003,1683.7458,0.008615623617172241,1078.1550862789154,120000,,,,,,,,,,,,,,,,,,,,,,,
0.0032308,0.0,0.752485,0.08939903,110000.0,1100.0,20,11000.0,261.874,10315.395,919.8105,-709.9856,770.6887,-816.0611,45617.93,0.0,0.06727143,0.06727143,9.8623015e-05,0.0003,1001.8629,0.00894994020462036,1122.9049966335297,125000,,,,,,,,,,,,,,,,,,,,,,,
0.004867264,0.0,0.95580834,0.09037577,110000.0,1100.0,20,11000.0,164.57985,10326.355,675.0991,-376.4684,953.19006,-1026.1228,46940.277,0.0,0.08638191,0.08638191,9.843441e-05,0.0003,1114.7858,0.008944777154922486,1167.6291055679321,130000,,,,,,,,,,,,,,,,,,,,,,,
