training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,100.0,1.0,0,10.0,2.8375733,4.8073044,0.3651948,-3.992136,30.048584,-27.067753,403.49374,0.0,1.3283899,1.3283899,0.0,0.0003,16.121473,0.00165132794380188,8.256660223007202,0,,,,,,,,,,,,,,,,,,,,,,
0.025247542,0.0,67982970.0,0.0,100.0,1.0,2,10.0,0.11759546,-0.7327664,-21.799343,-25.033184,18.474596,-18.35987,467.3639,0.0,0.6798297,0.6798297,1e-05,0.0003,6.9411397,0.02698217420578003,143.16765880584717,5000,,,,,,,,,,,,,,,,,,,,,,
0.018341266,0.0,66859412.0,0.0,100.0,1.0,4,10.0,0.21035917,0.5809755,-37.323933,-42.123386,18.837452,-12.879608,439.84454,0.0,0.6685941,0.6685941,2e-05,0.0003,6.914642,0.00795277066230774,182.93166184425354,10000,,,,,,,,,,,,,,,,,,,,,,
0.008238323,0.0,60281216.0,0.0,100.0,1.0,7,10.0,0.4213009,-0.6725483,-49.330612,-55.28351,8.614093,-11.526215,359.94336,0.0,0.6028122,0.6028122,3e-05,0.0003,6.457661,0.007816735458374023,222.01547694206238,15000,,,,,,,,,,,,,,,,,,,,,,
0.004802646,0.0,64145510.0,0.0,100.0,1.0,9,10.0,0.26792526,-2.3734274,-59.148438,-65.00484,7.3198767,-6.535855,253.31564,0.0,0.6414551,0.6414551,4e-05,0.0003,6.687279,0.007918222570419312,261.60670256614685,20000,,,,,,,,,,,,,,,,,,,,,,
0.0050228373,0.0,2.073277,0.24340276,100.0,1.0,12,10.0,0.48788524,0.014182478,-65.24245,-73.1507,6.021345,-4.2684755,214.64975,0.0,0.5046413,0.5046413,5e-05,0.0003,5.539321,0.007652720069885254,299.870436668396,25000,,,,,,,,,,,,,,,,,,,,,,
0.0059053297,0.0,1.6270635,0.38488546,100.0,1.0,14,10.0,0.628051,0.16090533,-71.037094,-80.40536,6.628132,-7.88448,249.84795,0.0,0.6262331,0.6262331,6e-05,0.0003,6.8962874,0.008261676406860352,341.1789493560791,30000,,,,,,,,,,,,,,,,,,,,,,
0.0071854163,0.0,1.0723119,0.51201576,100.0,1.0,17,10.0,0.41546944,0.5210549,-75.10888,-85.43727,10.509675,-14.621653,185.67703,0.0,0.54904056,0.54904056,6.9999995e-05,0.0003,5.91306,0.007655683755874634,379.4574954509735,35000,,,,,,,,,,,,,,,,,,,,,,
0.0051810434,0.0,0.9695957,0.578577,100.0,1.0,19,10.0,0.41138774,0.25256458,-76.82442,-89.43766,3.3469157,-6.5708475,160.31194,0.0,0.56098574,0.56098574,8e-05,0.0003,6.0264263,0.007735945415496826,418.1373598575592,40000,,,,,,,,,,,,,,,,,,,,,,
0.006112134,0.0,0.90832204,0.58228546,100.0,1.0,20,10.0,0.4170023,-0.28480345,-77.73189,-91.5168,2.3472939,-3.107819,137.75404,0.0,0.5289027,0.5289027,8.9999994e-05,0.0003,5.7121415,0.007750593280792237,456.8904490470886,45000,,,,,,,,,,,,,,,,,,,,,,
