training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,500.0,5.0,0,50.0,2.5767741,3.8674161,0.43789184,-4.210252,142.52103,-151.11485,1663.2534,0.0,1.2234755,1.2234755,0.0,0.0003,63.75055,0.0017128427505493165,8.564274311065674,0,,,,,,,,,,,,,,,,,,,,,,
0.04111819,0.0,67190730.0,0.0,500.0,5.0,2,50.0,0.034332603,-2.3510249,-23.028603,-24.806019,74.6152,-76.40203,1939.9609,0.0,0.6719073,0.6719073,1e-05,0.0003,33.670815,0.025593200922012328,136.53042316436768,5000,,,,,,,,,,,,,,,,,,,,,,
0.029291723,0.0,67571640.0,0.0,500.0,5.0,4,50.0,0.17280327,-1.1836905,-38.983562,-41.834934,130.51556,-150.18977,2279.5728,0.0,0.6757164,0.6757164,2e-05,0.0003,33.987915,0.00781970043182373,175.62903666496277,10000,,,,,,,,,,,,,,,,,,,,,,
0.01017556,0.0,57535480.0,0.0,500.0,5.0,7,50.0,0.30327964,-5.0394807,-51.15645,-55.178337,82.47497,-38.845585,1564.383,0.0,0.5753548,0.5753548,3e-05,0.0003,29.081196,0.0077223870754241945,214.24109554290771,15000,,,,,,,,,,,,,,,,,,,,,,
0.015984079,0.0,56426764.0,0.0,500.0,5.0,9,50.0,1.3903995,-17.581942,-60.300804,-66.38742,28.34455,-41.640827,1243.4924,0.0,0.56426764,0.56426764,4e-05,0.0003,29.619766,0.007791921091079712,253.2008137702942,20000,,,,,,,,,,,,,,,,,,,,,,
0.011562189,0.0,2.0171802,0.24026564,500.0,5.0,12,50.0,3.8027205,-0.09083187,-66.89104,-74.91496,21.385698,-23.643616,1160.1077,0.0,0.48465908,0.48465908,5e-05,0.0003,28.047237,0.007467053604125976,290.5361955165863,25000,,,,,,,,,,,,,,,,,,,,,,
0.009699313,0.0,1.3424281,0.382042,500.0,5.0,14,50.0,0.5949904,-0.020977706,-71.97186,-81.338486,20.789585,-25.60036,757.6721,0.0,0.5128639,0.5128639,6e-05,0.0003,26.247885,0.00781702151298523,329.62140798568726,30000,,,,,,,,,,,,,,,,,,,,,,
0.009300106,0.0,1.0197551,0.49830207,500.0,5.0,17,50.0,8.883831,-0.17444259,-73.72575,-86.27507,17.90132,-20.597975,1075.5378,0.0,0.5081461,0.5081461,6.9999995e-05,0.0003,34.300438,0.007488005113601684,367.0615429878235,35000,,,,,,,,,,,,,,,,,,,,,,
0.012109184,0.0,0.902883,0.55630726,500.0,5.0,19,50.0,1.0258396,-0.7315888,-74.38831,-90.08533,12.162817,-11.688233,627.4788,0.0,0.50228035,0.50228035,8e-05,0.0003,26.151966,0.007361848592758178,403.87090015411377,40000,,,,,,,,,,,,,,,,,,,,,,
0.013932035,0.0,0.9340272,0.54937524,500.0,5.0,20,50.0,0.6940532,-3.090915,-77.4711,-92.07568,8.485392,-7.56831,514.47327,0.0,0.5131314,0.5131314,8.9999994e-05,0.0003,26.364553,0.007724826288223266,442.495108127594,45000,,,,,,,,,,,,,,,,,,,,,,
0.007961879,0.0,0.88481826,0.5293259,500.0,5.0,20,50.0,0.4717875,-3.623552,-79.48432,-94.3328,10.919767,-11.706284,523.2545,0.0,0.4683572,0.4683572,1e-04,0.0003,23.89761,0.007558705091476441,480.28873014450073,50000,,,,,,,,,,,,,,,,,,,,,,
0.0052184444,0.0,0.8293867,0.5057012,500.0,5.0,20,50.0,0.96039677,0.30280775,-79.23158,-95.56194,6.6856585,-8.274726,489.1903,0.0,0.41942182,0.41942182,9.999385e-05,0.0003,21.936705,0.007796694946289063,519.2722978591919,55000,,,,,,,,,,,,,,,,,,,,,,
0.009788851,0.0,1.0379171,0.49902922,500.0,5.0,20,50.0,1.119382,-28.186817,-80.38143,-96.94991,7.008519,-8.66992,507.3673,0.0,0.517951,0.517951,9.99754e-05,0.0003,27.026722,0.007564624834060669,557.0955145359039,60000,,,,,,,,,,,,,,,,,,,,,,
0.008556743,0.0,1.099868,0.4921963,500.0,5.0,20,50.0,0.8134891,-10.162225,-79.007324,-104.07928,9.269735,-8.29745,479.22064,0.0,0.541351,0.541351,9.994465e-05,0.0003,27.889597,0.007518494606018066,594.6880750656128,65000,,,,,,,,,,,,,,,,,,,,,,
0.009993067,0.0,0.9367525,0.48374304,500.0,5.0,20,50.0,1.1256758,-12.245176,-78.592514,-107.33999,7.9407907,-6.937575,492.03613,0.0,0.45314753,0.45314753,9.990162e-05,0.0003,23.793047,0.007453245973587036,631.9543912410736,70000,,,,,,,,,,,,,,,,,,,,,,
0.009039462,0.0,0.86786324,0.4679856,500.0,5.0,20,50.0,0.6929048,0.5496554,-77.514244,-98.010315,8.02772,-7.324773,351.03424,0.0,0.40614748,0.40614748,9.984629e-05,0.0003,21.009317,0.007311660242080688,668.512772321701,75000,,,,,,,,,,,,,,,,,,,,,,
0.008452385,0.0,1.0520762,0.46259156,500.0,5.0,20,50.0,0.66370237,-1.5041499,-78.060326,-98.59223,5.6432385,-7.767686,372.44693,0.0,0.48668158,0.48668158,9.977873e-05,0.0003,25.006235,0.0077225942611694335,707.1258225440979,80000,,,,,,,,,,,,,,,,,,,,,,
