training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,90000.0,900.0,0,9000.0,19.623613,3.2689805,-0.1577662,-4.1600533,13023.967,-13474.731,318964.53,0.0,1.0952603,1.0952603,0.0,0.0003,9876.967,0.0017115358352661134,8.557692766189575,0,,,,,,,,,,,,,,,,,,,,,,,
0.014617637,0.0,25597402.0,0.0,90000.0,900.0,2,9000.0,2.2935534,454.98523,41.077187,-9.917514,3810.2373,-4310.815,227382.69,0.0,0.25597402,0.25597402,1e-05,0.0003,2306.0742,0.011767950963973999,67.39756846427917,5000,,,,,,,,,,,,,,,,,,,,,,,
0.006452927,0.0,18656174.0,0.0,90000.0,900.0,4,9000.0,1.813899,820.06683,92.49284,-14.762034,3270.1394,-4196.7617,231070.53,0.0,0.18656173,0.18656173,2e-05,0.0003,1680.8759,0.007387931299209595,104.33736181259155,10000,,,,,,,,,,,,,,,,,,,,,,,
0.010183897,0.0,16247031.0,0.0,90000.0,900.0,7,9000.0,2.0553014,1110.4419,121.31042,-18.584084,6228.843,-8130.69,171764.83,0.0,0.16247031,0.16247031,3e-05,0.0003,1464.2982,0.007661046123504638,142.64273691177368,15000,,,,,,,,,,,,,,,,,,,,,,,
0.009799484,0.0,14799997.0,0.0,90000.0,900.0,9,9000.0,4.1300178,1335.9965,180.45804,-20.283312,4273.1504,-4591.38,119035.266,0.0,0.14799997,0.14799997,4e-05,0.0003,1336.1395,0.007967099380493165,182.47831416130066,20000,,,,,,,,,,,,,,,,,,,,,,,
0.008423474,0.0,1.4720306,0.10080065,90000.0,900.0,12,9000.0,5.0560393,1509.9092,248.29857,-27.370777,5813.853,-4372.656,111605.11,0.0,0.14838164,0.14838164,5e-05,0.0003,1340.4991,0.007482203340530395,219.88946413993835,25000,,,,,,,,,,,,,,,,,,,,,,,
0.008536194,0.0,1.0481352,0.13469897,90000.0,900.0,14,9000.0,14.316593,1641.1239,256.13623,-45.758415,5867.913,-3862.5903,93797.92,0.0,0.14118274,0.14118274,6e-05,0.0003,1284.9697,0.00793418107032776,259.5605032444,30000,,,,,,,,,,,,,,,,,,,,,,,
0.0073750373,0.0,0.7962685,0.15772358,90000.0,900.0,17,9000.0,13.361174,1743.0244,289.9953,-74.697075,7014.4634,-4986.1797,89895.2,0.0,0.12559032,0.12559032,6.9999995e-05,0.0003,1143.6814,0.007622327280044556,297.67227721214294,35000,,,,,,,,,,,,,,,,,,,,,,,
0.008534705,0.0,0.6668307,0.16681658,90000.0,900.0,19,9000.0,20.799427,1823.9225,284.13052,-113.64619,2637.644,-3025.2268,63944.664,0.0,0.11123842,0.11123842,8e-05,0.0003,1021.95374,0.007879437065124511,337.06960701942444,40000,,,,,,,,,,,,,,,,,,,,,,,
0.0056928266,0.0,0.7201361,0.1449097,90000.0,900.0,20,9000.0,26.425209,1889.8097,361.2348,-150.26453,2210.0347,-2984.324,60762.938,0.0,0.10435471,0.10435471,8.9999994e-05,0.0003,965.6233,0.0074868749141693116,374.50410437583923,45000,,,,,,,,,,,,,,,,,,,,,,,
