training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,100000.0,1000.0,0,10000.0,1331.9651,3.4801652,0.36227655,-2.7222478,28572.648,-28439.326,480589.94,0.0,1.3576391,1.3576391,0.0,0.0003,14908.355,0.0019933759689331055,9.966899871826172,0,,,,,,,,,,,,,,,,,,,,,,,
0.022920337,0.0,20294696.0,0.0,100000.0,1000.0,2,10000.0,664.55927,1000.15247,489.24698,-2.3864667,7305.748,-8793.347,434899.2,0.0,0.20294696,0.20294696,1e-05,0.0003,2694.0518,0.010403029918670655,61.98219704627991,5000,,,,,,,,,,,,,,,,,,,,,,,
0.0116237905,0.0,16137870.0,0.0,100000.0,1000.0,4,10000.0,3562.5234,2061.8064,1055.4736,8.915085,20945.418,-15453.661,584586.9,0.0,0.1613787,0.1613787,2e-05,0.0003,5176.3223,0.007709543466567994,100.53005456924438,10000,,,,,,,,,,,,,,,,,,,,,,,
0.011319295,0.0,12543613.0,0.0,100000.0,1000.0,7,10000.0,5948.405,3049.01,1595.344,-35.14747,19532.44,-14447.665,626819.2,0.0,0.12543613,0.12543613,3e-05,0.0003,7202.7773,0.007779084825515747,139.4256193637848,15000,,,,,,,,,,,,,,,,,,,,,,,
0.013536866,0.0,9955490.0,0.0,100000.0,1000.0,9,10000.0,4580.4453,3866.8552,1992.6909,-71.95144,10720.411,-13489.042,541091.94,0.0,0.0995549,0.0995549,4e-05,0.0003,5576.008,0.00818801794052124,180.36584448814392,20000,,,,,,,,,,,,,,,,,,,,,,,
0.013196357,0.0,1.2548541,0.089023784,100000.0,1000.0,12,10000.0,10262.898,4526.9224,2523.9927,-129.25848,49850.973,-59233.598,1344064.2,0.0,0.11171186,0.11171186,5e-05,0.0003,11380.031,0.007884650707244874,219.7892348766327,25000,,,,,,,,,,,,,,,,,,,,,,,
0.0144442795,0.0,0.79598486,0.11912168,100000.0,1000.0,14,10000.0,11689.14,5057.414,2835.7388,-189.91194,19271.732,-17396.102,712668.44,0.0,0.094819054,0.094819054,6e-05,0.0003,12637.345,0.007837673902511597,258.97772312164307,30000,,,,,,,,,,,,,,,,,,,,,,,
0.010316163,0.0,0.6665749,0.13443184,100000.0,1000.0,17,10000.0,14156.029,5461.64,3011.3716,-332.1054,18303.615,-21823.389,714755.7,0.0,0.089608885,0.089608885,6.9999995e-05,0.0003,15052.129,0.008080929470062255,299.3824977874756,35000,,,,,,,,,,,,,,,,,,,,,,,
0.0096154995,0.0,0.68564516,0.1396269,100000.0,1000.0,19,10000.0,7891.169,5795.1714,3376.2207,-391.79282,7215.104,-7883.8164,416429.22,0.0,0.095734514,0.095734514,8e-05,0.0003,8848.523,0.007834316205978393,338.5542161464691,40000,,,,,,,,,,,,,,,,,,,,,,,
0.014237484,0.0,0.76406974,0.11451165,100000.0,1000.0,20,10000.0,14305.703,6091.3965,3272.462,-1639.9528,6907.2686,-9341.35,443039.6,0.0,0.08749488,0.08749488,8.9999994e-05,0.0003,15180.667,0.008028819799423218,378.6984579563141,45000,,,,,,,,,,,,,,,,,,,,,,,
0.009182579,0.0,0.9794391,0.1016259,100000.0,1000.0,20,10000.0,8014.457,6369.6743,3330.2817,-1898.1768,4525.422,-5561.5596,327735.06,0.0,0.099536374,0.099536374,1e-04,0.0003,9009.83,0.008016622734069825,418.7817144393921,50000,,,,,,,,,,,,,,,,,,,,,,,
0.007167989,0.0,0.7878281,0.092359595,100000.0,1000.0,20,10000.0,7220.509,6680.3413,3318.4448,-2134.8286,9474.742,-13204.538,473640.2,0.0,0.07276348,0.07276348,9.999385e-05,0.0003,7948.151,0.007761675834655762,457.5902268886566,55000,,,,,,,,,,,,,,,,,,,,,,,
0.008393514,0.0,0.6297219,0.086394876,100000.0,1000.0,20,10000.0,8984.103,6986.765,3557.4458,-2419.6868,5747.5586,-5793.0684,393660.0,0.0,0.054404743,0.054404743,9.99754e-05,0.0003,9528.159,0.00772850890159607,496.23290252685547,60000,,,,,,,,,,,,,,,,,,,,,,,
0.007897785,0.0,0.80721694,0.079978324,100000.0,1000.0,20,10000.0,7349.451,7284.004,3950.798,-2676.7874,7548.582,-8942.273,383632.12,0.0,0.06455986,0.06455986,9.994465e-05,0.0003,7995.0576,0.007786843061447143,535.1672444343567,65000,,,,,,,,,,,,,,,,,,,,,,,
0.007854881,0.0,0.6292917,0.077383965,100000.0,1000.0,20,10000.0,30194.807,7474.4385,3568.2927,-2912.9385,231187.02,-213901.19,5418642.0,0.0,0.048697088,0.048697088,9.990162e-05,0.0003,30681.785,0.007592063474655152,573.1276862621307,70000,,,,,,,,,,,,,,,,,,,,,,,
