training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
-0.3529111,0.0,0.6733212,0.3529111,-0.3529111,1.0,0.0,100.0,1.0,0,10.0,2.8376255,4.8071046,0.365081,-3.9929657,22.470325,-27.202732,374.02988,0.12695071,1.1356332,1.1356332,0.0,0.0003,13.841047,0.007774590158462525,38.87295603752136,0,,,,,,
21.467892,0.049233243,0.35503846,-21.41866,21.41866,57435788.0,0.0,100.0,1.0,2,10.0,0.10992022,-0.56407946,-21.44321,-24.868214,12.157436,-11.514947,345.2525,0.065617085,0.57435787,0.57435787,1e-05,0.0003,27.321392,0.023791667127609252,157.83129692077637,5000,,,,,,
36.672066,0.030210832,0.36694735,-36.641853,36.641853,63401164.0,0.0,100.0,1.0,4,10.0,0.18655431,0.053844087,-36.64335,-41.306355,13.338437,-16.553099,457.8636,0.0831352,0.6340116,0.6340116,2e-05,0.0003,43.19874,0.003699502468109131,176.32881331443787,10000,,,,,,
48.71415,0.023780083,0.38372508,-48.69037,48.69037,66716600.0,0.0,100.0,1.0,7,10.0,0.46930173,-0.9989561,-48.651115,-54.649883,10.0950365,-35.206886,396.8828,0.1036275,0.667166,0.667166,3e-05,0.0003,55.855114,0.0037027006626129152,194.8423204421997,15000,,,,,,
58.40525,0.016390013,0.3479274,-58.38886,58.38886,60959530.0,0.0,100.0,1.0,9,10.0,0.2713614,-1.952297,-58.41476,-64.97517,14.00697,-8.908916,259.92816,0.087642185,0.6095953,0.6095953,4e-05,0.0003,64.77257,0.003641275644302368,213.04870295524597,20000,,,,,,
64.13189,0.0120942425,0.3467517,-64.1198,64.1198,3.1241813,0.22260337,100.0,1.0,12,10.0,1.1539594,0.057875805,-64.14798,-72.73277,15.159605,-13.462767,250.20734,0.08482574,0.6954532,0.6954532,5e-05,0.0003,72.24038,0.0036946603298187255,231.52200865745544,25000,,,,,,
69.85433,0.01490845,0.33908105,-69.839424,69.839424,1.5814323,0.3760594,100.0,1.0,14,10.0,0.43374652,0.11512387,-69.84932,-79.146324,16.398357,-10.719888,251.67892,0.07565892,0.59471256,0.59471256,6e-05,0.0003,76.23521,0.0036426179885864257,249.735102891922,30000,,,,,,
73.827095,0.01583051,0.3129412,-73.811264,73.811264,1.283616,0.52125347,100.0,1.0,17,10.0,0.33282578,-0.4998213,-73.80281,-83.78354,19.566051,-17.560936,192.08633,0.08404154,0.66908926,0.66908926,6.9999995e-05,0.0003,80.850815,0.003707840871810913,268.27431416511536,35000,,,,,,
75.68141,0.009409534,0.294204,-75.672005,75.672005,1.019484,0.60046184,100.0,1.0,19,10.0,0.5057272,0.49195814,-75.683365,-87.65303,7.4566417,-4.2240114,169.34865,0.07867853,0.6121613,0.6121613,8e-05,0.0003,82.308754,0.003703310537338257,286.7908709049225,40000,,,,,,
75.67675,0.02068648,0.4966457,-75.65607,75.65607,1.2762922,0.6334222,100.0,1.0,20,10.0,0.3358263,-0.23118177,-75.68034,-90.84333,3.8191478,-4.719374,192.51828,0.11506933,0.80843186,0.80843186,8.9999994e-05,0.0003,84.09689,0.0036548223972320557,305.06499195098877,45000,,,,,,
