training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
-0.41951856,0.0,0.67131245,0.41951856,-0.41951856,1.0,0.0,500.0,5.0,0,50.0,2.5770447,3.869267,0.4381509,-4.2100086,110.36504,-99.23494,1552.6298,0.12180897,1.1032568,1.1032568,0.0,0.0003,57.32037,0.0073154645919799805,36.57732796669006,0,,,,,,
22.858465,0.05447196,0.3818223,-22.803993,22.803993,61154188.0,0.0,500.0,5.0,2,50.0,0.074995466,-2.115332,-22.807121,-24.781439,95.19209,-126.29241,1981.4296,0.074411765,0.61154187,0.61154187,1e-05,0.0003,53.51055,0.02314806990623474,152.3176829814911,5000,,,,,,
38.510975,0.044054307,0.3723666,-38.46692,38.46692,67760070.0,0.0,500.0,5.0,4,50.0,0.13533723,-0.6256958,-38.458107,-41.615498,75.26597,-78.93023,2495.6648,0.08063881,0.67760074,0.67760074,2e-05,0.0003,72.52635,0.003694670009613037,170.79103636741638,10000,,,,,,
50.64228,0.026069457,0.3410744,-50.61621,50.61621,68291280.0,0.0,500.0,5.0,7,50.0,0.39089513,-5.2171283,-50.612274,-54.934914,47.08903,-39.06398,1552.3077,0.088620715,0.6829128,0.6829128,3e-05,0.0003,85.17882,0.0037103995323181154,189.34303903579712,15000,,,,,,
59.60542,0.02132291,0.32792866,-59.584095,59.584095,58421244.0,0.0,500.0,5.0,9,50.0,1.0677065,-14.973879,-59.56021,-65.51042,26.006134,-34.823273,987.6449,0.06535559,0.5842124,0.5842124,4e-05,0.0003,89.88374,0.003632444667816162,207.5052661895752,20000,,,,,,
66.30977,0.016314037,0.35098207,-66.29346,66.29346,2.9293933,0.2121989,500.0,5.0,12,50.0,3.6312675,-0.84228426,-66.23917,-74.107544,27.761261,-34.32444,1136.5768,0.076492704,0.621614,0.621614,5e-05,0.0003,101.02174,0.003694775676727295,225.97914862632751,25000,,,,,,
70.97142,0.020004135,0.29266548,-70.951416,70.951416,1.6755203,0.35298827,500.0,5.0,14,50.0,0.49816462,-0.5834706,-70.97482,-80.41748,31.266562,-71.337204,842.3248,0.06512892,0.591439,0.591439,6e-05,0.0003,101.041534,0.0036366581439971923,244.16244339942932,30000,,,,,,
72.807236,0.016782345,0.28006357,-72.79045,72.79045,1.1344291,0.4988129,500.0,5.0,17,50.0,8.462925,-1.5358456,-72.71765,-85.01381,37.765053,-48.74775,1121.7566,0.054076657,0.5658679,0.5658679,6.9999995e-05,0.0003,109.56355,0.0037099137783050537,262.71201610565186,35000,,,,,,
73.23885,0.014504792,0.27043512,-73.22435,73.22435,0.9127675,0.56432694,500.0,5.0,19,50.0,1.4104311,0.41200992,-73.18894,-88.56672,28.59319,-40.88772,717.64465,0.06600078,0.5150993,0.5150993,8e-05,0.0003,100.40425,0.003705085515975952,281.23744797706604,40000,,,,,,
75.82168,0.010188093,0.32640404,-75.81149,75.81149,1.0015905,0.5720479,500.0,5.0,20,50.0,0.9001627,-2.490056,-75.87071,-91.38306,23.34952,-26.038757,633.48816,0.09133928,0.5729577,0.5729577,8.9999994e-05,0.0003,105.36972,0.0036428668975830077,299.45178627967834,45000,,,,,,
