training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
-0.3801117,0.0,0.6680316,0.3801117,-0.3801117,1.0,0.0,100.0,1.0,0,10.0,2.5135217,3.8394961,0.4164592,-3.5976086,23.952894,-22.743435,371.19025,0.114970766,1.1233623,1.1233623,0.0,0.0003,13.367033,0.00783005108833313,39.15025997161865,0,,,,,,
20.726032,0.049236152,0.36548266,-20.676796,20.676796,60120830.0,0.0,100.0,1.0,2,10.0,0.24717051,0.57610685,-20.71485,-24.796328,20.281748,-18.025822,439.6943,0.07206183,0.6012083,0.6012083,1e-05,0.0003,26.985287,0.021871064233779908,148.50558638572693,5000,,,,,,
37.00852,0.03168478,0.31885585,-36.976833,36.976833,59526892.0,0.0,100.0,1.0,4,10.0,0.3386342,-0.17604724,-36.995117,-41.486694,30.75905,-24.317266,448.5617,0.07997031,0.5952689,0.5952689,2e-05,0.0003,43.299843,0.0037054887771606447,167.033034324646,10000,,,,,,
47.25955,0.019649131,0.37647,-47.2399,47.2399,73203736.0,0.0,100.0,1.0,7,10.0,0.69148624,0.25036407,-47.279774,-55.316284,16.264204,-16.772,429.32574,0.10355468,0.73203737,0.73203737,3e-05,0.0003,55.271408,0.00373364953994751,185.70128560066223,15000,,,,,,
57.48958,0.04189945,0.352844,-57.447678,57.447678,58965310.0,0.0,100.0,1.0,9,10.0,0.29786468,0.3499173,-57.47526,-66.24578,7.4860663,-7.5634074,276.4982,0.07674796,0.58965313,0.58965313,4e-05,0.0003,63.68397,0.0036387327671051025,203.8949534893036,20000,,,,,,
60.929447,0.025903828,0.36671966,-60.90354,60.90354,2.8250096,0.20787907,100.0,1.0,12,10.0,1.1002147,-0.290723,-61.043148,-74.24984,7.5904884,-6.8209357,266.69714,0.07034074,0.58726037,0.58726037,5e-05,0.0003,67.90227,0.0037233192443847656,222.5115532875061,25000,,,,,,
65.95105,0.009413393,0.29520303,-65.941635,65.941635,1.7756963,0.35298866,100.0,1.0,14,10.0,0.45805758,-1.3124932,-65.97591,-80.84012,6.8846745,-5.551875,208.74423,0.07322827,0.62680066,0.62680066,6e-05,0.0003,72.67712,0.003637914514541626,240.7011296749115,30000,,,,,,
66.67329,0.018989827,0.3571033,-66.6543,66.6543,1.3381151,0.5083921,100.0,1.0,17,10.0,0.40997934,0.38216776,-66.67377,-85.30899,3.9841323,-6.939043,199.0448,0.08765117,0.6802871,0.6802871,6.9999995e-05,0.0003,73.88614,0.0037053640365600584,259.2279589176178,35000,,,,,,
68.24898,0.016816128,0.3179102,-68.23216,68.23216,1.0823472,0.61444885,100.0,1.0,19,10.0,0.5245813,0.37099144,-68.30492,-88.78621,3.529648,-4.793432,192.93765,0.07151848,0.66504693,0.66504693,8e-05,0.0003,75.42403,0.0037093740463256834,277.7748324871063,40000,,,,,,
71.650116,0.020762738,0.30684152,-71.62936,71.62936,0.8322448,0.6427199,100.0,1.0,20,10.0,0.49945104,-0.018741772,-71.68897,-92.12525,2.9068093,-3.4756548,153.42484,0.07115483,0.5349003,0.5349003,8.9999994e-05,0.0003,77.498566,0.0036636524200439453,296.0930984020233,45000,,,,,,
70.10643,0.01501579,0.31604677,-70.091415,70.091415,0.95043164,0.64351076,100.0,1.0,20,10.0,0.7336956,0.6699564,-70.14009,-94.28078,2.7079828,-4.0063214,144.95956,0.07802988,0.611613,0.611613,1e-04,0.0003,76.95625,0.00370940728187561,314.64013934135437,50000,,,,,,
71.72086,0.011736529,0.2568,-71.70913,71.70913,0.82681847,0.645489,100.0,1.0,20,10.0,1.138998,-0.21197617,-71.77592,-95.30075,3.9008982,-2.856894,140.78491,0.056646388,0.5337022,0.5337022,9.999385e-05,0.0003,78.196884,0.0037092268466949463,333.18627762794495,55000,,,,,,
71.71274,0.021746801,0.27518752,-71.690994,71.690994,0.9547465,0.6464215,100.0,1.0,20,10.0,0.44609103,0.39811838,-71.75314,-98.06102,3.3920197,-3.0371706,125.22495,0.05719666,0.61716866,0.61716866,9.99754e-05,0.0003,78.33051,0.0036559749603271483,351.46615624427795,60000,,,,,,
71.3389,0.006420084,0.2811988,-71.33248,71.33248,0.84523684,0.6390939,100.0,1.0,20,10.0,0.9410845,0.49692333,-71.36255,-99.00864,1.9614029,-2.4875383,154.97678,0.0741128,0.5401857,0.5401857,9.994465e-05,0.0003,77.68184,0.003709282112121582,370.0125710964203,65000,,,,,,
70.786934,0.00832284,0.28277516,-70.77861,70.77861,0.7921603,0.635534,100.0,1.0,20,10.0,0.6790738,0.21764484,-70.7829,-98.96546,3.247788,-4.0235357,151.15189,0.0671685,0.5034448,0.5034448,9.990162e-05,0.0003,76.50046,0.003712009620666504,388.5726237297058,70000,,,,,,
73.83189,0.014013219,0.3218864,-73.81787,73.81787,1.0264668,0.61007684,100.0,1.0,20,10.0,3.0969996,0.2529623,-73.849945,-99.564964,3.4672263,-4.4275107,186.54024,0.07114754,0.6262237,0.6262237,9.984629e-05,0.0003,83.191124,0.0036605517387390137,406.87538599967957,75000,,,,,,
71.931755,0.010627194,0.30328143,-71.92113,71.92113,0.9217272,0.6003022,100.0,1.0,20,10.0,0.67247236,0.1480841,-71.964325,-99.48287,2.0711887,-2.3186765,110.09792,0.06864816,0.55331486,0.55331486,9.977873e-05,0.0003,78.137375,0.0037498109817504883,425.62444496154785,80000,,,,,,
