training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
-0.24057941,0.0,0.6569352,0.24057941,-0.24057941,1.0,0.0,1300.0,13.0,0,130.0,2.927113,4.144663,0.347093,-3.3033063,358.49414,-347.9659,4218.1577,0.1279962,1.0800068,1.0800068,0.0,0.0003,143.08743,0.0072713477611541745,36.35674428939819,0,,,,,,
23.417532,0.05555875,0.341864,-23.361973,23.361973,52344292.0,0.0,1300.0,13.0,2,130.0,0.004024923,-20.62357,-23.357227,-24.485228,204.65744,-179.48297,4566.69,0.06421895,0.5234429,0.5234429,1e-05,0.0003,91.46913,0.017020378065109254,121.4586386680603,5000,,,,,,
40.405552,0.03434322,0.3213287,-40.37121,40.37121,54974948.0,0.0,1300.0,13.0,4,130.0,0.024766808,-37.55682,-40.369896,-41.547443,276.72864,-290.57794,4912.253,0.0715885,0.5497495,0.5497495,2e-05,0.0003,111.89775,0.0037008161067962645,139.9627230167389,10000,,,,,,
53.806187,0.030680895,0.3261702,-53.775505,53.775505,53054380.0,0.0,1300.0,13.0,7,130.0,0.001535892,-50.597713,-53.774628,-54.651546,92.708,-184.40695,3668.8643,0.076394334,0.5305438,0.5305438,3e-05,0.0003,122.77842,0.0036956094741821288,158.44077396392822,15000,,,,,,
64.23393,0.027222442,0.27694684,-64.20671,64.20671,51508390.0,0.0,1300.0,13.0,9,130.0,0.0008501939,-60.807114,-64.20697,-64.832214,133.61165,-94.90169,3146.5283,0.0684375,0.5150839,0.5150839,4e-05,0.0003,131.19568,0.0036361382484436035,176.62146925926208,20000,,,,,,
72.42865,0.017167138,0.31476402,-72.41148,72.41148,2.9696863,0.19813538,1300.0,13.0,12,130.0,0.0016054555,-70.30128,-72.40972,-72.983475,74.80849,-82.58169,2358.0947,0.058814425,0.5883999,0.5883999,5e-05,0.0003,148.92224,0.0037017054080963133,195.12999987602234,25000,,,,,,
78.81563,0.02232397,0.29320145,-78.793304,78.793304,1.446245,0.33655202,1300.0,13.0,14,130.0,0.0033112469,-72.32795,-78.79306,-79.33279,63.30153,-62.58828,1862.8654,0.061302736,0.48673666,0.48673666,6e-05,0.0003,142.0947,0.0037066765308380128,213.6633861064911,30000,,,,,,
83.706635,0.010953847,0.27273038,-83.69568,83.69568,1.0989513,0.47380263,1300.0,13.0,17,130.0,0.0031033005,-78.91481,-83.69451,-84.27459,69.91114,-50.493988,1568.311,0.06385101,0.52068603,0.52068603,6.9999995e-05,0.0003,151.39893,0.0036384244918823243,231.8555121421814,35000,,,,,,
87.48885,0.013583983,0.24982488,-87.47527,87.47527,0.88680685,0.540254,1300.0,13.0,19,130.0,0.0024636895,-84.56649,-87.47533,-87.94569,52.17553,-60.682743,1612.9209,0.061168008,0.47910094,0.47910094,8e-05,0.0003,149.77444,0.0037026506900787355,250.36877298355103,40000,,,,,,
90.4306,0.016114347,0.32004383,-90.41449,90.41449,0.87340885,0.56044436,1300.0,13.0,20,130.0,0.0012764857,-86.15979,-90.41406,-90.810196,38.57064,-42.0402,1251.9636,0.06897522,0.48949707,0.48949707,8.9999994e-05,0.0003,154.0665,0.003719265174865723,268.96510219573975,45000,,,,,,
92.69696,0.017807484,0.27436095,-92.67915,92.67915,0.9920167,0.5477156,1300.0,13.0,20,130.0,0.0014298153,-87.463394,-92.67919,-93.17826,38.19439,-37.503815,1820.6146,0.056384802,0.543343,0.543343,1e-04,0.0003,163.33298,0.003657077741622925,287.25049448013306,50000,,,,,,
94.28147,0.026775463,0.25534654,-94.25469,94.25469,0.8147552,0.5511591,1300.0,13.0,20,130.0,0.0026123342,-88.48604,-94.25505,-94.96288,45.9549,-47.687412,1103.9531,0.06043565,0.44905972,0.44905972,9.999385e-05,0.0003,152.66185,0.0037237626075744628,305.86931133270264,55000,,,,,,
95.65388,0.010324879,0.25697422,-95.643555,95.643555,1.0365164,0.54492104,1300.0,13.0,20,130.0,0.0042765783,-92.04101,-95.643005,-96.194115,55.71975,-47.869408,1357.6544,0.06652807,0.5648196,0.5648196,9.99754e-05,0.0003,169.0847,0.003716192579269409,324.45027780532837,60000,,,,,,
96.37305,0.008488642,0.25312924,-96.364555,96.364555,1.0229855,0.5371455,1300.0,13.0,20,130.0,0.0067567094,-90.90662,-96.36826,-97.36192,39.30742,-31.663687,1149.3044,0.06713271,0.549492,0.549492,9.994465e-05,0.0003,167.81377,0.00364636812210083,342.6821219921112,65000,,,,,,
96.93645,0.016997067,0.29367575,-96.91945,96.91945,1.094387,0.52512884,1300.0,13.0,20,130.0,0.0058664344,-92.01552,-96.92062,-97.91145,33.509666,-46.59348,1276.1154,0.052266616,0.5746942,0.5746942,9.990162e-05,0.0003,171.65256,0.003712766742706299,361.24595952033997,70000,,,,,,
97.23086,0.01300662,0.25039813,-97.21785,97.21785,0.9459527,0.5177669,1300.0,13.0,20,130.0,0.005684953,-93.82588,-97.21434,-98.61722,29.380518,-41.012424,1131.8999,0.051613815,0.489783,0.489783,9.984629e-05,0.0003,160.90833,0.0037102488040924074,379.79720997810364,75000,,,,,,
97.54341,0.008487359,0.23727088,-97.53493,97.53493,0.88352066,0.51733017,1300.0,13.0,20,130.0,0.004198485,-95.0915,-97.529884,-99.112915,26.464079,-18.656815,1011.59644,0.057369933,0.4570719,0.4570719,9.977873e-05,0.0003,156.96695,0.0036483062267303468,398.0387444496155,80000,,,,,,
97.906105,0.024878623,0.36329708,-97.881226,97.881226,1.431218,0.51615953,1300.0,13.0,20,130.0,0.0069821533,-93.22421,-97.88254,-99.39132,53.48408,-46.828476,2037.5886,0.093008965,0.7387368,0.7387368,9.969891e-05,0.0003,193.94887,0.003698663568496704,416.5320658683777,85000,,,,,,
98.15978,0.008259295,0.2467037,-98.15152,98.15152,0.94839174,0.52547723,1300.0,13.0,20,130.0,0.0017075845,-94.708565,-98.1505,-99.57082,44.963085,-33.41568,1017.8712,0.06728527,0.49835825,0.49835825,9.9606885e-05,0.0003,162.94806,0.003720123529434204,435.13269090652466,90000,,,,,,
98.476425,0.013365902,0.234079,-98.46306,98.46306,0.98813987,0.5134632,1300.0,13.0,20,130.0,0.0016879877,-96.34526,-98.463356,-100.00193,42.36388,-30.889963,1095.9601,0.057089068,0.50737345,0.50737345,9.950265e-05,0.0003,164.43666,0.0037079240322113035,453.6723144054413,95000,,,,,,
