training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
-0.25733268,0.0,0.67441225,0.25733268,-0.25733268,1.0,0.0,1000.0,10.0,0,100.0,3.5022655,4.502843,0.30097878,-3.953432,218.48772,-229.12668,2949.6914,0.15150008,1.1206266,1.1206266,0.0,0.0003,115.307594,0.0069092803955078125,34.54640746116638,0,,,,,,
21.072983,0.05258866,0.32230097,-21.020393,21.020393,57211350.0,0.0,1000.0,10.0,2,100.0,0.8319545,-0.15350765,-21.051437,-24.89236,115.6064,-161.61942,3523.4448,0.072825335,0.5721135,0.5721135,1e-05,0.0003,79.11629,0.01639371967315674,116.51501250267029,5000,,,,,,
32.589508,0.04558311,0.31741288,-32.543926,32.543926,59682812.0,0.0,1000.0,10.0,4,100.0,1.1958967,0.58612573,-32.536583,-42.73992,117.26515,-268.9143,4620.2305,0.07278052,0.5968281,0.5968281,2e-05,0.0003,93.468216,0.0036824965000152587,134.92750191688538,10000,,,,,,
38.56092,0.025504664,0.3090346,-38.535416,38.535416,61788988.0,0.0,1000.0,10.0,7,100.0,1.9650464,-0.756356,-38.6203,-56.192814,237.0813,-98.71359,3156.9697,0.06932007,0.6178899,0.6178899,3e-05,0.0003,102.31496,0.0036889614582061767,153.3723168373108,15000,,,,,,
40.29944,0.03042936,0.32334518,-40.26901,40.26901,53777308.0,0.0,1000.0,10.0,9,100.0,1.719118,0.0399931,-40.24936,-66.19442,104.90498,-63.80945,1978.1558,0.08404501,0.5377731,0.5377731,4e-05,0.0003,95.79586,0.003625394058227539,171.49929118156433,20000,,,,,,
46.8132,0.038137637,0.31566507,-46.775063,46.775063,2.3977396,0.21396297,1000.0,10.0,12,100.0,2.002094,-1.7328669,-46.791645,-73.67402,65.99887,-70.35829,2029.5327,0.0750489,0.5130275,0.5130275,5e-05,0.0003,100.11804,0.003687771511077881,189.93815231323242,25000,,,,,,
43.29009,0.020700613,0.27208298,-43.269386,43.269386,1.4997402,0.3580345,1000.0,10.0,14,100.0,2.6523192,-0.20249757,-43.272736,-80.37375,68.35616,-66.72554,2019.4288,0.05287455,0.53695875,0.53695875,6e-05,0.0003,99.63829,0.003694551944732666,208.41091632843018,30000,,,,,,
45.84425,0.014323108,0.31955504,-45.829926,45.829926,1.3071039,0.49068922,1000.0,10.0,17,100.0,1.383637,1.1241752,-45.719376,-85.63655,48.834137,-74.2886,1671.8284,0.07070361,0.6413818,0.6413818,6.9999995e-05,0.0003,111.36607,0.00362406587600708,226.53124928474426,35000,,,,,,
43.224155,0.014253605,0.2933884,-43.209904,43.209904,1.100076,0.5579485,1000.0,10.0,19,100.0,2.8784971,0.6669449,-43.24826,-89.72626,39.99976,-39.852844,1430.3013,0.07467623,0.6137858,0.6137858,8e-05,0.0003,107.48123,0.003694321393966675,245.00286102294922,40000,,,,,,
47.380455,0.010823843,0.26625192,-47.369633,47.369633,0.97863704,0.5797949,1000.0,10.0,20,100.0,1.4688568,0.06085974,-47.39391,-92.81562,31.246046,-35.207436,1251.8864,0.063885584,0.56740874,0.56740874,8.9999994e-05,0.0003,105.59019,0.0037028934478759764,263.5173325538635,45000,,,,,,
44.08525,0.017119847,0.2989229,-44.06813,44.06813,1.0041672,0.57032126,1000.0,10.0,20,100.0,1.5164872,1.0729536,-43.9839,-94.71747,39.144447,-39.340385,1222.0,0.07074182,0.57269794,0.57269794,1e-04,0.0003,102.87154,0.003625221538543701,281.6434440612793,50000,,,,,,
49.89341,0.012494575,0.26686332,-49.880917,49.880917,0.9920043,0.5628118,1000.0,10.0,20,100.0,1.2836038,0.35641533,-49.840897,-96.76935,24.642136,-32.56559,1170.0381,0.06784452,0.5583117,0.5583117,9.999385e-05,0.0003,107.00818,0.003694644021987915,300.11667037010193,55000,,,,,,
43.979813,0.013346298,0.2683205,-43.966465,43.966465,0.9504783,0.55132437,1000.0,10.0,20,100.0,1.6344433,0.59324163,-44.02435,-97.90315,47.071827,-32.270428,963.9019,0.07404942,0.52402186,0.52402186,9.99754e-05,0.0003,98.01645,0.003692828607559204,318.58081793785095,60000,,,,,,
51.054287,0.006368499,0.26112017,-51.04792,51.04792,1.0441701,0.5512528,1000.0,10.0,20,100.0,1.1126614,-1.9528147,-50.997337,-98.923065,39.29223,-24.940775,936.4073,0.06191831,0.5756017,0.5756017,9.994465e-05,0.0003,109.72711,0.0036354069232940674,336.75785660743713,65000,,,,,,
46.970695,0.015473832,0.2394925,-46.955223,46.955223,0.7424672,0.54483426,1000.0,10.0,20,100.0,1.1097234,2.2333927,-47.054333,-99.90847,26.20575,-27.526428,841.4162,0.049988374,0.40452158,0.40452158,9.990162e-05,0.0003,88.53258,0.003687157392501831,355.19364738464355,70000,,,,,,
47.149456,0.010022633,0.26879102,-47.139435,47.139435,0.9787964,0.53507704,1000.0,10.0,20,100.0,1.1953853,-0.17645806,-47.14468,-100.45447,32.124622,-21.791292,820.7599,0.062678896,0.52373147,0.52373147,9.984629e-05,0.0003,100.71799,0.003674018669128418,373.56374502182007,75000,,,,,,
50.113346,0.007806833,0.24769141,-50.105537,50.105537,0.9661226,0.5249935,1000.0,10.0,20,100.0,1.7039549,-0.70045996,-50.09385,-100.815575,19.617897,-15.095226,801.4032,0.0509605,0.50720805,0.50720805,9.977873e-05,0.0003,102.53811,0.0036435123443603517,391.7813105583191,80000,,,,,,
43.62913,0.010583968,0.26792032,-43.618546,43.618546,1.0707214,0.51292294,1000.0,10.0,20,100.0,1.4453151,0.2165302,-43.65662,-101.55165,24.520287,-22.205847,847.3557,0.06938787,0.54919755,0.54919755,9.969891e-05,0.0003,99.9942,0.0036957598209381103,410.2601134777069,85000,,,,,,
48.05228,0.017904183,0.21936046,-48.034378,48.034378,0.97463006,0.5127967,1000.0,10.0,20,100.0,1.0821614,-2.2305906,-48.109173,-102.025406,20.139631,-21.999352,895.2711,0.038773358,0.4997871,0.4997871,9.9606885e-05,0.0003,99.11315,0.0036864876747131348,428.69255542755127,90000,,,,,,
48.98627,0.020351132,0.2628922,-48.96592,48.96592,0.89587826,0.50462884,1000.0,10.0,20,100.0,1.2808657,0.5682944,-49.021973,-102.13649,20.914848,-17.283598,733.65344,0.05113917,0.452086,0.452086,9.950265e-05,0.0003,95.47574,0.003638312530517578,446.88412261009216,95000,,,,,,
44.126957,0.013515037,0.24732947,-44.11344,44.11344,1.0009682,0.49613738,1000.0,10.0,20,100.0,1.0160172,0.64748335,-44.07142,-102.661285,27.62842,-17.461426,817.23535,0.0580706,0.49661776,0.49661776,9.938626e-05,0.0003,94.80475,0.0036954716205596923,465.3614845275879,100000,,,,,,
47.765865,0.025998771,0.27684325,-47.73987,47.73987,0.9854279,0.48595867,1000.0,10.0,20,100.0,1.5012985,-2.424096,-47.687504,-101.429,16.00209,-22.595554,774.2369,0.055062115,0.47887725,0.47887725,9.9257726e-05,0.0003,97.15489,0.0062881676197052,496.8023262023926,105000,,,,,,
49.39496,0.012609568,0.2676805,-49.382347,49.382347,1.18029,0.48874488,1000.0,10.0,20,100.0,1.4866807,-2.5714905,-49.545395,-102.46054,18.46034,-23.151382,815.21716,0.078458875,0.57686067,0.57686067,9.91171e-05,0.0003,108.5677,0.0036791527271270753,515.198094367981,110000,,,,,,
45.64215,0.014428876,0.26056504,-45.627724,45.627724,1.0028435,0.49610955,1000.0,10.0,20,100.0,1.0858178,1.6799424,-45.671406,-102.9114,33.667995,-24.446814,826.9004,0.062464677,0.49752024,0.49752024,9.896442e-05,0.0003,96.479996,0.00364530553817749,533.4246263504028,115000,,,,,,
47.453594,0.008163504,0.24588545,-47.44543,47.44543,1.0076644,0.48661953,1000.0,10.0,20,100.0,0.9676069,0.52580726,-47.509323,-102.16347,19.024801,-22.016077,701.57056,0.056165088,0.49034917,0.49034917,9.8799705e-05,0.0003,97.456116,0.0037084611892700195,551.9669365882874,120000,,,,,,
46.353905,0.0039996486,0.22600421,-46.349907,46.349907,0.8660181,0.48683134,1000.0,10.0,20,100.0,1.080283,-0.26140028,-46.44527,-102.28751,25.715433,-18.942368,729.4215,0.05117631,0.42160475,0.42160475,9.8623015e-05,0.0003,89.594666,0.0037006542205810546,570.470211982727,125000,,,,,,
48.297535,0.008724408,0.2268109,-48.28881,48.28881,0.8883634,0.48673105,1000.0,10.0,20,100.0,1.2693044,1.0117882,-48.20461,-102.71887,18.415209,-17.389376,713.4263,0.052578624,0.43239406,0.43239406,9.843441e-05,0.0003,92.806244,0.00370300931930542,588.9852631092072,130000,,,,,,
47.986126,0.008720717,0.26320004,-47.977406,47.977406,1.0015181,0.4819553,1000.0,10.0,20,100.0,1.0956004,0.7494237,-48.05987,-102.542885,17.398092,-19.561493,725.32983,0.05853414,0.48268697,0.48268697,9.823391e-05,0.0003,97.35042,0.0036357892513275147,607.1642136573792,135000,,,,,,
46.572258,0.008676094,0.24651214,-46.563583,46.563583,0.9412245,0.48646998,1000.0,10.0,20,100.0,1.0417159,2.2111309,-46.530487,-102.33937,16.970516,-18.311357,756.00256,0.054781176,0.45787743,0.45787743,9.8021614e-05,0.0003,93.40172,0.003687233638763428,625.6003861427307,140000,,,,,,
46.85977,0.0077202898,0.26203698,-46.85205,46.85205,0.9307917,0.4798245,1000.0,10.0,20,100.0,1.2947959,1.7363576,-46.930626,-102.22626,18.007479,-18.128796,667.6248,0.04978577,0.44661668,0.44661668,9.779754e-05,0.0003,92.81624,0.003687186908721924,644.036324262619,145000,,,,,,
46.574265,0.005128658,0.22973067,-46.569138,46.569138,1.0517372,0.47983503,1000.0,10.0,20,100.0,1.1205962,0.2675652,-46.655815,-102.415794,26.401237,-20.386738,780.07495,0.0627017,0.50466037,0.50466037,9.756177e-05,0.0003,98.160904,0.003692740726470947,662.5000314712524,150000,,,,,,
44.384872,0.009783043,0.19960955,-44.375088,44.375088,0.85136616,0.47144428,1000.0,10.0,20,100.0,2.5739572,1.2505009,-44.35482,-102.12158,22.229841,-17.801119,647.64954,0.044895187,0.40137172,0.40137172,9.7314376e-05,0.0003,87.096,0.003630460834503174,680.6523394584656,155000,,,,,,
47.2903,0.010504959,0.24056233,-47.279793,47.279793,0.9232071,0.4750867,1000.0,10.0,20,100.0,0.9893149,-0.12063375,-47.339546,-101.85842,15.144699,-17.49707,651.3573,0.049040355,0.43860337,0.43860337,9.7055396e-05,0.0003,92.13995,0.003700241708755493,699.1535522937775,160000,,,,,,
46.965824,0.006160569,0.20698753,-46.959663,46.959663,0.9797037,0.46648884,1000.0,10.0,20,100.0,1.9287059,-0.6571403,-46.999596,-101.86051,15.449086,-20.764557,755.2893,0.04234615,0.45702082,0.45702082,9.6784934e-05,0.0003,94.59662,0.003680717086791992,717.5571417808533,165000,,,,,,
48.23324,0.00816645,0.2463795,-48.22507,48.22507,1.0276946,0.46255073,1000.0,10.0,20,100.0,0.8211304,0.4410772,-48.28833,-101.51561,16.392593,-15.252364,634.8199,0.060110204,0.47536087,0.47536087,9.6503034e-05,0.0003,96.590454,0.003700769567489624,736.0609934329987,170000,,,,,,
49.9184,0.008281097,0.21255934,-49.91012,49.91012,0.8336046,0.46393013,1000.0,10.0,20,100.0,4.837128,0.119299114,-50.034447,-101.80654,21.352728,-24.002687,706.79803,0.033658646,0.38673428,0.38673428,9.62098e-05,0.0003,93.428955,0.0036323370456695556,754.2226829528809,175000,,,,,,
48.201256,0.0050964993,0.21550587,-48.19616,48.19616,0.8702879,0.46320158,1000.0,10.0,20,100.0,0.96219015,-0.032755017,-48.32598,-101.438736,17.543476,-17.21191,614.86084,0.038650863,0.4031187,0.4031187,9.59053e-05,0.0003,89.47531,0.0036802669525146485,772.6240220069885,180000,,,,,,
47.620377,0.0038682048,0.2283963,-47.61651,47.61651,0.9523718,0.46431956,1000.0,10.0,20,100.0,1.0230004,0.8690117,-47.558556,-101.76786,14.426033,-14.756098,675.70215,0.050014004,0.44220483,0.44220483,9.558961e-05,0.0003,92.86386,0.003690006732940674,791.0740597248077,185000,,,,,,
47.21752,0.0072701755,0.18651631,-47.21025,47.21025,0.81996787,0.46142825,1000.0,10.0,20,100.0,0.78302014,0.91069824,-47.276596,-102.31351,19.897919,-14.091343,536.3801,0.040736154,0.37835634,0.37835634,9.526282e-05,0.0003,85.836174,0.003696196460723877,809.5550458431244,190000,,,,,,
48.41128,0.0068248943,0.22202158,-48.404457,48.404457,0.96495134,0.4542933,1000.0,10.0,20,100.0,1.902533,-0.019619562,-48.317654,-101.13059,19.206648,-11.27546,633.7278,0.06383936,0.43837094,0.43837094,9.4925024e-05,0.0003,94.15091,0.0036342593193054197,827.7263467311859,195000,,,,,,
44.665154,0.0042590154,0.23458937,-44.660896,44.660896,1.1135972,0.45258006,1000.0,10.0,20,100.0,1.4270971,0.59934264,-44.67016,-101.16545,24.40203,-16.375198,748.17847,0.05310272,0.5039919,0.5039919,9.457632e-05,0.0003,96.49144,0.0036845630645751955,846.1491661071777,200000,,,,,,
44.292904,0.0075067393,0.21158019,-44.285397,44.285397,0.9655167,0.45833015,1000.0,10.0,20,100.0,3.0226352,-0.7804368,-44.268406,-100.70701,16.826296,-18.294094,772.7682,0.044269722,0.44252542,0.44252542,9.42168e-05,0.0003,91.568085,0.006745721006393432,879.8777751922607,205000,,,,,,
46.44313,0.006898797,0.23306596,-46.436234,46.436234,0.9925118,0.45457354,1000.0,10.0,20,100.0,0.74855787,0.48020667,-46.511765,-101.08441,14.752154,-15.080022,614.26135,0.063717656,0.45116958,0.45116958,9.384654e-05,0.0003,92.30865,0.0036821179866790774,898.2883689403534,210000,,,,,,
49.75535,0.0066648815,0.2156077,-49.748684,49.748684,1.0390891,0.45382538,1000.0,10.0,20,100.0,0.84083617,0.08212055,-49.766872,-100.85529,40.257366,-49.059288,876.6874,0.036346834,0.471565,0.471565,9.346567e-05,0.0003,97.752686,0.003643223190307617,916.5044887065887,215000,,,,,,
45.757343,0.0057437015,0.24565877,-45.7516,45.7516,0.9967429,0.44985673,1000.0,10.0,20,100.0,2.2863302,-1.2928821,-45.72058,-100.432106,24.139565,-28.43543,752.63983,0.056506947,0.4483915,0.4483915,9.30743e-05,0.0003,92.88283,0.0036796818256378174,934.9029011726379,220000,,,,,,
47.41362,0.0056710765,0.25025436,-47.407948,47.407948,1.0564686,0.45426092,1000.0,10.0,20,100.0,0.8825063,0.3264991,-47.394157,-99.54662,19.198076,-18.861067,753.0563,0.045123905,0.47991237,0.47991237,9.267249e-05,0.0003,96.28737,0.0036868648529052735,953.3372328281403,225000,,,,,,
49.701244,0.008754735,0.20282349,-49.69249,49.69249,0.9761018,0.46063837,1000.0,10.0,20,100.0,0.9086803,-5.3188906,-49.675133,-100.655914,16.447971,-15.646625,620.3283,0.052026883,0.44962996,0.44962996,9.2260394e-05,0.0003,95.57292,0.0036918702125549314,971.7965879440308,230000,,,,,,
45.332565,0.0057139355,0.22684447,-45.32685,45.32685,0.9410745,0.4685823,1000.0,10.0,20,100.0,0.8860236,-0.17398053,-45.4507,-100.44422,22.976828,-22.333725,617.8872,0.051270824,0.44097084,0.44097084,9.183811e-05,0.0003,90.315674,0.0036282989501953125,989.9380867481232,235000,,,,,,
45.012127,0.009097557,0.23111603,-45.00303,45.00303,0.9813054,0.46084604,1000.0,10.0,20,100.0,3.0813744,0.84940374,-45.196648,-100.712006,34.78288,-34.32381,821.7543,0.049165137,0.45223072,0.45223072,9.1405775e-05,0.0003,93.316574,0.0036928186416625977,1008.4021866321564,240000,,,,,,
44.217274,0.006527004,0.23986308,-44.210747,44.210747,1.0100386,0.45602036,1000.0,10.0,20,100.0,1.3793211,-2.8200228,-44.17137,-100.41824,14.198082,-13.926044,689.67737,0.05328948,0.4605982,0.4605982,9.0963455e-05,0.0003,91.65642,0.003698279094696045,1026.8935859203339,245000,,,,,,
43.43769,0.0019610745,0.19473201,-43.43573,43.43573,1.0196993,0.4583839,1000.0,10.0,20,100.0,1.5710678,0.7900414,-43.391983,-104.014824,18.969797,-18.3727,612.6514,0.048492573,0.46741372,0.46741372,9.051133e-05,0.0003,91.75013,0.0036957234382629395,1045.372210741043,250000,,,,,,
49.151886,0.00552307,0.22719313,-49.146362,49.146362,1.0640801,0.45992318,1000.0,10.0,20,100.0,0.6688763,0.34321177,-49.09888,-104.04211,94.136475,-63.87007,1022.7501,0.049975295,0.48939514,0.48939514,9.004948e-05,0.0003,98.76028,0.0036260231494903566,1063.502329826355,255000,,,,,,
47.171574,0.00612923,0.22624572,-47.165443,47.165443,1.0096492,0.4564027,1000.0,10.0,20,100.0,1.2640021,0.4162042,-47.262337,-101.79114,15.680014,-13.219409,734.1681,0.047295105,0.46080658,0.46080658,8.9578054e-05,0.0003,94.516235,0.003688645887374878,1081.9455635547638,260000,,,,,,
45.630558,0.005871511,0.247291,-45.624687,45.624687,0.89261633,0.44962388,1000.0,10.0,20,100.0,0.8581306,0.6112636,-45.59967,-99.905205,27.711601,-26.552938,673.98773,0.053812668,0.40134165,0.40134165,8.909717e-05,0.0003,86.62285,0.003696788787841797,1100.4295146465302,265000,,,,,,
45.50077,0.009364841,0.22302198,-45.491405,45.491405,0.9145336,0.44215783,1000.0,10.0,20,100.0,0.8216279,-2.8429146,-45.499725,-99.53991,66.16611,-43.052055,693.3689,0.053594843,0.40436816,0.40436816,8.860696e-05,0.0003,86.75922,0.003685400104522705,1118.856519460678,270000,,,,,,
43.490597,0.009965328,0.2177755,-43.480633,43.480633,0.95461255,0.43598232,1000.0,10.0,20,100.0,1.0192026,0.3311376,-43.619247,-99.419945,14.592905,-18.718674,623.3707,0.05371679,0.4161942,0.4161942,8.810758e-05,0.0003,86.12922,0.003641224050521851,1137.0626435279846,275000,,,,,,
45.143353,0.008872097,0.259857,-45.13448,45.13448,1.057346,0.43892765,1000.0,10.0,20,100.0,1.3101213,0.64797103,-45.600697,-100.345314,83.78582,-71.83479,1036.2998,0.050775334,0.4640984,0.4640984,8.759914e-05,0.0003,92.86331,0.0036793504238128664,1155.4593997001648,280000,,,,,,
44.776066,0.005098383,0.21401754,-44.770966,44.770966,1.0854337,0.4368783,1000.0,10.0,20,100.0,6.761161,0.77595633,-44.824417,-99.8388,14.359366,-14.740061,761.2081,0.044568434,0.47420245,0.47420245,8.708179e-05,0.0003,98.95747,0.003714974069595337,1174.0342774391174,285000,,,,,,
43.097065,0.0026515462,0.20938069,-43.094414,43.094414,0.9091399,0.43908015,1000.0,10.0,20,100.0,0.8942096,0.045120284,-43.217327,-99.16919,16.87049,-14.050927,505.86435,0.045858525,0.39918527,0.39918527,8.655565e-05,0.0003,83.909805,0.003623203277587891,1192.1502974033356,290000,,,,,,
48.471943,0.009916032,0.21570055,-48.46203,48.46203,1.0665562,0.4273191,1000.0,10.0,20,100.0,0.82001984,0.2352823,-48.55603,-99.713135,38.579494,-38.040783,869.43066,0.054866508,0.45575985,0.45575985,8.602091e-05,0.0003,94.86795,0.003693942356109619,1210.6200139522552,295000,,,,,,
46.048527,0.003749861,0.19640619,-46.044777,46.044777,0.93061393,0.43230706,1000.0,10.0,20,100.0,0.7510047,-2.0885406,-46.06651,-102.17739,20.238777,-15.753943,608.97485,0.040427327,0.40231097,0.40231097,8.547767e-05,0.0003,87.030624,0.0037012986183166505,1229.1265110969543,300000,,,,,,
45.86876,0.007395922,0.17027591,-45.861362,45.861362,0.8334392,0.43237334,1000.0,10.0,20,100.0,0.65229595,0.16646108,-45.87535,-99.70403,11.135377,-21.076092,549.75916,0.036910668,0.36035687,0.36035687,8.49261e-05,0.0003,82.55674,0.006710258960723877,1262.6778099536896,305000,,,,,,
