training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,validation/actor/actor_loss,validation/actor/bound_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/alpha/current_vs_historical_ratio,validation/alpha/historical_avg_loss,validation/alpha/max_alpha_bound,validation/alpha/min_alpha_bound,validation/alpha/valid_count,validation/alpha_weight,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/meanflow/consistency_loss,validation/meanflow/flow_loss,validation/meanflow/mean_flow_loss,validation/total_loss,time/epoch_time,time/total_time,step,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/control,exploration/time,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration
-0.07224,0.0,0.18221143,0.07224,-0.07224,1.0,0.0,1200.0,12.0,0,120.0,5.3817816,5.709717,0.10420843,-3.9844096,381.1377,-401.7306,3376.7188,0.0369784,0.57971776,0.57971776,0.0,0.0003,74.87567,2.4840956,0.0,0.19686942,-2.4840956,2.4840956,1.0,0.0,1200.0,12.0,0,120.0,1.5573237,2.432893,-2.461428,-6.518771,0.04410808,0.6500542,0.6500542,82.04793,0.008579172945022582,42.8958842754364,0,,,,,,,,,,,,
48.040367,0.006635707,0.04181829,-48.03373,48.03373,13499734.0,0.0,1200.0,12.0,2,120.0,0.2757116,-23.816595,-48.034035,-53.172226,97.01489,-324.6316,1833.3705,0.004461476,0.13499734,0.13499734,1e-05,0.0003,64.51576,48.1616,0.0062428988,0.044276815,-48.155354,48.155354,18509376.0,0.0,1200.0,12.0,2,120.0,0.62455404,-10.830811,-48.176575,-52.91096,0.0050563305,0.18509376,0.18509376,70.997406,0.019918917226791382,142.4904773235321,5000,,,,,,,,,,,,
84.883675,0.0036893343,0.041045386,-84.87998,84.87998,15070966.0,0.0,1200.0,12.0,4,120.0,2.4366941,-33.92232,-84.959145,-93.44766,337.1778,-359.01627,2281.538,0.0054916083,0.15070966,0.15070966,2e-05,0.0003,105.405525,85.80298,0.004822457,0.050715603,-85.79816,85.79816,17577418.0,0.0,1200.0,12.0,5,120.0,2.349224,-35.642223,-85.82773,-93.083206,0.0063678683,0.17577419,0.17577419,109.24511,0.003728548288345337,161.13322591781616,10000,,,,,,,,,,,,
97.17567,0.0019115987,0.04133737,-97.17375,97.17375,19896180.0,0.0,1200.0,12.0,7,120.0,2.2192614,-23.696707,-97.6727,-123.165504,78.645454,-96.51395,1445.3257,0.007466707,0.1989618,0.1989618,3e-05,0.0003,123.27034,97.17503,0.0015598442,0.043679543,-97.17348,97.17348,23515106.0,0.0,1200.0,12.0,7,120.0,4.3113937,-17.747,-97.654305,-125.25461,0.0064556184,0.23515105,0.23515105,129.70456,0.00377637619972229,180.01511454582214,15000,,,,,,,,,,,,
105.246475,0.0022084936,0.04225987,-105.24427,105.24427,13200322.0,0.0,1200.0,12.0,9,120.0,2.9735856,-20.646603,-105.44664,-141.31985,28.817772,-42.356102,959.7403,0.006018879,0.13200322,0.13200322,4e-05,0.0003,124.06045,108.300415,0.0015376214,0.03245258,-108.298874,108.298874,13434887.0,0.0,1200.0,12.0,10,120.0,9.785522,-11.146159,-108.49856,-137.3203,0.007390062,0.13434887,0.13434887,134.2078,0.0037715875625610354,198.87305998802185,20000,,,,,,,,,,,,
106.98672,0.004081236,0.04550382,-106.982635,106.982635,2.93373,0.06894188,1200.0,12.0,12,120.0,3.1673942,1.9022129,-107.13781,-158.11182,39.935417,-45.38938,1079.038,0.005733396,0.20225684,0.20225684,5e-05,0.0003,134.42493,110.672005,0.005259546,0.04353416,-110.66675,110.66675,2.567329,0.06894188,1200.0,12.0,12,120.0,7.2995267,-36.14803,-111.02664,-155.95969,0.0052374103,0.17699647,0.17699647,139.2111,0.0037044231414794923,217.39518213272095,25000,,,,,,,,,,,,
109.101204,0.0013321165,0.031363733,-109.09987,109.09987,1.4174061,0.106384344,1200.0,12.0,14,120.0,2.6112661,-22.387814,-109.23059,-171.53043,49.469517,-46.694324,816.84326,0.0027266417,0.15078981,0.15078981,6e-05,0.0003,129.80725,111.360214,0.00087255193,0.039041586,-111.359344,111.359344,2.1360312,0.11859328,1200.0,12.0,15,120.0,9.257881,-10.905254,-111.66064,-171.35475,0.0074030235,0.25331897,0.25331897,151.01637,0.003761521577835083,236.202796459198,30000,,,,,,,,,,,,
111.305786,0.0024736852,0.04662326,-111.303314,111.303314,1.029914,0.13997209,1200.0,12.0,17,120.0,4.74132,3.7800803,-111.57225,-184.64583,30.116087,-20.791254,719.6717,0.008878802,0.14415921,0.14415921,6.9999995e-05,0.0003,133.3462,110.19365,0.0024901466,0.042158205,-110.19116,110.19116,0.93018895,0.13997209,1200.0,12.0,17,120.0,8.533617,-24.910255,-110.5665,-187.94531,0.0051723965,0.13020049,0.13020049,134.35132,0.003710356283187866,254.75458526611328,35000,,,,,,,,,,,,
102.86438,0.0017558035,0.06538231,-102.862625,102.862625,2.2531753,0.1636585,1200.0,12.0,19,120.0,7.753331,3.660729,-104.11958,-193.10121,32.580322,-38.32816,1142.4946,0.005039873,0.36875126,0.36875126,8e-05,0.0003,154.86786,105.117615,0.005127821,0.053219583,-105.11249,105.11249,1.391415,0.18186519,1200.0,12.0,20,120.0,10.607806,-14.913684,-105.701706,-200.9997,0.009306962,0.25304994,0.25304994,146.09142,0.0037579395771026613,273.54429054260254,40000,,,,,,,,,,,,
97.84834,0.008809952,0.057662833,-97.83953,97.83953,1.3262305,0.18076035,1200.0,12.0,20,120.0,3.3396535,-16.06117,-98.12029,-213.23949,42.50084,-41.276695,1208.8679,0.016491747,0.2397299,0.2397299,8.9999994e-05,0.0003,129.95558,100.98827,0.0068721455,0.061844494,-100.9814,100.9814,1.3926617,0.18076035,1200.0,12.0,20,120.0,12.342802,-18.307009,-101.405426,-208.96655,0.011644512,0.251738,0.251738,143.53964,0.003713430643081665,292.111451625824,45000,,,,,,,,,,,,
