training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
-0.19262886,0.0,0.51240224,0.19262886,-0.19262886,1.0,0.0,90000.0,900.0,0,9000.0,16.908876,3.8560033,0.30027467,-3.086927,13308.855,-12337.073,244810.17,0.100370616,0.9441237,0.9441237,0.0,0.0003,8513.829,0.008054974508285523,40.274877071380615,0,,,,,,,
-44.601665,0.033956237,0.08333606,44.63562,-44.63562,25186694.0,0.0,90000.0,900.0,2,9000.0,4.434898,449.48883,44.7051,-7.9362154,6464.286,-6185.138,186173.03,0.01618994,0.25186694,0.25186694,1e-05,0.0003,2226.6357,0.009036682510375977,85.4582941532135,5000,,,,,,,
-110.21581,0.015371461,0.04430058,110.231186,-110.231186,18827334.0,0.0,90000.0,900.0,4,9000.0,4.576181,830.48755,110.569016,-11.499453,8489.072,-10115.073,173565.78,0.007118233,0.18827334,0.18827334,2e-05,0.0003,1588.8204,0.0037174147129058837,104.04537105560303,10000,,,,,,,
-179.52414,0.012589962,0.039674304,179.53673,-179.53673,14023361.0,0.0,90000.0,900.0,7,9000.0,4.9692135,1136.5436,179.32523,-15.341515,9388.72,-9745.063,123489.86,0.00700163,0.1402336,0.1402336,3e-05,0.0003,1087.5475,0.003722504711151123,122.65789842605591,15000,,,,,,,
-208.48772,0.012176309,0.040235154,208.4999,-208.4999,14816368.0,0.0,90000.0,900.0,9,9000.0,6.625884,1380.8385,208.2745,-15.473841,7625.957,-7583.993,101686.56,0.005547424,0.14816368,0.14816368,4e-05,0.0003,1131.6113,0.003664418888092041,140.97999691963196,20000,,,,,,,
-279.85556,0.015497445,0.038093828,279.87106,-279.87106,1.8317803,0.08745889,90000.0,900.0,12,9000.0,10.969105,1567.2399,280.0945,-25.985355,15253.421,-5853.5806,88781.38,0.0068371734,0.16020548,0.16020548,5e-05,0.0003,1172.9629,0.003739772891998291,159.6788649559021,25000,,,,,,,
-344.20267,0.009846597,0.03255935,344.21252,-344.21252,1.140596,0.12104462,90000.0,900.0,14,9000.0,19.138556,1711.0045,343.6546,-46.26345,8657.079,-5499.4443,66748.555,0.0045962348,0.13806301,0.13806301,6e-05,0.0003,917.50305,0.003726483917236328,178.31128859519958,30000,,,,,,,
-397.66455,0.017331157,0.03494741,397.6819,-397.6819,0.87839144,0.14748728,90000.0,900.0,17,9000.0,17.848568,1823.2343,397.51703,-71.39459,9361.5,-4878.6743,64313.133,0.0050907,0.12955156,0.12955156,6.9999995e-05,0.0003,786.148,0.003743784141540527,197.0302131175995,35000,,,,,,,
-409.68668,0.011296716,0.035284895,409.69797,-409.69797,0.8698176,0.15814985,90000.0,900.0,19,9000.0,18.719284,1915.4315,409.51007,-49.84242,5850.532,-3433.983,49966.75,0.0063323434,0.13756153,0.13756153,8e-05,0.0003,847.0863,0.003655846309661865,215.30944991111755,40000,,,,,,,
-395.37534,0.0077444576,0.028606072,395.3831,-395.3831,0.86860293,0.14178187,90000.0,900.0,20,9000.0,14.283377,1991.0652,394.65714,-17.687704,5076.2075,-3142.011,58159.07,0.0055249976,0.123152144,0.123152144,8.9999994e-05,0.0003,727.27734,0.003722385311126709,233.92138028144836,45000,,,,,,,
-438.7262,0.010373864,0.029181989,438.73657,-438.73657,0.76636887,0.13420731,90000.0,900.0,20,9000.0,29.735077,2050.6218,438.64886,-35.21716,5432.644,-4244.878,41646.48,0.0057674977,0.1028523,0.1028523,1e-04,0.0003,516.67957,0.0037160085678100588,252.50142765045166,50000,,,,,,,
-426.3012,0.0088418145,0.025448037,426.31006,-426.31006,0.8708767,0.12437769,90000.0,900.0,20,9000.0,14.79472,2098.481,426.20352,-14.248236,2893.3918,-2525.744,36725.023,0.0045906077,0.10831764,0.10831764,9.999385e-05,0.0003,563.3523,0.003713763189315796,271.07024788856506,55000,,,,,,,
-391.3273,0.012764934,0.025556555,391.34006,-391.34006,0.83114654,0.12073759,90000.0,900.0,20,9000.0,8.412055,2134.3818,391.33307,12.909508,1976.7023,-2124.5066,35917.883,0.0044401977,0.10035064,0.10035064,9.99754e-05,0.0003,520.2405,0.0036622931003570556,289.3817193508148,60000,,,,,,,
-498.51654,0.0068936446,0.019921865,498.52344,-498.52344,0.8032691,0.11633928,90000.0,900.0,20,9000.0,7.113467,2157.0413,498.09497,24.870451,2272.4258,-1568.0406,27099.09,0.0031594837,0.09345175,0.09345175,9.994465e-05,0.0003,349.66272,0.0037213982105255127,307.9887144565582,65000,,,,,,,
-464.00076,0.010097687,0.02075719,464.01086,-464.01086,0.7686884,0.11162268,90000.0,900.0,20,9000.0,6.573205,2170.8323,464.0069,39.44313,1503.7019,-1852.3939,24517.562,0.0025016123,0.08580306,0.08580306,9.990162e-05,0.0003,314.8,0.003735015916824341,326.6637980937958,70000,,,,,,,
-425.80606,0.009667021,0.023533357,425.81573,-425.81573,0.99768573,0.10578584,90000.0,900.0,20,9000.0,6.793505,2178.0027,425.8125,35.393486,1668.1099,-825.28284,35182.297,0.0036468091,0.10554102,0.10554102,9.984629e-05,0.0003,530.8567,0.0037181828498840334,345.25471687316895,75000,,,,,,,
-415.76672,0.0084765125,0.01895657,415.7752,-415.7752,0.89876,0.102921896,90000.0,900.0,20,9000.0,10.443971,2182.2195,415.8177,27.046904,1296.4436,-1850.6117,24851.191,0.0033249685,0.09250209,0.09250209,9.977873e-05,0.0003,427.19604,0.0036591227531433106,363.5503349304199,80000,,,,,,,
-423.18137,0.0065567777,0.018988986,423.18793,-423.18793,0.9697627,0.09511002,90000.0,900.0,20,9000.0,8.840226,2180.7527,422.9201,32.389683,1852.1945,-1222.619,28278.354,0.004100906,0.09223415,0.09223415,9.969891e-05,0.0003,415.76624,0.003703244972229004,382.06656408309937,85000,,,,,,,
-393.32394,0.0058172997,0.016727913,393.32977,-393.32977,0.75017655,0.0917317,90000.0,900.0,20,9000.0,10.223579,2176.225,392.6828,23.044638,1123.0793,-774.2244,22516.39,0.0027645743,0.06881496,0.06881496,9.9606885e-05,0.0003,236.23428,0.003706447982788086,400.5988075733185,90000,,,,,,,
