training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,validation/actor/actor_loss,validation/actor/bound_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/alpha/current_vs_historical_ratio,validation/alpha/historical_avg_loss,validation/alpha/max_alpha_bound,validation/alpha/min_alpha_bound,validation/alpha/valid_count,validation/alpha_weight,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/meanflow/consistency_loss,validation/meanflow/flow_loss,validation/meanflow/mean_flow_loss,validation/total_loss,time/epoch_time,time/total_time,step,exploration/xy,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration
0.11374841,0.0,0.46875915,-0.11374841,0.11374841,1.0,0.0,1500.0,15.0,0,150.0,2.9861805,3.8358076,-0.018561456,-3.581905,113.212364,-128.56032,2170.8708,0.08768073,0.9109049,0.9109049,0.0,0.0003,139.73566,1.2623646,0.0,0.47562382,-1.2623646,1.2623646,1.0,0.0,1500.0,15.0,0,150.0,1.8595409,2.6089237,-1.5457263,-6.016328,0.09153147,1.0125868,1.0125868,155.00993,0.00882909288406372,44.145490407943726,0,,,,,,,,,,,
23.000404,0.03353501,0.2704028,-22.96687,22.96687,47958620.0,0.0,1500.0,15.0,2,150.0,0.11845251,-6.9289837,-22.967306,-26.63286,135.09329,-128.11983,3802.5596,0.05061237,0.4795862,0.4795862,1e-05,0.0003,95.05679,22.733528,0.03334973,0.25946566,-22.700178,22.700178,51111840.0,0.0,1500.0,15.0,2,150.0,0.13719821,-6.6408415,-22.703316,-26.12948,0.055546056,0.5111184,0.5111184,99.53849,0.03532500233650208,220.77050876617432,5000,,,,,,,,,,,
41.956753,0.02826363,0.22899367,-41.92849,41.92849,43068530.0,0.0,1500.0,15.0,4,150.0,0.15104732,-8.58566,-41.941467,-44.7548,246.74841,-274.63486,4306.308,0.041489396,0.43068528,0.43068528,2e-05,0.0003,106.71059,39.791393,0.03104826,0.2270216,-39.760345,39.760345,40647010.0,0.0,1500.0,15.0,5,150.0,0.5531976,-4.76077,-39.777832,-44.641136,0.041319367,0.40647006,0.40647006,101.315094,0.003726762056350708,239.4043254852295,10000,,,,,,,,,,,
57.305305,0.024956029,0.20413771,-57.28035,57.28035,38854780.0,0.0,1500.0,15.0,7,150.0,0.2980406,-6.3539796,-57.32609,-62.72586,61.48856,-67.52616,2372.5464,0.039620258,0.3885478,0.3885478,3e-05,0.0003,115.88551,55.695362,0.024175437,0.2078316,-55.67119,55.67119,39343148.0,0.0,1500.0,15.0,7,150.0,0.5271464,-3.6063688,-55.747753,-62.702,0.04229195,0.39343148,0.39343148,115.23723,0.003785034990310669,258.3295063972473,15000,,,,,,,,,,,
69.32902,0.019284885,0.19042714,-69.30973,69.30973,35589100.0,0.0,1500.0,15.0,9,150.0,0.30734766,-0.90725195,-69.29686,-78.78198,23.354853,-28.83035,1755.1807,0.028660638,0.355891,0.355891,4e-05,0.0003,123.02002,69.57471,0.018033352,0.18872973,-69.55667,69.55667,35981176.0,0.0,1500.0,15.0,10,150.0,0.4793341,-1.6699959,-69.59794,-78.82307,0.035466637,0.35981175,0.35981175,124.0258,0.0037024431228637696,276.8417294025421,20000,,,,,,,,,,,
81.883514,0.008932022,0.17126201,-81.87458,81.87458,2.3491693,0.16734247,1500.0,15.0,12,150.0,0.5876006,-4.422854,-81.899376,-92.95154,32.195217,-27.318487,1762.2217,0.029817889,0.39311576,0.39311576,5e-05,0.0003,141.43848,77.55824,0.008436756,0.1691955,-77.549805,77.549805,2.216456,0.16734247,1500.0,15.0,12,150.0,0.6865241,-2.8855205,-77.61078,-92.935165,0.029149655,0.3709072,0.3709072,133.88084,0.0037892952919006346,295.7882127761841,25000,,,,,,,,,,,
89.60753,0.0123174675,0.18581617,-89.595215,89.595215,1.5063331,0.25891736,1500.0,15.0,14,150.0,0.45666128,-0.8723579,-89.62573,-105.3669,22.300709,-19.115044,1328.9819,0.030233463,0.39001578,0.39001578,6e-05,0.0003,148.56656,88.391106,0.0127463695,0.20152186,-88.37836,88.37836,1.3017747,0.2909824,1500.0,15.0,15,150.0,0.7218745,-3.9435558,-88.36215,-105.2765,0.036051914,0.37879354,0.37879354,145.932,0.003709409427642822,314.33526706695557,30000,,,,,,,,,,,
97.366295,0.008016151,0.16490038,-97.35828,97.35828,1.1035708,0.34632605,1500.0,15.0,17,150.0,0.5428209,-7.2446895,-97.38162,-115.588036,16.29363,-15.583829,1164.8999,0.029917482,0.38219535,0.38219535,6.9999995e-05,0.0003,155.23842,95.762375,0.008962244,0.19244596,-95.75341,95.75341,1.0858191,0.34632605,1500.0,15.0,17,150.0,0.7505253,-0.8896017,-95.76323,-115.75578,0.03865452,0.37604746,0.37604746,152.92001,0.003705338954925537,332.86196875572205,35000,,,,,,,,,,,
102.75292,0.0075778584,0.19738707,-102.745346,102.745346,0.96216923,0.3858643,1500.0,15.0,19,150.0,0.9490299,-0.875577,-102.792015,-124.19357,13.507038,-13.838617,1019.7522,0.03039579,0.37126675,0.37126675,8e-05,0.0003,159.39197,100.03045,0.0075524775,0.18346147,-100.022896,100.022896,0.86402476,0.4022741,1500.0,15.0,20,150.0,1.0170202,-6.9926953,-100.08273,-124.29414,0.03393084,0.34757477,0.34757477,153.18369,0.0037802012920379637,351.76298213005066,40000,,,,,,,,,,,
105.83502,0.00869499,0.16876282,-105.826324,105.826324,1.0000228,0.3822653,1500.0,15.0,20,150.0,0.6061667,-0.24100466,-105.83383,-130.79727,16.39436,-15.808861,978.812,0.037942693,0.38227403,0.38227403,8.9999994e-05,0.0003,163.78229,102.922295,0.008249793,0.17477468,-102.91405,102.91405,1.0679708,0.3822653,1500.0,15.0,20,150.0,0.852242,-6.158737,-102.89907,-130.12068,0.04132174,0.40824816,0.40824816,165.01176,0.0036968049049377442,370.2470133304596,45000,,,,,,,,,,,
