training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
-0.19262886,0.0,0.51240224,0.19262886,-0.19262886,1.0,0.0,900.0,9.0,0,90.0,16.909084,3.8560033,0.30027467,-3.086927,134.94038,-125.21349,2748.4934,0.100370616,0.9441237,0.9441237,0.0,0.0003,101.687584,0.008663993310928344,43.319971799850464,0,,,,,,,
-243.29872,0.05773189,0.2800209,243.35646,-243.35646,98922730.0,0.0,900.0,9.0,2,90.0,109.29205,401.78314,226.56908,-3.830637,54.969795,-66.77471,6353.537,0.0419789,0.9892273,0.9892273,1e-05,0.0003,-44.97621,0.010443986463546754,95.5399124622345,5000,,,,,,,
-515.0445,0.08223916,0.5909322,515.1267,-515.1267,64456256.0,0.0,900.0,9.0,4,90.0,15.376387,705.10364,505.421,418.07623,161.05743,-173.99734,6815.6367,0.024406385,0.64456254,0.64456254,2e-05,0.0003,-441.6575,0.0035825928211212156,113.45288157463074,10000,,,,,,,
-755.1387,0.066662334,0.43844703,755.2053,-755.2053,54855060.0,0.0,900.0,9.0,7,90.0,34.98719,962.2384,738.8277,559.37213,127.6273,-286.34732,11274.498,0.031736344,0.5485506,0.5485506,3e-05,0.0003,-670.7819,0.0035666062831878663,131.28591752052307,15000,,,,,,,
-937.09064,0.06705668,0.38271925,937.1577,-937.1577,81371750.0,0.0,900.0,9.0,9,90.0,9.445906,1168.7246,925.0928,755.09143,116.0771,-319.1171,4498.1626,0.03918035,0.8137175,0.8137175,4e-05,0.0003,-854.41016,0.003564924478530884,149.11054468154907,20000,,,,,,,
-1125.1544,0.07164113,0.44321543,1125.2261,-1125.2261,2.7839408,0.20578359,900.0,9.0,12,90.0,28.122059,1337.9279,1110.9783,966.84827,156.88445,-793.9603,10904.902,0.038457572,0.5728893,0.5728893,5e-05,0.0003,-1045.4723,0.003535145950317383,166.78627920150757,25000,,,,,,,
-1273.8502,0.11407838,0.49842352,1273.9644,-1273.9644,2.0653071,0.3582626,900.0,9.0,14,90.0,56.057613,1485.1888,1254.6,1093.2822,1507.9839,-373.45065,8925.338,0.041951794,0.73992234,0.73992234,6e-05,0.0003,-1151.1996,0.003523675012588501,184.40465927124023,30000,,,,,,,
-1423.9395,0.12404346,0.66574025,1424.0635,-1424.0635,1.2456418,0.56223506,900.0,9.0,17,90.0,22.936356,1610.8689,1408.6505,1245.4248,2514.1133,-205.09482,13871.762,0.045359265,0.7003435,0.7003435,6.9999995e-05,0.0003,-1337.9722,0.0035432069301605225,202.12070155143738,35000,,,,,,,
-1497.1119,0.11272571,0.68173385,1497.2246,-1497.2246,1.0458921,0.6245546,900.0,9.0,19,90.0,22.871975,1715.0491,1480.8032,1329.6858,65.25382,-1762.906,6684.676,0.063029066,0.6532167,0.6532167,8e-05,0.0003,-1415.4504,0.003530616521835327,219.77378845214844,40000,,,,,,,
-1608.8428,0.1222803,0.9396432,1608.9651,-1608.9651,0.7071769,0.64652765,900.0,9.0,20,90.0,44.90232,1806.9985,1589.1318,1483.0786,7213.39,-323.01434,20959.762,0.08686378,0.4572094,0.4572094,8.9999994e-05,0.0003,-1522.7916,0.0035360159397125244,237.45387315750122,45000,,,,,,,
