training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.012237668,0.0,0.7173909,-0.012237668,0.012237668,1.0,0.0,10000.0,100.0,0,1000.0,1529.8293,3.8536587,-0.030983903,-3.040214,2581.645,-2492.8096,47984.62,0.1352163,1.1686206,1.1686206,0.0,0.0003,2698.4622,0.008592613983154297,42.963075399398804,0,,,,,,,
-509.34277,0.061479166,0.08052407,509.40427,-509.40427,26710764.0,0.0,10000.0,100.0,2,1000.0,929.6524,1009.6459,509.47882,-6.98332,1183.883,-928.2904,59625.86,0.018753162,0.26710764,0.26710764,1e-05,0.0003,687.41724,0.00859411325454712,85.9336485862732,5000,,,,,,,
-1260.7189,0.04261227,0.06190459,1260.7615,-1260.7615,27260804.0,0.0,10000.0,100.0,4,1000.0,1616.4945,2065.9517,1254.5647,-4.429576,2165.4482,-2781.1484,64592.45,0.011163171,0.27260804,0.27260804,2e-05,0.0003,628.38367,0.0035347220420837403,103.60726404190063,10000,,,,,,,
-2196.8096,0.03227459,0.05103199,2196.8418,-2196.8418,26687840.0,0.0,10000.0,100.0,7,1000.0,5838.383,2944.7043,2191.4011,30.89519,4544.676,-4593.881,221682.03,0.012853424,0.2668784,0.2668784,3e-05,0.0003,3908.4517,0.0035545491218566894,121.38001823425293,15000,,,,,,,
-2941.2102,0.029148975,0.027058523,2941.2393,-2941.2393,16406834.0,0.0,10000.0,100.0,9,1000.0,1029.3225,3634.1943,2940.422,239.20525,953.46686,-1213.6521,38607.062,0.005464229,0.16406834,0.16406834,4e-05,0.0003,-1747.8193,0.003550256013870239,139.1313123703003,20000,,,,,,,
-3535.089,0.038737535,0.114944026,3535.128,-3535.128,3.4248872,0.097870484,10000.0,100.0,12,1000.0,718.3222,4180.96,3514.6602,1412.9924,1293.3153,-1419.917,37094.242,0.0067826603,0.33519536,0.33519536,5e-05,0.0003,-2481.5715,0.0035415302753448487,156.83896827697754,25000,,,,,,,
-3998.0945,0.072492294,0.24409857,3998.167,-3998.167,2.4742572,0.17265083,10000.0,100.0,14,1000.0,2390.5876,4615.6626,3953.1838,1255.6045,5132.1333,-4834.295,114597.94,0.013996383,0.42718256,0.42718256,6e-05,0.0003,-1180.3242,0.0035272555351257323,174.4752504825592,30000,,,,,,,
-4363.657,0.09065159,0.29619473,4363.748,-4363.748,1.1153542,0.2334649,10000.0,100.0,17,1000.0,521.6735,4974.059,4318.794,2422.5754,543.1193,-715.97394,26770.598,0.023135003,0.26039603,0.26039603,6.9999995e-05,0.0003,-3581.5876,0.0035469528675079348,192.21001958847046,35000,,,,,,,
-4342.6733,0.018840522,0.034148466,4342.6924,-4342.6924,0.56154037,0.25529435,10000.0,100.0,19,1000.0,1261.297,5242.534,4342.411,2257.2822,787.212,-890.33746,42921.688,0.006077463,0.14335808,0.14335808,8e-05,0.0003,-2938.0183,0.0035331436157226563,209.87574219703674,40000,,,,,,,
-4863.7744,0.038188748,0.069339275,4863.8125,-4863.8125,1.2199152,0.2580873,10000.0,100.0,20,1000.0,1120.2124,5473.642,4847.4424,2401.323,469.63385,-577.66864,40641.81,0.008275112,0.3148446,0.3148446,8.9999994e-05,0.0003,-3428.7173,0.0035355418682098388,227.5534565448761,45000,,,,,,,
