training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.10818009,0.0,0.3877815,-0.10818009,0.10818009,1.0,0.0,10000.0,100.0,0,1000.0,123.2731,2.7377276,0.11762454,-3.5874968,1407.4473,-1270.286,25817.434,0.07599237,0.8313438,0.8313438,0.0,0.0003,954.7251,0.008518999004364014,42.59500002861023,0,,,,,,,
-128.96391,0.020665182,0.07881948,128.98457,-128.98457,22878266.0,0.0,10000.0,100.0,2,1000.0,23.063328,689.1912,128.69133,-6.8878264,471.83127,-509.22418,18948.785,0.014385163,0.22878265,0.22878265,1e-05,0.0003,122.882065,0.010655815601348878,95.87408328056335,5000,,,,,,,
-330.0292,0.014184242,0.06502303,330.0434,-330.0434,23305374.0,0.0,10000.0,100.0,4,1000.0,1249.1208,1238.629,318.23492,-10.71529,856.43726,-818.45886,48280.977,0.009751436,0.23305374,0.23305374,2e-05,0.0003,1152.1454,0.003628398036956787,114.01607847213745,10000,,,,,,,
-1063.2249,0.012557631,0.077141844,1063.2374,-1063.2374,27440452.0,0.0,10000.0,100.0,7,1000.0,365.42944,1635.7804,1055.303,646.3189,602.3235,-610.0791,19016.008,0.014484753,0.27440453,0.27440453,3e-05,0.0003,-423.39087,0.0036169857501983644,132.10101199150085,15000,,,,,,,
-1224.5348,0.008391093,0.049682453,1224.5432,-1224.5432,17979496.0,0.0,10000.0,100.0,9,1000.0,93.71834,1970.8041,1222.0664,636.20605,649.43414,-491.77844,10165.062,0.008005576,0.17979495,0.17979495,4e-05,0.0003,-951.0215,0.0036802470684051515,150.50225257873535,20000,,,,,,,
-1736.4315,0.018828504,0.10436778,1736.4503,-1736.4503,3.4523184,0.08639576,10000.0,100.0,12,1000.0,318.18454,2222.3713,1721.5706,1316.0934,719.8955,-447.70856,17089.158,0.013412039,0.2982657,0.2982657,5e-05,0.0003,-1119.9812,0.0037000065326690673,169.0022897720337,25000,,,,,,,
-2016.595,0.061021823,0.4830449,2016.656,-2016.656,4.117335,0.15070705,10000.0,100.0,14,1000.0,1119.393,2433.6128,1915.8861,1116.9918,613.1227,-715.9148,38210.93,0.03602071,0.62051135,0.62051135,6e-05,0.0003,-276.69067,0.0036928262233734133,187.46642541885376,30000,,,,,,,
-2032.9846,0.008243735,0.050499555,2032.9929,-2032.9929,1.0313638,0.21094014,10000.0,100.0,17,1000.0,26.229593,2603.0032,2028.7285,1641.1936,695.64246,-471.00946,7311.768,0.008772338,0.21755603,0.21755603,6.9999995e-05,0.0003,-1789.199,0.0036931958675384523,205.93240928649902,35000,,,,,,,
-2293.26,0.012961792,0.081704415,2293.273,-2293.273,1.8868469,0.2571587,10000.0,100.0,19,1000.0,2232.0798,2741.9531,2273.667,1700.4735,1033.9369,-459.40045,49245.188,0.009023476,0.48521912,0.48521912,8e-05,0.0003,424.03894,0.0036894724369049073,224.37977623939514,40000,,,,,,,
-2508.7542,0.02122761,0.1718134,2508.7754,-2508.7754,1.151253,0.3068286,10000.0,100.0,20,1000.0,374.2091,2849.3271,2481.8481,2097.9644,102.20661,-249.56123,13838.061,0.021922959,0.35323733,0.35323733,8.9999994e-05,0.0003,-1781.3076,0.003671423101425171,242.736896276474,45000,,,,,,,
-2462.8953,0.032388527,0.3051053,2462.9277,-2462.9277,1.6583023,0.32374057,10000.0,100.0,20,1000.0,452.00027,2940.2053,2402.9016,1852.4133,107.77054,-309.0313,17909.59,0.018399214,0.53685975,0.53685975,1e-04,0.0003,-1474.0353,0.0036655348777770995,261.06457591056824,50000,,,,,,,
-2449.7034,0.0100756,0.04464478,2449.7134,-2449.7134,0.7905391,0.3480641,10000.0,100.0,20,1000.0,94.16361,3009.9197,2445.0588,1529.6948,60.937233,-98.84783,7897.0938,0.007958217,0.2751583,0.2751583,9.999385e-05,0.0003,-2080.3816,0.003607607650756836,279.102618932724,55000,,,,,,,
-2511.2651,0.009197602,0.050528914,2511.2744,-2511.2744,0.55201054,0.33640587,10000.0,100.0,20,1000.0,42.01313,3071.2239,2509.232,1923.0195,65.865715,-78.941284,4244.0986,0.008421794,0.18569958,0.18569958,9.99754e-05,0.0003,-2283.5522,0.0036574292182922365,297.3897695541382,60000,,,,,,,
-2699.346,0.011109943,0.056843497,2699.3572,-2699.3572,0.6558449,0.32486475,10000.0,100.0,20,1000.0,414.226,3125.8699,2692.185,1776.4685,386.62546,-121.4216,17731.703,0.010863212,0.21306089,0.21306089,9.994465e-05,0.0003,-2072.059,0.0036433061599731443,315.6063051223755,65000,,,,,,,
-2530.51,0.008540126,0.053410348,2530.5186,-2530.5186,0.75385153,0.33209512,10000.0,100.0,20,1000.0,693.34656,3166.6345,2521.9387,1563.8689,532.7267,-158.64233,23920.115,0.007987548,0.25035042,0.25035042,9.990162e-05,0.0003,-1586.813,0.00363330774307251,333.77284812927246,70000,,,,,,,
-2714.0571,0.008607654,0.07980248,2714.0657,-2714.0657,0.72205,0.3417885,10000.0,100.0,20,1000.0,127.93876,3203.6487,2699.7212,2088.9048,72.33815,-228.62674,9650.496,0.008300156,0.24678838,0.24678838,9.984629e-05,0.0003,-2339.33,0.0036224013805389406,351.88485980033875,75000,,,,,,,
-2903.1907,0.018621542,0.17708099,2903.2092,-2903.2092,1.4320112,0.33191493,10000.0,100.0,20,1000.0,351.92618,3239.6755,2869.9055,2343.338,556.4987,-133.43643,17778.547,0.011430213,0.4753059,0.4753059,9.977873e-05,0.0003,-2075.9585,0.003576232671737671,369.7660279273987,80000,,,,,,,
-2964.6995,0.037851535,0.28885424,2964.7373,-2964.7373,1.2966568,0.32161832,10000.0,100.0,20,1000.0,123.46728,3264.5393,2915.044,2264.2568,45.413383,-152.42291,8850.137,0.019646872,0.4170286,0.4170286,9.969891e-05,0.0003,-2424.2036,0.003632007884979248,387.9260718822479,85000,,,,,,,
-2789.0093,0.0058464496,0.04076485,2789.0151,-2789.0151,0.5051181,0.31175944,10000.0,100.0,20,1000.0,17.499075,3277.2502,2787.845,2440.8943,38.086555,-46.01589,2897.5916,0.008788617,0.15747534,0.15747534,9.9606885e-05,0.0003,-2614.035,0.0036369810104370116,406.110981464386,90000,,,,,,,
-2859.3782,0.0088402685,0.04316725,2859.387,-2859.387,0.53596276,0.29157785,10000.0,100.0,20,1000.0,30.18092,3296.03,2857.4912,2243.167,47.378933,-48.079807,3126.333,0.006721945,0.15627486,0.15627486,9.950265e-05,0.0003,-2672.9224,0.003640131139755249,424.31164145469666,95000,,,,,,,
-2838.3093,0.0065138447,0.039866015,2838.316,-2838.316,0.5144116,0.30866098,10000.0,100.0,20,1000.0,1231.8942,3300.334,2838.4062,2339.1428,911.9814,-245.74251,29398.89,0.0074311374,0.1587788,0.1587788,9.938626e-05,0.0003,-1447.6364,0.003605424165725708,442.3387670516968,100000,,,,,,,
-2922.8455,0.022599341,0.22096288,2922.8682,-2922.8682,1.2354456,0.3259733,10000.0,100.0,20,1000.0,761.1829,3302.941,2886.4478,1628.4686,218.41246,-823.9373,24614.43,0.022826422,0.40272227,0.40272227,9.9257726e-05,0.0003,-1758.9403,0.010026747274398803,492.4725110530853,105000,,,,,,,
-2828.4126,0.008716932,0.03908236,2828.4214,-2828.4214,0.49631676,0.33035105,10000.0,100.0,20,1000.0,415.83154,3307.9548,2826.0176,2403.366,233.94388,-92.27952,11208.121,0.005728681,0.16395876,0.16395876,9.91171e-05,0.0003,-2248.6223,0.0038923780918121336,511.93440890312195,110000,,,,,,,
-2931.6514,0.01130157,0.10222272,2931.6626,-2931.6626,0.9741854,0.30473176,10000.0,100.0,20,1000.0,148.9218,3322.0251,2912.7952,2462.1213,75.43582,-322.54752,11974.503,0.010384035,0.29686522,0.29686522,9.896442e-05,0.0003,-2485.8643,0.003948386478424072,531.6763470172882,115000,,,,,,,
