training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,9000.0,90.0,0,900.0,16.908545,3.8545742,0.3001395,-3.0868587,1335.3425,-1359.2219,28693.303,0.0,1.0299811,1.0299811,0.0,0.0003,943.8916,0.008199690198898315,40.998791456222534,0,,,,,,,,,,,,,,,,,,,,,,,
0.011722372,0.0,24997718.0,0.0,9000.0,90.0,2,900.0,2.4866352,460.74283,39.6213,-9.41444,468.0287,-459.4781,31313.393,0.0,0.24997717,0.24997717,1e-05,0.0003,227.47781,0.015801091814041136,120.00439739227295,5000,,,,,,,,,,,,,,,,,,,,,,,
0.0047572823,0.0,20254078.0,0.0,9000.0,90.0,4,900.0,4.105753,842.22546,95.16843,-13.941504,669.15936,-816.4832,25392.564,0.0,0.20254079,0.20254079,2e-05,0.0003,186.39722,0.008606813716888428,163.0386471748352,10000,,,,,,,,,,,,,,,,,,,,,,,
0.008656432,0.0,14427313.0,0.0,9000.0,90.0,7,900.0,3.229042,1143.1549,148.74118,-18.165037,506.40115,-407.34814,17418.018,0.0,0.14427313,0.14427313,3e-05,0.0003,133.08353,0.008518328142166137,205.63046598434448,15000,,,,,,,,,,,,,,,,,,,,,,,
0.0068178303,0.0,16230689.0,0.0,9000.0,90.0,9,900.0,4.164305,1381.3574,169.6037,-21.825584,621.97235,-493.5951,12914.604,0.0,0.16230689,0.16230689,4e-05,0.0003,150.24733,0.008366473007202148,247.46300530433655,20000,,,,,,,,,,,,,,,,,,,,,,,
0.007872662,0.0,1.3063647,0.10314431,9000.0,90.0,12,900.0,5.0856686,1562.4513,226.92365,-27.535028,515.6526,-591.1865,10440.361,0.0,0.13474408,0.13474408,5e-05,0.0003,126.36321,0.008670802974700928,290.8172273635864,25000,,,,,,,,,,,,,,,,,,,,,,,
0.00709459,0.0,1.0829439,0.13836418,9000.0,90.0,14,900.0,9.279989,1697.1123,282.99664,-41.676918,943.89685,-815.51575,10009.355,0.0,0.14984065,0.14984065,6e-05,0.0003,144.14366,0.009250960397720337,337.07221364974976,30000,,,,,,,,,,,,,,,,,,,,,,,
0.008662563,0.0,0.7380625,0.16334692,9000.0,90.0,17,900.0,13.857574,1803.9099,321.55084,-72.48008,329.80823,-813.1487,10143.55,0.0,0.12056023,0.12056023,6.9999995e-05,0.0003,122.37044,0.008773990869522096,380.9423439502716,35000,,,,,,,,,,,,,,,,,,,,,,,
0.0061874567,0.0,0.67558205,0.17183548,9000.0,90.0,19,900.0,39.12333,1887.4362,336.42825,-129.3266,549.6977,-504.68884,7936.2563,0.0,0.116088964,0.116088964,8e-05,0.0003,143.60959,0.008997515964508056,425.93009781837463,40000,,,,,,,,,,,,,,,,,,,,,,,
0.0072185826,0.0,0.780883,0.14747356,9000.0,90.0,20,900.0,20.733063,1953.6715,321.89938,-199.05989,317.59747,-689.86194,8152.3228,0.0,0.11515959,0.11515959,8.9999994e-05,0.0003,124.38391,0.009400614547729492,472.93334007263184,45000,,,,,,,,,,,,,,,,,,,,,,,
