training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,10000.0,100.0,0,1000.0,1529.8121,3.855505,-0.030699417,-3.0409393,2371.2327,-2419.968,55927.082,0.0,1.3777595,1.3777595,0.0,0.0003,2907.5715,0.008491666936874389,42.458659648895264,0,,,,,,,,,,,,,,,,,,,,,,,
0.027868118,0.0,21933808.0,0.0,10000.0,100.0,2,1000.0,927.12,990.22754,474.5542,-6.956135,1658.6875,-1526.1296,79324.5,0.0,0.21933809,0.21933809,1e-05,0.0003,1146.486,0.013815480756759644,111.53625893592834,5000,,,,,,,,,,,,,,,,,,,,,,,
0.010939712,0.0,17423462.0,0.0,10000.0,100.0,4,1000.0,1524.4764,2045.9496,1042.8259,-2.6963696,2460.6514,-1248.5872,120826.58,0.0,0.17423463,0.17423463,2e-05,0.0003,1698.722,0.009517213249206543,159.12252378463745,10000,,,,,,,,,,,,,,,,,,,,,,,
0.014965355,0.0,11693781.0,0.0,10000.0,100.0,7,1000.0,8445.842,3027.535,1534.2319,-20.780483,6351.236,-6423.6978,247000.03,0.0,0.11693781,0.11693781,3e-05,0.0003,8562.794,0.009410231399536133,206.173898935318,15000,,,,,,,,,,,,,,,,,,,,,,,
0.015897257,0.0,12793052.0,0.0,10000.0,100.0,9,1000.0,20728.254,3837.127,2016.7761,-95.750046,21179.768,-20554.678,746322.0,0.0,0.12793052,0.12793052,4e-05,0.0003,20856.2,0.009272104120254516,252.53459763526917,20000,,,,,,,,,,,,,,,,,,,,,,,
0.016106037,0.0,1.0927594,0.087047085,10000.0,100.0,12,1000.0,8798.07,4483.3984,2342.8315,-269.5806,4546.072,-4484.263,190885.53,0.0,0.09512152,0.09512152,5e-05,0.0003,8893.207,0.008554601335525512,295.3077783584595,25000,,,,,,,,,,,,,,,,,,,,,,,
0.010696809,0.0,0.8735089,0.117352165,10000.0,100.0,14,1000.0,15007.468,5008.8916,2667.025,-1294.4099,28295.5,-15263.298,629937.2,0.0,0.10250816,0.10250816,6e-05,0.0003,15109.986,0.008667804384231568,338.64697217941284,30000,,,,,,,,,,,,,,,,,,,,,,,
0.012804911,0.0,0.7212043,0.13589898,10000.0,100.0,17,1000.0,8431.555,5445.574,2873.5002,-1486.218,13648.467,-11951.512,413966.06,0.0,0.09801093,0.09801093,6.9999995e-05,0.0003,8529.578,0.008491763782501221,381.1059625148773,35000,,,,,,,,,,,,,,,,,,,,,,,
0.009678108,0.0,0.5138255,0.13996878,10000.0,100.0,19,1000.0,8573.8125,5793.9336,3041.8447,-1686.7478,16047.713,-11964.456,339664.53,0.0,0.07191953,0.07191953,8e-05,0.0003,8645.742,0.00859300651550293,424.0711543560028,40000,,,,,,,,,,,,,,,,,,,,,,,
0.009275566,0.0,0.47814187,0.11708041,10000.0,100.0,20,1000.0,6897.91,6111.748,3206.2183,-1910.9786,14583.209,-12139.615,388296.25,0.0,0.055981047,0.055981047,8.9999994e-05,0.0003,6953.9004,0.008447550630569458,466.3090682029724,45000,,,,,,,,,,,,,,,,,,,,,,,
0.009562894,0.0,0.5935237,0.10712029,10000.0,100.0,20,1000.0,21599.998,6482.8145,3345.8774,-2241.699,98056.664,-121016.02,1962402.0,0.0,0.06357843,0.06357843,1e-04,0.0003,21663.586,0.01027075982093811,517.663027048111,50000,,,,,,,,,,,,,,,,,,,,,,,
0.009131231,0.0,0.6703521,0.094422586,10000.0,100.0,20,1000.0,10155.008,6820.424,3604.8457,-2509.7888,9541.1045,-9452.093,335098.44,0.0,0.06329638,0.06329638,9.999385e-05,0.0003,10218.3125,0.008694558715820313,561.1359884738922,55000,,,,,,,,,,,,,,,,,,,,,,,
0.010591274,0.0,0.7098418,0.09000875,10000.0,100.0,20,1000.0,12151.947,7092.3643,3567.1118,-2724.5757,12279.431,-12041.572,516701.9,0.0,0.06389197,0.06389197,9.99754e-05,0.0003,12215.85,0.009086495971679688,606.5686256885529,60000,,,,,,,,,,,,,,,,,,,,,,,
0.00794398,0.0,0.79403156,0.08310181,10000.0,100.0,20,1000.0,28592.7,7338.095,3534.673,-2935.9873,43675.605,-40615.656,1035396.75,0.0,0.065985456,0.065985456,9.994465e-05,0.0003,28658.693,0.00868924036026001,650.0149731636047,65000,,,,,,,,,,,,,,,,,,,,,,,
0.007950214,0.0,1.1841732,0.07927435,10000.0,100.0,20,1000.0,12722.598,7561.9185,3647.003,-3147.8638,54988.496,-59581.707,1062400.8,0.0,0.09387456,0.09387456,9.990162e-05,0.0003,12816.48,0.008835797023773193,694.1941034793854,70000,,,,,,,,,,,,,,,,,,,,,,,
0.00594454,0.0,0.72596765,0.07750416,10000.0,100.0,20,1000.0,20055.06,7782.4365,3764.1611,-3339.1743,53808.266,-42238.566,1306078.6,0.0,0.05626551,0.05626551,9.984629e-05,0.0003,20111.332,0.008567225313186646,737.0303730964661,75000,,,,,,,,,,,,,,,,,,,,,,,
0.0059625246,0.0,0.8417492,0.07365011,10000.0,100.0,20,1000.0,6923.7124,7902.4365,3865.0981,-3490.4695,8759.48,-9221.3125,357560.22,0.0,0.061994918,0.061994918,9.977873e-05,0.0003,6985.7134,0.008849376487731934,781.277407169342,80000,,,,,,,,,,,,,,,,,,,,,,,
0.007720272,0.0,0.7607927,0.07072546,10000.0,100.0,20,1000.0,7541.75,7974.144,3771.1426,-3666.8342,5573.1484,-9714.67,318735.28,0.0,0.053807415,0.053807415,9.969891e-05,0.0003,7595.5654,0.008681920337677002,824.6871612071991,85000,,,,,,,,,,,,,,,,,,,,,,,
0.008703636,0.0,0.88188946,0.06640064,10000.0,100.0,20,1000.0,9770.975,7972.3926,3521.3403,-3816.7004,40104.117,-48128.68,792064.5,0.0,0.058558024,0.058558024,9.9606885e-05,0.0003,9829.541,0.008917901611328124,869.2768213748932,90000,,,,,,,,,,,,,,,,,,,,,,,
0.0066982526,0.0,1.0190809,0.06296556,10000.0,100.0,20,1000.0,5690.895,7947.4697,3877.603,-3973.3755,4923.612,-5094.161,233322.31,0.0,0.06416699,0.06416699,9.950265e-05,0.0003,5755.069,0.008729241895675659,912.9231832027435,95000,,,,,,,,,,,,,,,,,,,,,,,
0.0054415273,0.0,1.0840431,0.060438167,10000.0,100.0,20,1000.0,20771.305,7827.827,3724.37,-4053.946,118755.98,-129770.87,3023801.0,0.0,0.06551758,0.06551758,9.938626e-05,0.0003,20836.828,0.008845481872558594,957.1507349014282,100000,,,,,,,,,,,,,,,,,,,,,,,
