training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,10000.0,100.0,0,1000.0,123.27342,2.7388878,0.11780077,-3.5862422,1833.259,-1804.1118,29266.26,0.0,0.8926925,0.8926925,0.0,0.0003,1015.96594,0.0077709693431854245,38.85514283180237,0,,,,,,,,,,,,,,,,,,,,,,,
0.008736116,0.0,24957342.0,0.0,10000.0,100.0,2,1000.0,14.737385,695.6709,118.032684,-5.281897,366.59726,-459.0708,22179.672,0.0,0.24957342,0.24957342,1e-05,0.0003,264.31955,0.015577998256683349,116.74532008171082,5000,,,,,,,,,,,,,,,,,,,,,,,
0.0070734466,0.0,20241928.0,0.0,10000.0,100.0,4,1000.0,9.873573,1251.5735,234.40457,-6.76602,443.5383,-509.1133,19321.496,0.0,0.20241928,0.20241928,2e-05,0.0003,212.29993,0.008639550161361694,159.94324731826782,10000,,,,,,,,,,,,,,,,,,,,,,,
0.007025756,0.0,18976850.0,0.0,10000.0,100.0,7,1000.0,40.748386,1682.2482,364.91205,-9.4655485,257.54617,-335.87503,15107.916,0.0,0.18976851,0.18976851,3e-05,0.0003,230.52393,0.008723835277557374,203.56259083747864,15000,,,,,,,,,,,,,,,,,,,,,,,
0.0064019416,0.0,17799684.0,0.0,10000.0,100.0,9,1000.0,51.123116,2016.2281,465.23383,-15.01255,415.66513,-527.3593,13221.88,0.0,0.17799684,0.17799684,4e-05,0.0003,229.12636,0.008467992210388183,245.90271520614624,20000,,,,,,,,,,,,,,,,,,,,,,,
0.0077152704,0.0,1.4633263,0.10625824,10000.0,100.0,12,1000.0,73.75212,2279.552,654.6453,-23.659714,518.9611,-355.67123,11533.279,0.0,0.15549049,0.15549049,5e-05,0.0003,229.25034,0.008572487020492554,288.76532769203186,25000,,,,,,,,,,,,,,,,,,,,,,,
0.0075203194,0.0,1.2334073,0.14384237,10000.0,100.0,14,1000.0,142.01958,2486.936,692.03174,-31.119152,461.8867,-433.21423,16889.395,0.0,0.17741622,0.17741622,6e-05,0.0003,319.4433,0.008409791326522828,330.81445503234863,30000,,,,,,,,,,,,,,,,,,,,,,,
0.004393206,0.0,0.85695153,0.17690897,10000.0,100.0,17,1000.0,173.75882,2652.5464,762.15796,-35.957382,437.60083,-238.60916,12675.366,0.0,0.15160242,0.15160242,6.9999995e-05,0.0003,325.36563,0.00860929856300354,373.8611054420471,35000,,,,,,,,,,,,,,,,,,,,,,,
0.0059332554,0.0,0.7534935,0.19166362,10000.0,100.0,19,1000.0,377.58682,2782.9912,901.847,-48.789593,314.47815,-328.65756,18073.695,0.0,0.14441729,0.14441729,8e-05,0.0003,522.01,0.00846421399116516,416.182332277298,40000,,,,,,,,,,,,,,,,,,,,,,,
0.0063683097,0.0,0.84159195,0.17196165,10000.0,100.0,20,1000.0,129.59157,2888.0515,1058.8391,-67.49595,306.197,-171.4809,10261.743,0.0,0.14472154,0.14472154,8.9999994e-05,0.0003,274.31946,0.008976177644729614,461.06339740753174,45000,,,,,,,,,,,,,,,,,,,,,,,
0.0044523343,0.0,0.7892929,0.16276708,10000.0,100.0,20,1000.0,174.83525,2970.7998,1171.2258,-99.05411,300.61328,-149.87447,9490.592,0.0,0.1284709,0.1284709,1e-04,0.0003,303.3106,0.00981452465057373,510.13617515563965,50000,,,,,,,,,,,,,,,,,,,,,,,
