training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
-0.19262886,0.0,0.51240224,0.19262886,-0.19262886,1.0,0.0,90000.0,900.0,0,9000.0,16.909084,3.8560033,0.30027467,-3.086927,13308.725,-12338.309,244814.38,0.100370616,0.9441237,0.9441237,0.0,0.0003,8513.83,0.008582374668121338,42.91187787055969,0,,,,,,,
-44.545387,0.033946015,0.08335774,44.579334,-44.579334,25183884.0,0.0,90000.0,900.0,2,9000.0,3.561606,448.71994,44.627075,-8.014013,6438.335,-6158.3906,185829.73,0.016188815,0.25183883,0.25183883,1e-05,0.0003,2225.5657,0.010753984594345093,96.6818060874939,5000,,,,,,,
-111.14292,0.017968036,0.04735159,111.16089,-111.16089,19237552.0,0.0,90000.0,900.0,4,9000.0,3.220468,827.5214,111.46896,-11.375978,8564.527,-9841.87,169906.12,0.007779886,0.19237551,0.19237551,2e-05,0.0003,1623.4572,0.0038010112285614015,115.68686723709106,10000,,,,,,,
-180.77168,0.01334978,0.040138092,180.78503,-180.78503,13694674.0,0.0,90000.0,900.0,7,9000.0,5.873638,1135.7244,180.66895,-15.160744,7792.4707,-7775.108,115958.55,0.0069752987,0.13694674,0.13694674,3e-05,0.0003,1057.6226,0.0037581281661987305,134.47751331329346,15000,,,,,,,
-208.26694,0.012243841,0.040472295,208.27917,-208.27917,14799482.0,0.0,90000.0,900.0,9,9000.0,5.840991,1381.6976,208.06732,-15.838789,5648.5923,-8161.1885,100443.59,0.0058211475,0.14799482,0.14799482,4e-05,0.0003,1129.5275,0.0037752758026123046,153.35389804840088,20000,,,,,,,
-280.91602,0.017008567,0.038284652,280.933,-280.933,1.8510884,0.08745508,90000.0,900.0,12,9000.0,15.985042,1568.4283,281.15472,-28.1465,13830.325,-5610.2495,87025.766,0.0066642957,0.16188708,0.16188708,5e-05,0.0003,1192.0527,0.0037250420570373536,171.9791133403778,25000,,,,,,,
-345.13132,0.010648833,0.031925768,345.14197,-345.14197,1.1446494,0.12153897,90000.0,900.0,14,9000.0,18.47562,1710.9562,344.652,-52.0029,5378.39,-4012.8733,64730.816,0.004350362,0.1391195,0.1391195,6e-05,0.0003,925.41986,0.0037514151573181153,190.73619532585144,30000,,,,,,,
-397.29114,0.013821326,0.034297608,397.30496,-397.30496,0.92602706,0.14780484,90000.0,900.0,17,9000.0,16.675991,1825.9785,397.06488,-74.14629,5515.8066,-2845.8901,53387.285,0.0052646254,0.13687128,0.13687128,6.9999995e-05,0.0003,851.22644,0.0037910583972930907,209.69149327278137,35000,,,,,,,
-411.28845,0.0128827775,0.032638635,411.30133,-411.30133,0.85779,0.15862772,90000.0,900.0,19,9000.0,30.399109,1918.01,411.28387,-60.94592,5447.1646,-1858.2382,52567.477,0.005504695,0.13606927,0.13606927,8e-05,0.0003,843.7341,0.0037391208171844484,228.38710284233093,40000,,,,,,,
-397.72827,0.008911119,0.029287199,397.73718,-397.73718,0.8966262,0.14223377,90000.0,900.0,20,9000.0,24.29238,1992.5726,396.33936,-61.108826,6481.478,-3859.8584,61363.945,0.005408746,0.12753053,0.12753053,8.9999994e-05,0.0003,774.33887,0.003720559883117676,246.98990726470947,45000,,,,,,,
-440.57986,0.00963022,0.028702963,440.5895,-440.5895,0.77395743,0.1352805,90000.0,900.0,20,9000.0,47.692444,2053.7502,440.22577,-58.759075,3356.1982,-3249.5178,39703.676,0.0057609915,0.104701355,0.104701355,1e-04,0.0003,549.4248,0.003706873178482056,265.52427792549133,50000,,,,,,,
-431.27792,0.007542642,0.027439097,431.28546,-431.28546,0.895364,0.12530674,90000.0,900.0,20,9000.0,14.445276,2098.3008,430.8543,-31.762798,2548.8467,-2559.4836,37109.04,0.0044007683,0.11219514,0.11219514,9.999385e-05,0.0003,592.92365,0.0035998016357421873,283.52329111099243,55000,,,,,,,
-393.09457,0.0117273275,0.02582814,393.1063,-393.1063,0.7943382,0.12177231,90000.0,900.0,20,9000.0,10.13344,2135.089,392.7397,1.1398413,1975.3885,-1876.7506,35339.7,0.0046889423,0.0967284,0.0967284,9.99754e-05,0.0003,487.59448,0.0036808167934417723,301.92738032341003,60000,,,,,,,
-500.55737,0.0072652567,0.018765084,500.56464,-500.56464,0.7632653,0.11700535,90000.0,900.0,20,9000.0,8.74539,2159.5608,500.08105,22.465183,2133.2283,-1535.3401,28716.584,0.0028991487,0.089306116,0.089306116,9.994465e-05,0.0003,311.94308,0.00372630820274353,320.5589265823364,65000,,,,,,,
-473.58456,0.008513713,0.019959025,473.59308,-473.59308,0.77612346,0.111890875,90000.0,900.0,20,9000.0,12.211351,2175.16,473.21344,30.978437,1144.7157,-1629.0688,24559.438,0.002589927,0.08684113,0.08684113,9.990162e-05,0.0003,320.19693,0.0037071996212005615,339.09493017196655,70000,,,,,,,
