training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.19038928,0.0,0.51240224,-0.19038928,0.19038928,1.0,0.0,90000.0,900.0,0,9000.0,18.208971,4.420923,-0.119987145,-3.5083828,11420.455,-11833.642,222525.98,0.100370616,0.9441237,0.9441237,0.0,0.0003,8515.513,0.008890466451644898,44.45233774185181,0,,,,,,,
-50.070484,0.041091103,0.11768256,50.111576,-50.111576,31198156.0,0.0,90000.0,900.0,2,9000.0,5.7963934,443.75873,50.01469,-9.169043,6415.695,-6533.597,116155.984,0.024611665,0.31198156,0.31198156,1e-05,0.0003,2763.5598,0.010871983766555786,98.81226229667664,5000,,,,,,,
-121.08222,0.01520009,0.04675306,121.09742,-121.09742,19920858.0,0.0,90000.0,900.0,4,9000.0,4.8740067,813.50684,121.36138,-11.872269,5513.1147,-5871.6777,167101.53,0.007829986,0.19920859,0.19920859,2e-05,0.0003,1676.6691,0.003884515380859375,118.23484587669373,10000,,,,,,,
-202.99887,0.018234763,0.044825412,203.0171,-203.0171,14744523.0,0.0,90000.0,900.0,7,9000.0,9.896242,1120.7723,202.7347,-11.868645,8112.4424,-5397.055,114485.33,0.0077774934,0.14744523,0.14744523,3e-05,0.0003,1133.9044,0.0039149999618530275,137.80985236167908,15000,,,,,,,
-233.01534,0.011569982,0.04194953,233.0269,-233.0269,15015690.0,0.0,90000.0,900.0,9,9000.0,11.0099945,1364.0326,232.92166,-8.427814,2298.402,-3267.417,87281.55,0.0058737495,0.1501569,0.1501569,4e-05,0.0003,1129.4067,0.0038731643199920655,157.17567944526672,20000,,,,,,,
-308.17303,0.015760846,0.038816497,308.18878,-308.18878,1.6372776,0.09779811,90000.0,900.0,12,9000.0,17.570084,1548.8529,308.53595,-6.4588923,6548.7104,-3403.0964,73774.67,0.006749806,0.16012265,0.16012265,5e-05,0.0003,1150.501,0.003749089527130127,175.92113494873047,25000,,,,,,,
-368.42764,0.010922458,0.034816794,368.43857,-368.43857,1.0719036,0.13129579,90000.0,900.0,14,9000.0,16.502674,1695.3693,368.1537,-8.407951,3351.741,-2723.071,61579.45,0.0045659333,0.14073642,0.14073642,6e-05,0.0003,914.70276,0.0038242371559143065,195.0423276424408,30000,,,,,,,
-410.2185,0.009367342,0.035190374,410.22787,-410.22787,0.83871067,0.15629867,90000.0,900.0,17,9000.0,14.371607,1808.9739,409.5743,-8.90499,3350.314,-2702.0579,53289.996,0.0052365344,0.13108936,0.13108936,6.9999995e-05,0.0003,783.9573,0.0038129632472991945,214.10714888572693,35000,,,,,,,
-417.4898,0.01176934,0.03370275,417.5016,-417.5016,0.82979006,0.16573831,90000.0,900.0,19,9000.0,17.940891,1897.9822,417.3959,-2.775704,4910.4204,-1374.2224,51830.125,0.006009472,0.137528,0.137528,8e-05,0.0003,838.2031,0.003823639488220215,233.2253520488739,40000,,,,,,,
-399.3645,0.007327809,0.028511666,399.37183,-399.37183,0.8320608,0.14528982,90000.0,900.0,20,9000.0,25.146868,1967.2373,398.6615,23.390347,3053.9392,-2413.3032,50909.14,0.0050679776,0.12088997,0.12088997,8.9999994e-05,0.0003,713.7921,0.0038114641189575197,252.28267765045166,45000,,,,,,,
