training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
-0.19262886,0.0,0.51240224,0.19262886,-0.19262886,1.0,0.0,90000.0,900.0,0,9000.0,16.909061,3.8560033,0.30027467,-3.086927,13308.725,-12338.309,244814.38,0.100370616,0.9441237,0.9441237,0.0,1e-04,8513.83,0.009062345504760743,45.31173229217529,0,,,,,,,
-36.412926,0.033965237,0.08335885,36.44689,-36.44689,25180858.0,0.0,90000.0,900.0,2,9000.0,2.5801365,311.65024,36.573486,-7.1588693,6423.723,-6137.7354,185071.67,0.01619024,0.25180858,0.25180858,1e-05,1e-04,2232.4446,0.01070974841117859,98.86047911643982,5000,,,,,,,
-97.66083,0.014492789,0.044243507,97.67532,-97.67532,19175560.0,0.0,90000.0,900.0,4,9000.0,2.697052,615.798,97.77057,-9.57769,8091.4087,-11159.952,169108.3,0.0073973862,0.1917556,0.1917556,2e-05,1e-04,1630.8365,0.0036421836376190186,117.07140183448792,10000,,,,,,,
-166.93097,0.012873243,0.040430307,166.94385,-166.94385,14161244.0,0.0,90000.0,900.0,7,9000.0,4.9615064,890.786,167.01996,-10.404627,8040.9404,-10622.042,121951.375,0.0076123327,0.14161244,0.14161244,3e-05,1e-04,1112.5425,0.00369966254234314,135.5697214603424,15000,,,,,,,
-212.47061,0.01049309,0.03982611,212.48111,-212.48111,14370392.0,0.0,90000.0,900.0,9,9000.0,8.104877,1132.985,212.225,-10.317319,7653.3853,-8848.628,96401.125,0.005438374,0.14370392,0.14370392,4e-05,1e-04,1088.9696,0.003714241647720337,154.1409342288971,20000,,,,,,,
-297.4013,0.016655752,0.041233964,297.41797,-297.41797,1.8729031,0.087477766,90000.0,900.0,12,9000.0,13.400231,1340.6266,297.34717,-8.844381,13316.077,-3985.7734,81345.02,0.007099154,0.16383737,0.16383737,5e-05,1e-04,1190.5353,0.0036836380004882812,172.55912923812866,25000,,,,,,,
-381.42746,0.00932823,0.033098083,381.4368,-381.4368,1.1508039,0.1213356,90000.0,900.0,14,9000.0,17.628859,1517.1346,381.28992,-10.493854,7722.5684,-4463.0015,65770.48,0.004577012,0.13963349,0.13963349,6e-05,1e-04,892.90283,0.003671070337295532,190.9144856929779,30000,,,,,,,
-466.66077,0.012535886,0.031999923,466.6733,-466.6733,0.8814573,0.14748526,90000.0,900.0,17,9000.0,18.784082,1663.4225,466.42163,-12.256911,6112.94,-4297.894,55997.734,0.005174279,0.13000196,0.13000196,6.9999995e-05,1e-04,722.141,0.003675933885574341,209.29415941238403,35000,,,,,,,
-488.34018,0.010112659,0.032581113,488.35028,-488.35028,0.8396825,0.1581253,90000.0,900.0,19,9000.0,29.235298,1788.4781,487.95364,20.458763,3945.0393,-2628.9233,48415.566,0.005421454,0.13277505,0.13277505,8e-05,1e-04,735.8706,0.003683392095565796,227.71112442016602,40000,,,,,,,
-478.56967,0.008993476,0.027878592,478.57867,-478.57867,0.90771693,0.1420346,90000.0,900.0,20,9000.0,51.05494,1893.5586,477.6171,66.55393,3348.9834,-4475.067,58782.082,0.004933232,0.12892722,0.12892722,8.9999994e-05,1e-04,732.8302,0.0036752219676971436,246.08724069595337,45000,,,,,,,
-544.8975,0.009000107,0.027797496,544.9065,-544.9065,0.78804094,0.13459064,90000.0,900.0,20,9000.0,36.06518,1977.0223,544.42676,73.39261,2571.9648,-5093.593,49109.99,0.005781895,0.10606294,0.10606294,1e-04,1e-04,445.73413,0.0036720446586608886,264.447468996048,50000,,,,,,,
-560.9089,0.0074167335,0.02726862,560.9163,-560.9163,0.91781616,0.12485538,90000.0,900.0,20,9000.0,47.182198,2052.4592,560.2573,76.98538,2639.6445,-3080.267,37336.96,0.0039256383,0.11459428,0.11459428,9.999385e-05,1e-04,517.6218,0.003607357311248779,282.4842600822449,55000,,,,,,,
-552.2263,0.010110301,0.023346521,552.23645,-552.23645,0.79250467,0.12118065,90000.0,900.0,20,9000.0,49.493443,2111.7622,551.4907,108.14445,1664.3884,-1880.7228,41015.062,0.004318365,0.09603624,0.09603624,9.99754e-05,1e-04,361.5933,0.003675217056274414,300.86034989356995,60000,,,,,,,
-673.5532,0.006584785,0.018744865,673.5598,-673.5598,0.8329799,0.11690036,90000.0,900.0,20,9000.0,47.329975,2162.1433,672.65344,112.56621,1861.5752,-1509.5065,30357.74,0.0025605797,0.09737565,0.09737565,9.994465e-05,1e-04,250.1576,0.003757715368270874,319.6489317417145,65000,,,,,,,
-672.9444,0.009200958,0.019963512,672.9536,-672.9536,0.7959387,0.11209303,90000.0,900.0,20,9000.0,45.776726,2219.5884,672.8822,166.68031,1333.0966,-2156.7837,30695.521,0.0024915948,0.089219175,0.089219175,9.990162e-05,1e-04,175.80493,0.003789036989212036,338.5941216945648,70000,,,,,,,
-643.62115,0.009829173,0.023269447,643.631,-643.631,1.0060806,0.10642435,90000.0,900.0,20,9000.0,50.547916,2264.522,643.16986,180.86436,1983.3046,-1555.0101,39186.695,0.002982965,0.107071474,0.107071474,9.984629e-05,1e-04,370.57,0.0037660644054412842,357.4244508743286,75000,,,,,,,
-638.2569,0.0071475,0.020403162,638.26404,-638.26404,0.9102504,0.1037456,90000.0,900.0,20,9000.0,27.70975,2307.9397,637.4998,175.61235,1017.11884,-1580.1648,26414.043,0.003198239,0.09443448,0.09443448,9.977873e-05,1e-04,239.36316,0.0037054337978363037,375.95162558555603,80000,,,,,,,
-631.4897,0.007007903,0.016901216,631.4967,-631.4967,0.96008086,0.096004024,90000.0,900.0,20,9000.0,30.779789,2348.161,630.45575,161.71849,1894.5001,-1378.7832,28162.787,0.0036605368,0.092171624,0.092171624,9.969891e-05,1e-04,228.83472,0.0037273694515228273,394.58847737312317,85000,,,,,,,
-601.6116,0.0068556163,0.016181482,601.6184,-601.6184,0.7823162,0.09284541,90000.0,900.0,20,9000.0,36.323784,2378.1782,600.6732,135.0163,915.5902,-526.3434,25165.604,0.002251163,0.072634466,0.072634466,9.9606885e-05,1e-04,88.422424,0.0037240480422973633,413.2087228298187,90000,,,,,,,
-618.767,0.0077293348,0.0159965,618.7748,-618.7748,0.8490906,0.08769926,90000.0,900.0,20,9000.0,25.918774,2401.079,617.8394,119.85029,868.80865,-1417.6808,25302.635,0.0019869884,0.07446461,0.07446461,9.950265e-05,1e-04,77.33325,0.0037061021327972413,431.73923778533936,95000,,,,,,,
-633.7362,0.0038114619,0.015293537,633.74,-633.74,0.7887432,0.086441346,90000.0,900.0,20,9000.0,36.202957,2420.5322,633.363,120.85939,1089.3794,-1299.5396,26978.516,0.0023831115,0.068180025,0.068180025,9.938626e-05,1e-04,16.086975,0.0036542964458465576,450.0107247829437,100000,,,,,,,
-640.184,0.0066551506,0.015155305,640.1907,-640.1907,0.97745925,0.081422396,90000.0,900.0,20,9000.0,42.361794,2433.5442,639.34644,103.09452,929.1204,-951.173,27230.426,0.0025001857,0.07958707,0.07958707,9.9257726e-05,1e-04,118.461426,0.008434498834609986,492.18322372436523,105000,,,,,,,
-604.8163,0.0073268143,0.011816111,604.8236,-604.8236,0.95491374,0.07945698,90000.0,900.0,20,9000.0,41.19484,2441.2163,603.47723,91.28865,1434.0562,-928.93726,38010.656,0.0016883892,0.07587456,0.07587456,9.91171e-05,1e-04,119.24957,0.003792224407196045,511.1443507671356,110000,,,,,,,
-594.8599,0.0059262314,0.01632594,594.86584,-594.86584,1.1899588,0.07819611,90000.0,900.0,20,9000.0,34.036743,2446.16,593.6968,79.24658,772.4642,-1144.9873,26683.912,0.002300608,0.093050145,0.093050145,9.896442e-05,1e-04,276.6281,0.0038946455478668213,530.6175880432129,115000,,,,,,,
-586.75555,0.0052082324,0.01571241,586.76074,-586.76074,0.8037142,0.07622024,90000.0,900.0,20,9000.0,55.48066,2457.6152,586.11017,83.41528,679.5313,-627.4173,25384.557,0.0019904096,0.061259285,0.061259285,9.8799705e-05,1e-04,20.058655,0.003954217529296875,550.388680934906,120000,,,,,,,
-633.6467,0.006649576,0.016450142,633.6534,-633.6534,0.8592076,0.073360555,90000.0,900.0,20,9000.0,24.413763,2463.4048,632.80994,87.46875,642.89374,-528.4696,28894.217,0.0030425836,0.06303194,0.06303194,9.8623015e-05,1e-04,-41.945496,0.003955529117584228,570.1663315296173,125000,,,,,,,
-582.7226,0.007458524,0.013432609,582.73004,-582.73004,0.9500116,0.07211994,90000.0,900.0,20,9000.0,22.23589,2462.5166,582.62024,149.7741,838.339,-604.5764,28169.902,0.001743059,0.06851478,0.06851478,9.843441e-05,1e-04,56.1463,0.003967051601409912,590.0015943050385,130000,,,,,,,
-547.117,0.005284148,0.013332549,547.1223,-547.1223,0.75507647,0.07149029,90000.0,900.0,20,9000.0,18.698015,2447.706,546.5624,156.0329,657.28687,-687.9574,20976.81,0.0017001894,0.053980634,0.053980634,9.823391e-05,1e-04,-42.593292,0.003897926330566406,609.4912309646606,135000,,,,,,,
-604.77155,0.0067951027,0.013074156,604.7783,-604.7783,1.1307592,0.0708595,90000.0,900.0,20,9000.0,20.648285,2446.728,604.2185,136.79846,732.8029,-756.4401,28422.496,0.002159841,0.080125034,0.080125034,9.8021614e-05,1e-04,137.00201,0.003970595693588257,629.3442144393921,140000,,,,,,,
-574.641,0.006470385,0.012233186,574.64746,-574.64746,0.8171609,0.07138919,90000.0,900.0,20,9000.0,33.226814,2417.506,574.43243,109.45883,931.8188,-1073.2183,32563.578,0.0020570324,0.058336455,0.058336455,9.779754e-05,1e-04,-16.386108,0.004002399444580078,649.3562164306641,145000,,,,,,,
-575.175,0.0050541866,0.016922899,575.18005,-575.18005,1.1700499,0.07104272,90000.0,900.0,20,9000.0,28.08616,2417.9966,573.97644,86.44525,561.1789,-1095.1898,35264.188,0.002769349,0.08312353,0.08312353,9.756177e-05,1e-04,201.02295,0.003996982908248901,669.3411362171173,150000,,,,,,,
-528.79016,0.002586338,0.023316624,528.7927,-528.7927,0.7761387,0.07091461,90000.0,900.0,20,9000.0,66.84047,2386.0269,526.60986,78.31537,1033.1298,-2391.4248,43252.17,0.0025397518,0.055039577,0.055039577,9.7314376e-05,1e-04,33.406494,0.0039633740425109865,689.1580123901367,155000,,,,,,,
-576.8185,0.0030527064,0.014534052,576.82153,-576.82153,0.7355808,0.0731679,90000.0,900.0,20,9000.0,30.733418,2393.3083,576.1565,90.88498,587.2848,-894.016,29938.236,0.0016743956,0.0538209,0.0538209,9.7055396e-05,1e-04,-61.69699,0.003909784317016602,708.7069387435913,160000,,,,,,,
-528.4463,0.0025483675,0.012798024,528.44885,-528.44885,0.7543657,0.07279294,90000.0,900.0,20,9000.0,19.460552,2350.789,527.14044,109.802246,782.9013,-952.2972,29091.53,0.0018275467,0.054912493,0.054912493,9.6784934e-05,1e-04,-14.773315,0.003984580278396607,728.6298453807831,165000,,,,,,,
-556.73145,0.0064553027,0.012441651,556.7379,-556.7379,1.0970181,0.07148899,90000.0,900.0,20,9000.0,28.287617,2381.7173,556.64465,87.528786,778.578,-527.912,30488.227,0.0016388625,0.07842472,0.07842472,9.6503034e-05,1e-04,177.37866,0.003986579513549805,748.5627472400665,170000,,,,,,,
-552.56793,0.0076402402,0.01598852,552.57556,-552.57556,0.7875275,0.07231086,90000.0,900.0,20,9000.0,25.070251,2366.4668,551.72156,100.88022,847.5714,-430.0967,23984.332,0.0019259963,0.05694679,0.05694679,9.62098e-05,1e-04,-14.9765625,0.0039398512363433835,768.2620089054108,175000,,,,,,,
-554.9823,0.0039082393,0.0112131005,554.9862,-554.9862,0.9404142,0.070976734,90000.0,900.0,20,9000.0,19.344625,2312.9465,554.52997,102.39013,624.5574,-663.96936,24669.86,0.0014561861,0.066747524,0.066747524,9.59053e-05,1e-04,65.09003,0.003926810216903686,787.8960659503937,180000,,,,,,,
-510.24377,0.0050355317,0.014747655,510.2488,-510.2488,1.4310559,0.06910047,90000.0,900.0,20,9000.0,11.355985,2306.0786,509.99734,93.76684,579.0317,-513.4789,27571.105,0.0019469333,0.09888664,0.09888664,9.558961e-05,1e-04,391.09195,0.003913617181777954,807.4641575813293,185000,,,,,,,
-510.6104,0.003515133,0.011622862,510.61392,-510.61392,0.9916438,0.06835403,90000.0,900.0,20,9000.0,12.548186,2369.4536,510.208,68.48806,556.56244,-481.7063,24873.56,0.0019943877,0.06778285,0.06778285,9.526282e-05,1e-04,111.98343,0.00387442512512207,826.8362879753113,190000,,,,,,,
