training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.19009729,0.0,0.51240224,-0.19009729,0.19009729,1.0,0.0,90000.0,900.0,0,9000.0,18.209118,4.4221897,-0.11977449,-3.5092125,11420.456,-11833.645,222525.9,0.100370616,0.9441237,0.9441237,0.0,1e-04,8515.513,0.008576642656326294,42.883227586746216,0,,,,,,,
-40.945274,0.04112417,0.11765939,40.986397,-40.986397,31207368.0,0.0,90000.0,900.0,2,9000.0,2.879914,310.988,41.084045,-5.4111724,6407.695,-6528.465,115903.914,0.02462017,0.31207368,0.31207368,1e-05,1e-04,2770.5977,0.01140106225013733,99.88856077194214,5000,,,,,,,
-105.28905,0.015773658,0.046756852,105.30482,-105.30482,19827470.0,0.0,90000.0,900.0,4,9000.0,13.128522,611.4055,105.33663,-6.2219806,5146.433,-5401.0996,165337.5,0.007788168,0.1982747,0.1982747,2e-05,1e-04,1692.3118,0.0037329334735870363,118.5532329082489,10000,,,,,,,
-179.96931,0.011577225,0.042287428,179.9809,-179.9809,14837699.0,0.0,90000.0,900.0,7,9000.0,9.713286,878.1609,179.94875,-6.1992497,6970.498,-4017.1182,114518.836,0.0074307006,0.14837699,0.14837699,3e-05,1e-04,1165.1368,0.003729238224029541,137.1994287967682,15000,,,,,,,
-228.12688,0.0134895425,0.044194333,228.14037,-228.14037,15239565.0,0.0,90000.0,900.0,9,9000.0,20.697683,1119.6975,228.1127,-3.551389,2381.4624,-3815.3257,91358.24,0.0061033345,0.15239565,0.15239565,4e-05,1e-04,1164.1317,0.003750983715057373,155.954354763031,20000,,,,,,,
-315.475,0.014501264,0.039338462,315.4895,-315.4895,1.6802026,0.09779832,90000.0,900.0,12,9000.0,23.968966,1323.4651,315.91415,0.12528306,6471.3447,-3415.55,74513.81,0.0068120225,0.16432098,0.16432098,5e-05,1e-04,1187.3828,0.003778190040588379,174.84530973434448,25000,,,,,,,
-399.22076,0.011943468,0.035169438,399.2327,-399.2327,1.0620682,0.13095795,90000.0,900.0,14,9000.0,25.289112,1499.1498,399.5036,6.0699453,5384.8975,-2593.6665,64487.95,0.0046716975,0.13908628,0.13908628,6e-05,1e-04,877.84485,0.0037765529155731202,193.72807931900024,30000,,,,,,,
-490.38705,0.011516267,0.033845685,490.39856,-490.39856,0.8478786,0.1557032,90000.0,900.0,17,9000.0,25.692665,1652.5203,490.18643,32.751736,2832.4124,-1521.2848,58875.54,0.004884503,0.1320174,0.1320174,6.9999995e-05,1e-04,723.4622,0.0037697669982910157,212.57691931724548,35000,,,,,,,
-506.3853,0.01221994,0.035077613,506.39752,-506.39752,0.83888847,0.16517268,90000.0,900.0,19,9000.0,28.930323,1787.6226,505.96802,68.29902,2942.396,-1533.2731,50693.926,0.0061697643,0.13856146,0.13856146,8e-05,1e-04,769.59814,0.003783140182495117,231.49262475967407,40000,,,,,,,
-492.75906,0.009282243,0.02887996,492.76834,-492.76834,0.8224676,0.14501955,90000.0,900.0,20,9000.0,28.935402,1895.6953,491.56177,115.56578,2886.8682,-2989.3057,51498.992,0.0050797435,0.11927388,0.11927388,8.9999994e-05,1e-04,609.6413,0.003781328821182251,250.3992738723755,45000,,,,,,,
-542.4393,0.011843494,0.030346256,542.4511,-542.4511,0.771182,0.13480921,90000.0,900.0,20,9000.0,23.215977,1989.915,542.4469,109.718254,1845.7754,-2129.66,37125.43,0.0059418506,0.10396244,0.10396244,1e-04,1e-04,416.43866,0.003762112998962402,269.2098436355591,50000,,,,,,,
-548.0452,0.005433254,0.025526501,548.05066,-548.05066,0.8968843,0.1252377,90000.0,900.0,20,9000.0,29.261898,2070.1604,547.29504,117.348694,1714.2417,-1301.2477,37911.29,0.0047049457,0.11232373,0.11232373,9.999385e-05,1e-04,492.13025,0.0036802801609039306,287.6112496852875,55000,,,,,,,
-524.29095,0.010838432,0.025810268,524.3018,-524.3018,0.7955894,0.1215588,90000.0,900.0,20,9000.0,53.92882,2132.4976,523.53564,105.52889,1341.3173,-1327.3857,35783.53,0.004280741,0.0967109,0.0967109,9.99754e-05,1e-04,400.03595,0.0037777955532073975,306.50023198127747,60000,,,,,,,
-636.9596,0.007024095,0.018985476,636.9666,-636.9666,0.7780956,0.11650365,90000.0,900.0,20,9000.0,39.867424,2185.3215,636.3874,92.78232,1116.6615,-1175.2367,28137.79,0.0033040314,0.09065097,0.09065097,9.994465e-05,1e-04,218.76654,0.003735904026031494,325.17975664138794,65000,,,,,,,
-628.36835,0.008601168,0.019377403,628.37695,-628.37695,0.79263085,0.11146741,90000.0,900.0,20,9000.0,42.525215,2228.6035,627.4118,94.96858,958.42487,-1036.0249,31441.672,0.00267188,0.08835252,0.08835252,9.990162e-05,1e-04,209.32953,0.0037467601299285887,343.91356229782104,70000,,,,,,,
