training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.20390248,0.0,0.43014118,-0.20390248,0.20390248,1.0,0.0,110000.0,1100.0,0,11000.0,303.93768,3.3528488,-0.4230532,-3.8442116,20798.398,-18470.508,383281.1,0.08416908,0.9195273,0.9195273,0.0,0.0003,10418.941,0.008383305072784423,41.916531562805176,0,,,,,,,
-158.47676,0.032214366,0.0968443,158.50897,-158.50897,26117652.0,0.0,110000.0,1100.0,2,11000.0,102.75528,1131.6108,156.88829,-30.43166,5664.862,-6515.128,111623.65,0.018642848,0.26117653,0.26117653,1e-05,0.0003,2817.2205,0.011056457662582397,97.19882869720459,5000,,,,,,,
-293.4733,0.0106480215,0.047119565,293.48395,-293.48395,16450486.0,0.0,110000.0,1100.0,4,11000.0,82.196335,2602.6267,292.71143,-36.435837,8775.138,-11860.0625,166772.9,0.0073658437,0.16450486,0.16450486,2e-05,0.0003,1598.2765,0.003731402349472046,115.85584568977356,10000,,,,,,,
-415.07434,0.008993275,0.039627608,415.08334,-415.08334,15907791.0,0.0,110000.0,1100.0,7,11000.0,106.531555,4023.2063,414.5866,-100.69855,7587.7466,-9084.242,114143.91,0.006044128,0.15907791,0.15907791,3e-05,0.0003,1441.3142,0.0037274162769317626,134.49293208122253,15000,,,,,,,
-484.2269,0.009645643,0.033433497,484.23654,-484.23654,12600103.0,0.0,110000.0,1100.0,9,11000.0,141.18916,5238.593,484.58063,-120.05229,2253.4238,-3038.4033,81291.96,0.0065188026,0.12600103,0.12600103,4e-05,0.0003,1042.9736,0.0036751604557037354,152.86873936653137,20000,,,,,,,
-602.5521,0.0078084376,0.038047906,602.55994,-602.55994,1.7875496,0.08843779,110000.0,1100.0,12,11000.0,103.83363,6237.0264,602.33594,-17.81988,2527.1096,-3583.1116,68375.85,0.004282415,0.15808694,0.15808694,5e-05,0.0003,1240.2378,0.00365623197555542,171.14990401268005,25000,,,,,,,
-849.783,0.0072440356,0.03207296,849.7903,-849.7903,1.1617032,0.117435545,110000.0,1100.0,14,11000.0,381.89343,7062.6216,848.9081,17.91979,1780.3267,-2051.0957,65023.5,0.0048203357,0.13642526,0.13642526,6e-05,0.0003,1032.7883,0.0036913657665252684,189.60673761367798,30000,,,,,,,
-865.6583,0.0042839474,0.03273312,865.6626,-865.6626,1.0839399,0.14297706,110000.0,1100.0,17,11000.0,110.85811,7729.5386,864.4904,-122.71146,4105.8267,-2814.3337,52424.445,0.0069302474,0.15497854,0.15497854,6.9999995e-05,0.0003,949.9638,0.00371157865524292,208.1646363735199,35000,,,,,,,
-759.23047,0.006601357,0.03259629,759.23706,-759.23706,0.65477216,0.15576015,110000.0,1100.0,19,11000.0,320.66534,8259.766,759.2993,-165.84712,1722.2328,-2076.5906,44226.58,0.005501707,0.101987414,0.101987414,8e-05,0.0003,683.29645,0.0037143595695495607,226.73644375801086,40000,,,,,,,
-826.48834,0.009650519,0.0382283,826.498,-826.498,1.1343124,0.13943262,110000.0,1100.0,20,11000.0,269.8838,8690.354,825.17883,-57.73465,1625.898,-2271.9656,38699.55,0.0057531446,0.15816015,0.15816015,8.9999994e-05,0.0003,1183.157,0.0037079412937164307,245.27615523338318,45000,,,,,,,
-831.79767,0.0068283193,0.026702918,831.8045,-831.8045,0.773902,0.132445,110000.0,1100.0,20,11000.0,250.05411,9040.994,827.9591,-69.683685,3650.8196,-1736.3677,42834.0,0.0035992966,0.10249944,0.10249944,1e-04,0.0003,545.75037,0.003701250982284546,263.7824156284332,50000,,,,,,,
-903.7661,0.0082280515,0.03752004,903.77435,-903.77435,1.0340164,0.12545688,110000.0,1100.0,20,11000.0,266.68774,9318.772,901.9276,-14.826636,1711.2556,-1064.72,31762.584,0.00409057,0.12972447,0.12972447,9.999385e-05,0.0003,789.89087,0.0036147082805633546,281.8559625148773,55000,,,,,,,
-995.66315,0.007654898,0.027439991,995.6708,-995.6708,1.0278094,0.122559406,110000.0,1100.0,20,11000.0,256.6856,9545.419,996.49585,-138.6393,1844.2008,-1067.505,31287.201,0.0039021003,0.12596771,0.12596771,9.99754e-05,0.0003,646.66724,0.003699799346923828,300.3549642562866,60000,,,,,,,
-1058.6472,0.009175786,0.024141395,1058.6564,-1058.6564,1.0543647,0.12046438,110000.0,1100.0,20,11000.0,252.2729,9728.589,1057.19,-98.7195,1033.0664,-1791.9691,35337.504,0.0034960045,0.12701339,0.12701339,9.994465e-05,0.0003,590.7729,0.0036931309223175047,318.8206241130829,65000,,,,,,,
-1100.6022,0.0076737534,0.025032217,1100.6099,-1100.6099,0.95997185,0.11670488,110000.0,1100.0,20,11000.0,187.7963,9861.678,1098.0591,-91.7966,1213.2876,-698.76013,27255.049,0.0025678796,0.112033404,0.112033404,9.990162e-05,0.0003,319.56152,0.003671959114074707,337.1804258823395,70000,,,,,,,
-3977.2476,0.01651848,0.06707747,3977.2642,-3977.2642,2.4861827,0.13505384,110000.0,1100.0,20,11000.0,25558.256,9888.798,3918.9424,-164.39056,6034.397,-6333.3804,336879.12,0.008880036,0.33576852,0.33576852,9.984629e-05,0.0003,25274.46,0.0036773943901062013,355.5674035549164,75000,,,,,,,
-4799.9004,0.0057628755,0.04069766,4799.9062,-4799.9062,1.1733861,0.1426083,110000.0,1100.0,20,11000.0,11148.175,10141.308,4780.714,-298.63104,2923.3513,-2187.1199,165901.77,0.005946792,0.1673346,0.1673346,9.977873e-05,0.0003,8188.955,0.003621863508224487,373.67672634124756,80000,,,,,,,
-4603.942,0.005283286,0.03874443,4603.9473,-4603.9473,0.87164074,0.14668266,110000.0,1100.0,20,11000.0,2522.6782,10244.14,4595.6846,-306.71326,1401.6704,-1165.2635,86323.484,0.006063173,0.12785459,0.12785459,9.969891e-05,0.0003,-674.8633,0.003665700578689575,392.00523471832275,85000,,,,,,,
-4256.3247,0.010512739,0.035524555,4256.3354,-4256.3354,0.8392514,0.15018138,110000.0,1100.0,20,11000.0,1998.6063,10245.708,4257.5,1039.925,912.2826,-797.8572,73159.43,0.0059520346,0.12603994,0.12603994,9.9606885e-05,0.0003,-871.27893,0.003653060245513916,410.27054142951965,90000,,,,,,,
-3997.655,0.007054547,0.04543809,3997.662,-3997.662,1.438958,0.15564929,110000.0,1100.0,20,11000.0,1646.0464,10265.17,3968.261,-73.44959,918.97455,-1181.6598,70300.31,0.009636421,0.2239728,0.2239728,9.950265e-05,0.0003,112.09204,0.0036779255390167235,428.6601746082306,95000,,,,,,,
-3567.431,0.007474661,0.03292146,3567.4385,-3567.4385,0.79825443,0.1585534,110000.0,1100.0,20,11000.0,530.7606,10285.079,3561.687,1101.6062,1038.0381,-783.3381,36978.004,0.006766453,0.12656596,0.12656596,9.938626e-05,0.0003,-1644.4448,0.0036547887802124025,446.9341239929199,100000,,,,,,,
-2974.5286,0.0069076708,0.03500473,2974.5354,-2974.5354,0.8347835,0.16002394,110000.0,1100.0,20,11000.0,736.5114,10297.455,2968.9136,988.01965,726.0135,-989.99243,41550.65,0.00770892,0.13358535,0.13358535,9.9257726e-05,0.0003,-768.57825,0.009901825666427612,496.44325733184814,105000,,,,,,,
-2878.5317,0.0065052044,0.03185703,2878.5383,-2878.5383,0.80399877,0.16251916,110000.0,1100.0,20,11000.0,358.10846,10325.489,2874.516,187.1677,1191.2714,-1814.9182,39548.6,0.0050964644,0.1306652,0.1306652,9.91171e-05,0.0003,-1083.1062,0.004096553468704224,516.9260308742523,110000,,,,,,,
-2632.0989,0.0037980336,0.028764028,2632.1028,-2632.1028,0.9438349,0.14440277,110000.0,1100.0,20,11000.0,326.64545,10350.456,2629.8047,150.08601,1511.5938,-1502.2523,42893.7,0.0063090133,0.13629237,0.13629237,9.896442e-05,0.0003,-806.2373,0.004192118787765503,537.886634349823,115000,,,,,,,
-2388.1697,0.010918452,0.03201716,2388.1807,-2388.1807,0.8194112,0.13917238,110000.0,1100.0,20,11000.0,508.11728,10364.508,2381.461,531.17554,1344.0809,-1570.7297,36868.215,0.0066579785,0.114039406,0.114039406,9.8799705e-05,0.0003,-625.6189,0.004120856523513794,558.4909224510193,120000,,,,,,,
-2352.9822,0.0036061634,0.027319552,2352.9858,-2352.9858,0.7797686,0.13478683,110000.0,1100.0,20,11000.0,1783.6035,10380.056,2350.2092,168.45914,804.32025,-1079.0261,63453.945,0.004507866,0.10510253,0.10510253,9.8623015e-05,0.0003,586.74915,0.004061899042129517,578.8004229068756,125000,,,,,,,
-5355.1807,0.0067016482,0.042814717,5355.1875,-5355.1875,1.5651369,0.14944118,110000.0,1100.0,20,11000.0,8143.1143,10226.013,5309.9795,-267.7683,2840.561,-3242.0435,162404.88,0.00902659,0.23389591,0.23389591,9.843441e-05,0.0003,5360.7886,0.0041105114459991455,599.3529856204987,130000,,,,,,,
-6015.064,0.0012964865,0.028360222,6015.0654,-6015.0654,0.86304283,0.1541793,110000.0,1100.0,20,11000.0,2813.9868,10325.761,6003.412,-190.68846,2922.3877,-4425.407,123295.21,0.0063575297,0.13306335,0.13306335,9.823391e-05,0.0003,-1737.3804,0.004063284873962402,619.6694157123566,135000,,,,,,,
-5610.407,0.0058281915,0.02972247,5610.413,-5610.413,0.91496825,0.15209506,110000.0,1100.0,20,11000.0,1294.1527,10390.991,5595.4453,-135.70894,1125.6337,-873.22363,53819.062,0.0043290067,0.13916215,0.13916215,9.8021614e-05,0.0003,-2785.4707,0.004134722566604614,640.3430342674255,140000,,,,,,,
