training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,3000.0,30.0,0,300.0,16.90854,3.8545737,0.30013925,-3.0868583,445.11652,-453.07764,9763.387,0.0,1.0299811,1.0299811,0.0,0.0003,325.9029,0.007823658895492554,39.11861276626587,0,,,,,,,,,,,,,,,,,,,,,,,
0.011667249,0.0,24990858.0,0.0,3000.0,30.0,2,300.0,2.317666,459.48846,39.849693,-9.018967,155.23735,-154.5718,10624.845,0.0,0.24990858,0.24990858,1e-05,0.0003,77.3019,0.0159757050037384,118.9973292350769,5000,,,,,,,,,,,,,,,,,,,,,,,
0.0047033667,0.0,20260454.0,0.0,3000.0,30.0,4,300.0,5.1381865,841.93195,94.883194,-13.956429,231.18907,-281.19952,8663.466,0.0,0.20260455,0.20260455,2e-05,0.0003,65.924255,0.009459106159210206,166.29304385185242,10000,,,,,,,,,,,,,,,,,,,,,,,
0.008617125,0.0,14468800.0,0.0,3000.0,30.0,7,300.0,2.4583206,1143.5593,148.81613,-18.923388,169.21605,-127.70354,5860.952,0.0,0.144688,0.144688,3e-05,0.0003,45.873337,0.009189272499084473,212.23959493637085,15000,,,,,,,,,,,,,,,,,,,,,,,
0.006604244,0.0,16067994.0,0.0,3000.0,30.0,9,300.0,5.100341,1381.8702,170.03488,-22.439053,207.51471,-157.16693,4539.8525,0.0,0.16067994,0.16067994,4e-05,0.0003,53.310925,0.008979225397109986,257.1359050273895,20000,,,,,,,,,,,,,,,,,,,,,,,
0.007400071,0.0,1.3095158,0.10309257,3000.0,30.0,12,300.0,5.4237137,1559.2095,227.41357,-28.022095,159.03674,-181.30162,3587.8447,0.0,0.13500136,0.13500136,5e-05,0.0003,45.931522,0.009139735507965088,302.83475637435913,25000,,,,,,,,,,,,,,,,,,,,,,,
0.0072050556,0.0,1.0804813,0.13835882,3000.0,30.0,14,300.0,9.407816,1693.1427,283.22867,-42.903,334.08957,-258.40396,3541.707,0.0,0.14949411,0.14949411,6e-05,0.0003,54.263252,0.009280003547668458,349.2349331378937,30000,,,,,,,,,,,,,,,,,,,,,,,
0.0077947914,0.0,0.7414462,0.16318478,3000.0,30.0,17,300.0,13.108076,1801.6625,321.78485,-71.13845,118.98018,-255.27385,3610.4724,0.0,0.120992735,0.120992735,6.9999995e-05,0.0003,49.413692,0.00913628807067871,394.9165325164795,35000,,,,,,,,,,,,,,,,,,,,,,,
0.0058765193,0.0,0.6881776,0.17164251,3000.0,30.0,19,300.0,30.873905,1881.6317,334.83252,-119.93005,191.29607,-161.34949,3275.9258,0.0,0.11812053,0.11812053,8e-05,0.0003,66.31594,0.009004515838623047,439.93926978111267,40000,,,,,,,,,,,,,,,,,,,,,,,
0.0062793056,0.0,0.7911831,0.14742358,3000.0,30.0,20,300.0,22.38866,1949.9733,322.90292,-176.58006,108.58067,-221.55577,3304.809,0.0,0.11663905,0.11663905,8.9999994e-05,0.0003,57.386654,0.00911640248298645,485.5214354991913,45000,,,,,,,,,,,,,,,,,,,,,,,
