training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,30000.0,300.0,0,3000.0,303.8845,3.119603,-0.40308666,-3.758718,7212.0923,-5543.032,122286.35,0.0,0.9881264,0.9881264,0.0,0.0003,3268.2637,0.008213873243331908,41.06987380981445,0,,,,,,,,,,,,,,,,,,,,,,,
0.011036111,0.0,21853394.0,0.0,30000.0,300.0,2,3000.0,30.618885,1169.8795,65.109344,-43.388744,1559.0757,-1283.4027,72370.42,0.0,0.21853393,0.21853393,1e-05,0.0003,686.23175,0.015952266883850097,120.83136677742004,5000,,,,,,,,,,,,,,,,,,,,,,,
0.0072915005,0.0,18621302.0,0.0,30000.0,300.0,4,3000.0,68.50041,2717.371,120.642365,-84.53953,2921.6292,-3531.0994,78896.73,0.0,0.18621302,0.18621302,2e-05,0.0003,627.1467,0.00933711986541748,167.51711797714233,10000,,,,,,,,,,,,,,,,,,,,,,,
0.0051044486,0.0,13853344.0,0.0,30000.0,300.0,7,3000.0,34.53819,4137.311,177.32632,-144.86803,2164.801,-2528.7559,48073.95,0.0,0.13853344,0.13853344,3e-05,0.0003,450.14365,0.00876752028465271,211.35486555099487,15000,,,,,,,,,,,,,,,,,,,,,,,
0.0045237895,0.0,17008128.0,0.0,30000.0,300.0,9,3000.0,63.75878,5347.1567,209.69165,-202.73274,3317.3918,-2767.6665,48971.54,0.0,0.17008129,0.17008129,4e-05,0.0003,574.0072,0.00889690980911255,255.83956050872803,20000,,,,,,,,,,,,,,,,,,,,,,,
0.004664094,0.0,1.5602702,0.094045654,30000.0,300.0,12,3000.0,75.113716,6332.822,316.00507,-234.192,2517.5896,-2116.8894,31623.299,0.0,0.14673662,0.14673662,5e-05,0.0003,515.32825,0.008669319725036621,299.18630361557007,25000,,,,,,,,,,,,,,,,,,,,,,,
0.005945758,0.0,1.2292913,0.1288204,30000.0,300.0,14,3000.0,65.86153,7136.0176,495.97736,-274.35046,1927.5402,-1592.6051,28817.715,0.0,0.1583578,0.1583578,6e-05,0.0003,540.94086,0.00882113037109375,343.2921018600464,30000,,,,,,,,,,,,,,,,,,,,,,,
0.0043196827,0.0,0.9264893,0.15729178,30000.0,300.0,17,3000.0,71.952286,7787.3525,519.4186,-272.27713,1762.087,-1110.1588,25450.832,0.0,0.14572915,0.14572915,6.9999995e-05,0.0003,509.14407,0.008639134407043458,386.487920999527,35000,,,,,,,,,,,,,,,,,,,,,,,
0.0067243064,0.0,0.7422451,0.16929908,30000.0,300.0,19,3000.0,127.22778,8303.124,474.2299,-336.86417,1907.3723,-1650.282,22188.299,0.0,0.1256614,0.1256614,8e-05,0.0003,504.21872,0.008648412990570068,429.73013281822205,40000,,,,,,,,,,,,,,,,,,,,,,,
0.0055685355,0.0,0.78215,0.15204056,30000.0,300.0,20,3000.0,130.75262,8718.06,547.1355,-246.83105,1406.8987,-1287.5345,22246.395,0.0,0.11891852,0.11891852,8.9999994e-05,0.0003,487.5138,0.008640458393096923,472.9325726032257,45000,,,,,,,,,,,,,,,,,,,,,,,
0.0048881257,0.0,0.6987845,0.1435869,30000.0,300.0,20,3000.0,125.69553,9052.517,491.3537,-235.29745,958.0063,-1032.5316,21613.797,0.0,0.1003363,0.1003363,1e-04,0.0003,426.7093,0.008765390253067017,516.7596666812897,50000,,,,,,,,,,,,,,,,,,,,,,,
0.0028615363,0.0,0.844967,0.13368458,30000.0,300.0,20,3000.0,217.19638,9318.06,576.5627,-240.77193,774.6811,-683.1389,22859.145,0.0,0.11295906,0.11295906,9.999385e-05,0.0003,556.0764,0.00858442177772522,559.6819167137146,55000,,,,,,,,,,,,,,,,,,,,,,,
0.003861648,0.0,0.74036187,0.12987117,30000.0,300.0,20,3000.0,118.58107,9531.4795,633.517,-286.86902,564.17206,-786.5951,17834.451,0.0,0.096151665,0.096151665,9.99754e-05,0.0003,407.03992,0.008769978284835816,603.5319473743439,60000,,,,,,,,,,,,,,,,,,,,,,,
0.0054279906,0.0,0.93158144,0.1241016,30000.0,300.0,20,3000.0,3220.5796,9707.362,692.552,-242.36314,4310.6597,-3767.9692,124253.86,0.0,0.11561075,0.11561075,9.994465e-05,0.0003,3567.4172,0.008666918182373046,646.8666775226593,65000,,,,,,,,,,,,,,,,,,,,,,,
0.0043237605,0.0,0.8742821,0.11982572,30000.0,300.0,20,3000.0,131.1571,9853.446,708.5807,-249.9877,401.63074,-348.65598,17746.78,0.0,0.10476149,0.10476149,9.990162e-05,0.0003,445.44586,0.00861309199333191,689.9322712421417,70000,,,,,,,,,,,,,,,,,,,,,,,
0.0043700375,0.0,0.89649016,0.11565328,30000.0,300.0,20,3000.0,261.20917,9997.502,601.569,-3651.2236,589.0205,-499.48065,32274.42,0.0,0.103682026,0.103682026,9.984629e-05,0.0003,572.25964,0.008708994102478027,733.4773743152618,75000,,,,,,,,,,,,,,,,,,,,,,,
0.0032921056,0.0,1.143766,0.109911196,30000.0,300.0,20,3000.0,277.70648,10090.773,904.73175,-3932.8865,449.66626,-335.10962,20696.521,0.0,0.1257127,0.1257127,9.977873e-05,0.0003,654.8479,0.008582096767425537,776.3879873752594,80000,,,,,,,,,,,,,,,,,,,,,,,
0.0033201685,0.0,0.839499,0.10758268,30000.0,300.0,20,3000.0,147.83226,10159.78,809.3068,-4081.2534,362.02884,-223.81097,16168.711,0.0,0.09031555,0.09031555,9.969891e-05,0.0003,418.78223,0.008635759592056274,819.5669136047363,85000,,,,,,,,,,,,,,,,,,,,,,,
0.0027512899,0.0,0.9633107,0.10359526,30000.0,300.0,20,3000.0,238.1419,10222.219,778.83496,-4191.5195,429.53128,-337.32745,23193.848,0.0,0.099794425,0.099794425,9.9606885e-05,0.0003,537.52795,0.008517684650421143,862.155467748642,90000,,,,,,,,,,,,,,,,,,,,,,,
0.0032176536,0.0,1.4458601,0.101546876,30000.0,300.0,20,3000.0,149.87149,10248.719,842.3053,-4276.0786,476.4838,-532.8831,26787.4,0.0,0.14682257,0.14682257,9.950265e-05,0.0003,590.3424,0.008755247354507447,905.9318325519562,95000,,,,,,,,,,,,,,,,,,,,,,,
0.002914002,0.0,1.0807234,0.099432506,30000.0,300.0,20,3000.0,208.33133,10302.184,889.77313,-3599.5369,284.83997,-380.11646,21450.732,0.0,0.10745904,0.10745904,9.938626e-05,0.0003,530.71136,0.008608824920654297,948.9760761260986,100000,,,,,,,,,,,,,,,,,,,,,,,
0.0031791127,0.0,0.9328352,0.09661492,30000.0,300.0,20,3000.0,5760.9077,10302.772,638.0995,-4389.3516,27339.959,-44355.75,783675.6,0.0,0.0901258,0.0901258,9.9257726e-05,0.0003,6031.2886,0.014492606449127197,1021.4393610954285,105000,,,,,,,,,,,,,,,,,,,,,,,
0.002717698,0.0,0.8437776,0.095896095,30000.0,300.0,20,3000.0,135.42221,10336.286,827.0942,-4437.869,628.0237,-559.2931,18584.242,0.0,0.080914974,0.080914974,9.91171e-05,0.0003,378.16986,0.009647475051879883,1069.6769840717316,110000,,,,,,,,,,,,,,,,,,,,,,,
0.004629871,0.0,1.0596247,0.09345788,30000.0,300.0,20,3000.0,158.0651,10328.737,793.2736,-4487.5747,491.20612,-266.84335,20202.953,0.0,0.09903027,0.09903027,9.896442e-05,0.0003,455.16052,0.009532683181762695,1117.3406584262848,115000,,,,,,,,,,,,,,,,,,,,,,,
0.0034495885,0.0,0.9762469,0.093277626,30000.0,300.0,20,3000.0,1055.582,10343.461,803.32446,-4499.7134,1412.1454,-1626.3851,49386.82,0.0,0.091061994,0.091061994,9.8799705e-05,0.0003,1328.7715,0.009603550672531129,1165.3586490154266,120000,,,,,,,,,,,,,,,,,,,,,,,
0.0031495588,0.0,0.74044985,0.089475416,30000.0,300.0,20,3000.0,134.64117,10340.193,885.3449,-4395.612,217.86671,-219.0593,14610.723,0.0,0.06625206,0.06625206,9.8623015e-05,0.0003,333.4005,0.009833791494369507,1214.5278487205505,125000,,,,,,,,,,,,,,,,,,,,,,,
0.0049341735,0.0,0.91475767,0.09019938,30000.0,300.0,20,3000.0,250.2484,10333.389,654.7683,-363.5471,206.85216,-246.49098,18533.543,0.0,0.082510576,0.082510576,9.843441e-05,0.0003,497.78503,0.009594767189025879,1262.5019052028656,130000,,,,,,,,,,,,,,,,,,,,,,,
0.0030382744,0.0,0.8587324,0.08889585,30000.0,300.0,20,3000.0,210.54391,10309.267,668.7379,-428.03635,337.63962,-372.54028,17544.332,0.0,0.07633775,0.07633775,9.823391e-05,0.0003,439.56018,0.009716531372070313,1311.0848157405853,135000,,,,,,,,,,,,,,,,,,,,,,,
0.0027109243,0.0,0.9103559,0.08655259,30000.0,300.0,20,3000.0,192.46628,10328.545,665.0679,-4544.48,317.70172,-265.20764,18170.486,0.0,0.07879367,0.07879367,9.8021614e-05,0.0003,428.84998,0.009888341188430787,1360.526755809784,140000,,,,,,,,,,,,,,,,,,,,,,,
0.0028514285,0.0,0.9440055,0.08624137,30000.0,300.0,20,3000.0,174.94095,10316.806,830.2838,-3252.51,215.97849,-235.06123,14532.621,0.0,0.08141233,0.08141233,9.779754e-05,0.0003,419.1808,0.009713039064407349,1409.0921721458435,145000,,,,,,,,,,,,,,,,,,,,,,,
0.003019208,0.0,0.77144104,0.08530961,30000.0,300.0,20,3000.0,176.93808,10313.358,780.55756,-4585.6333,584.85034,-629.8477,23817.246,0.0,0.065811336,0.065811336,9.756177e-05,0.0003,374.37512,0.009751558303833008,1457.850224494934,150000,,,,,,,,,,,,,,,,,,,,,,,
0.0035627692,0.0,1.1489326,0.083326116,30000.0,300.0,20,3000.0,333.22568,10307.049,629.0871,-2526.9744,337.7393,-478.12115,23165.516,0.0,0.09573609,0.09573609,9.7314376e-05,0.0003,620.4375,0.00982685546875,1506.984731912613,155000,,,,,,,,,,,,,,,,,,,,,,,
0.004081525,0.0,1.2982165,0.0813529,30000.0,300.0,20,3000.0,99.3112,10321.882,667.7368,-4572.7695,270.53943,-271.95688,14648.183,0.0,0.105613664,0.105613664,9.7055396e-05,0.0003,416.15628,0.009672461986541748,1555.3472955226898,160000,,,,,,,,,,,,,,,,,,,,,,,
0.0043429914,0.0,1.0220759,0.08010322,30000.0,300.0,20,3000.0,2376.429,10299.796,776.7289,-1981.4054,4082.0747,-4986.8657,111512.55,0.0,0.08187157,0.08187157,9.6784934e-05,0.0003,2622.048,0.00982497878074646,1604.472410440445,165000,,,,,,,,,,,,,,,,,,,,,,,
0.0030131002,0.0,1.0439897,0.07734909,30000.0,300.0,20,3000.0,193.0499,10289.263,544.28784,-247.59172,218.99854,-229.47235,17701.785,0.0,0.08075164,0.08075164,9.6503034e-05,0.0003,435.30783,0.009602346515655518,1652.484390258789,170000,,,,,,,,,,,,,,,,,,,,,,,
0.0028909033,0.0,0.74843216,0.074903935,30000.0,300.0,20,3000.0,112.125305,10299.384,710.9817,-1405.1359,255.52039,-305.2074,15388.866,0.0,0.056060515,0.056060515,9.62098e-05,0.0003,280.30975,0.009740286254882812,1701.1860682964325,175000,,,,,,,,,,,,,,,,,,,,,,,
0.001881,0.0,0.9712557,0.07650721,30000.0,300.0,20,3000.0,498.67905,10292.756,797.1194,-1068.9196,1457.1455,-780.44366,37242.82,0.0,0.07430807,0.07430807,9.59053e-05,0.0003,721.60516,0.009771667575836182,1750.0446345806122,180000,,,,,,,,,,,,,,,,,,,,,,,
0.0027970495,0.0,0.920193,0.073710166,30000.0,300.0,20,3000.0,324.99213,10278.085,675.81665,-4106.663,852.5049,-513.9808,37160.035,0.0,0.06782758,0.06782758,9.558961e-05,0.0003,528.47766,0.009818473720550537,1799.1372244358063,185000,,,,,,,,,,,,,,,,,,,,,,,
0.0031527502,0.0,1.005357,0.07243437,30000.0,300.0,20,3000.0,129.35954,10280.177,771.8926,-677.4901,458.25848,-1002.3423,18240.457,0.0,0.07282241,0.07282241,9.526282e-05,0.0003,347.82993,0.009630060052871705,1847.2877407073975,190000,,,,,,,,,,,,,,,,,,,,,,,
0.0045307335,0.0,1.3132962,0.07171701,30000.0,300.0,20,3000.0,124.862236,10276.77,885.6864,-328.2839,257.16553,-257.54355,16829.16,0.0,0.09418568,0.09418568,9.4925024e-05,0.0003,407.4238,0.009583901166915893,1895.2074460983276,195000,,,,,,,,,,,,,,,,,,,,,,,
0.002887994,0.0,1.0893013,0.07168314,30000.0,300.0,20,3000.0,69.92637,6775.0786,501.997,-377.41257,233.74556,-176.43774,13757.893,0.0,0.07808454,0.07808454,9.457632e-05,0.0003,304.1829,0.009402525949478149,1942.220293521881,200000,,,,,,,,,,,,,,,,,,,,,,,
0.0023313311,0.0,1.2116297,0.07146552,30000.0,300.0,20,3000.0,31.62556,10263.977,599.06885,-3629.6533,288.1102,-364.75983,13256.405,0.0,0.08658975,0.08658975,9.42168e-05,0.0003,291.39716,0.014106909894943237,2012.7550137043,205000,,,,,,,,,,,,,,,,,,,,,,,
0.003099278,0.0,0.9489043,0.071544506,30000.0,300.0,20,3000.0,48.539204,10271.505,882.6455,-3466.2092,559.85364,-534.14307,15577.67,0.0,0.067888886,0.067888886,9.384654e-05,0.0003,252.20895,0.009344869089126587,2059.479551553726,210000,,,,,,,,,,,,,,,,,,,,,,,
0.0026945788,0.0,1.1281524,0.069753654,30000.0,300.0,20,3000.0,35.71691,10265.671,828.688,-214.57867,478.87854,-473.79077,14674.742,0.0,0.07869275,0.07869275,9.346567e-05,0.0003,271.79785,0.009332965707778931,2106.14457821846,215000,,,,,,,,,,,,,,,,,,,,,,,
0.0029262162,0.0,0.9076841,0.06915884,30000.0,300.0,20,3000.0,160.61671,10247.364,638.1412,-3182.918,423.33972,-430.3217,15065.25,0.0,0.062774375,0.062774375,9.30743e-05,0.0003,348.94275,0.009580274105072022,2154.0461468696594,220000,,,,,,,,,,,,,,,,,,,,,,,
0.0032170606,0.0,1.3226724,0.07021617,30000.0,300.0,20,3000.0,145.52518,10262.938,720.0786,-310.3576,455.903,-361.36142,16583.904,0.0,0.09287299,0.09287299,9.267249e-05,0.0003,424.1474,0.009422404527664184,2201.158340215683,225000,,,,,,,,,,,,,,,,,,,,,,,
0.003173359,0.0,1.1487583,0.06957278,30000.0,300.0,20,3000.0,88.16252,10252.11,516.9142,-213.30722,200.40092,-249.71127,14465.389,0.0,0.0799223,0.0799223,9.2260394e-05,0.0003,327.93262,0.009523392820358276,2248.775497198105,230000,,,,,,,,,,,,,,,,,,,,,,,
0.0026861483,0.0,0.7300603,0.06863846,30000.0,300.0,20,3000.0,203.56744,10240.25,510.63217,-2639.0493,257.15573,-324.42752,19904.21,0.0,0.050110213,0.050110213,9.183811e-05,0.0003,353.90076,0.009478059768676758,2296.1659936904907,235000,,,,,,,,,,,,,,,,,,,,,,,
0.002156557,0.0,1.0255753,0.06925264,30000.0,300.0,20,3000.0,65.049286,10263.243,832.34454,-313.94867,250.78152,-291.06186,11165.28,0.0,0.0710238,0.0710238,9.1405775e-05,0.0003,278.12283,0.009359839630126952,2342.965372800827,240000,,,,,,,,,,,,,,,,,,,,,,,
0.0026093174,0.0,1.0125983,0.068112195,30000.0,300.0,20,3000.0,279.77548,10250.099,628.17554,-322.41916,477.7944,-507.14374,18988.098,0.0,0.06897029,0.06897029,9.0963455e-05,0.0003,486.68896,0.00948902235031128,2390.4106934070587,245000,,,,,,,,,,,,,,,,,,,,,,,
0.0028642337,0.0,0.7771275,0.068056814,30000.0,300.0,20,3000.0,190.16333,10268.088,642.0758,-1987.0472,185.63626,-231.23941,16035.649,0.0,0.052888826,0.052888826,9.051133e-05,0.0003,348.83267,0.009278588771820069,2436.803831100464,250000,,,,,,,,,,,,,,,,,,,,,,,
0.0021905522,0.0,0.946802,0.067349814,30000.0,300.0,20,3000.0,88.65759,10262.266,681.6964,-174.64937,167.14621,-154.35037,12348.427,0.0,0.06376694,0.06376694,9.004948e-05,0.0003,279.9606,0.009316352367401123,2483.3857634067535,255000,,,,,,,,,,,,,,,,,,,,,,,
0.002205597,0.0,0.9852684,0.06622219,30000.0,300.0,20,3000.0,462.9042,10267.645,755.8519,-1543.1063,2054.4932,-1410.8116,61284.305,0.0,0.065246634,0.065246634,8.9578054e-05,0.0003,658.6463,0.009466115808486938,2530.716514825821,260000,,,,,,,,,,,,,,,,,,,,,,,
0.0031298369,0.0,1.1166058,0.06311806,30000.0,300.0,20,3000.0,70.26686,10264.799,819.8949,-170.4123,325.83035,-337.7293,13256.557,0.0,0.07047799,0.07047799,8.909717e-05,0.0003,281.70398,0.009268013381958007,2577.05676817894,265000,,,,,,,,,,,,,,,,,,,,,,,
0.0031651217,0.0,1.0702696,0.06309374,30000.0,300.0,20,3000.0,72.23303,10245.8125,794.77844,-294.1279,384.41144,-375.50922,17006.719,0.0,0.06752731,0.06752731,8.860696e-05,0.0003,274.8181,0.009402557134628295,2624.0697286129,270000,,,,,,,,,,,,,,,,,,,,,,,
0.0027986881,0.0,1.1889851,0.06274655,30000.0,300.0,20,3000.0,49.70761,10261.42,896.4608,-168.5386,315.65375,-323.088,14942.995,0.0,0.07460471,0.07460471,8.810758e-05,0.0003,273.52454,0.009291555976867675,2670.5276753902435,275000,,,,,,,,,,,,,,,,,,,,,,,
0.0031402325,0.0,0.98555315,0.062037837,30000.0,300.0,20,3000.0,80.71414,10251.488,646.50757,-250.64575,368.34216,-291.07837,13466.049,0.0,0.061141588,0.061141588,8.759914e-05,0.0003,264.14203,0.009436506128311158,2717.7103955745697,280000,,,,,,,,,,,,,,,,,,,,,,,
0.0022999519,0.0,1.1110697,0.061475005,30000.0,300.0,20,3000.0,69.43039,10258.034,645.6415,-239.89584,452.02567,-455.85297,15382.601,0.0,0.06830301,0.06830301,8.708179e-05,0.0003,274.3417,0.009245802450180054,2763.9395983219147,285000,,,,,,,,,,,,,,,,,,,,,,,
0.0026277453,0.0,0.979637,0.06101476,30000.0,300.0,20,3000.0,137.43506,10243.898,675.5957,-306.87076,171.83675,-232.16861,13587.743,0.0,0.05977232,0.05977232,8.655565e-05,0.0003,316.75464,0.009268434190750121,2810.2819657325745,290000,,,,,,,,,,,,,,,,,,,,,,,
0.002483786,0.0,1.0302608,0.062097292,30000.0,300.0,20,3000.0,146.46391,10236.315,694.5618,-304.56934,303.8212,-305.87186,14742.063,0.0,0.06397641,0.06397641,8.602091e-05,0.0003,338.39563,0.009274221801757812,2856.653193473816,295000,,,,,,,,,,,,,,,,,,,,,,,
0.004189001,0.0,1.2242783,0.060499527,30000.0,300.0,20,3000.0,77.77814,10231.48,568.0125,-164.49283,211.24165,-208.71968,14371.025,0.0,0.07406826,0.07406826,8.547767e-05,0.0003,299.98712,0.009203723192214967,2902.6719138622284,300000,,,,,,,,,,,,,,,,,,,,,,,
0.0025904041,0.0,0.9873876,0.06265778,30000.0,300.0,20,3000.0,83.81685,10253.074,867.91016,-989.9087,243.24057,-169.8581,12254.805,0.0,0.061867513,0.061867513,8.49261e-05,0.0003,269.422,0.014645581769943237,2975.900111436844,305000,,,,,,,,,,,,,,,,,,,,,,,
0.0027808538,0.0,0.86707336,0.0625469,30000.0,300.0,20,3000.0,33.089622,10354.0625,755.46484,-297.22235,448.89697,-451.04843,12088.73,0.0,0.054232754,0.054232754,8.436636e-05,0.0003,195.79066,0.009868320751190186,3025.2419962882996,310000,,,,,,,,,,,,,,,,,,,,,,,
0.0025538465,0.0,0.9019224,0.061642926,30000.0,300.0,20,3000.0,38.26979,10521.493,749.00507,-308.61102,266.64297,-465.0965,10500.81,0.0,0.055597134,0.055597134,8.3798586e-05,0.0003,205.06374,0.009997486686706542,3075.229683160782,315000,,,,,,,,,,,,,,,,,,,,,,,
0.0028011817,0.0,0.97779065,0.060034394,30000.0,300.0,20,3000.0,47.853565,10210.987,656.3788,-265.33087,190.86661,-184.05246,10700.619,0.0,0.058701072,0.058701072,8.322294e-05,0.0003,223.95958,0.009907540988922119,3124.7676482200623,320000,,,,,,,,,,,,,,,,,,,,,,,
0.0027350367,0.0,1.1261901,0.06006689,30000.0,300.0,20,3000.0,45.039413,6802.5005,534.4976,-298.1123,196.20921,-193.79364,12413.89,0.0,0.067646734,0.067646734,8.263957e-05,0.0003,247.98235,0.010021126508712768,3174.8735258579254,325000,,,,,,,,,,,,,,,,,,,,,,,
0.0032650235,0.0,0.98973274,0.060487647,30000.0,300.0,20,3000.0,46.3236,10237.081,568.1851,-215.54062,204.38994,-217.11015,11363.321,0.0,0.059866607,0.059866607,8.2048646e-05,0.0003,225.9267,0.009841528987884521,3224.0813858509064,330000,,,,,,,,,,,,,,,,,,,,,,,
0.0022277578,0.0,1.0038888,0.059665944,30000.0,300.0,20,3000.0,31.765541,10225.013,838.84424,-865.8023,459.81213,-312.65634,11100.055,0.0,0.059897978,0.059897978,8.1450344e-05,0.0003,211.4617,0.009702313423156738,3272.5932047367096,335000,,,,,,,,,,,,,,,,,,,,,,,
0.0025811717,0.0,0.79033554,0.05940274,30000.0,300.0,20,3000.0,52.460648,10046.862,527.1992,-203.89757,195.18086,-190.80869,11723.842,0.0,0.046948098,0.046948098,8.0844795e-05,0.0003,193.30753,0.009758025455474854,3321.3835830688477,340000,,,,,,,,,,,,,,,,,,,,,,,
0.0021300088,0.0,0.912323,0.057320286,30000.0,300.0,20,3000.0,82.33754,10233.476,636.7786,-149.5827,316.90567,-380.51678,18014.828,0.0,0.052294612,0.052294612,8.0232174e-05,0.0003,239.22351,0.009823358345031738,3370.5006136894226,345000,,,,,,,,,,,,,,,,,,,,,,,
0.0021316817,0.0,0.99442023,0.05641477,30000.0,300.0,20,3000.0,41.281746,9524.809,660.68567,-4652.9863,381.20035,-423.1466,16856.023,0.0,0.05609999,0.05609999,7.961267e-05,0.0003,209.58385,0.009938039970397949,3420.1910610198975,350000,,,,,,,,,,,,,,,,,,,,,,,
0.0027446605,0.0,0.78823507,0.057549734,30000.0,300.0,20,3000.0,79.70961,10236.137,632.675,-264.4364,435.56174,-300.66763,14514.843,0.0,0.045362715,0.045362715,7.898643e-05,0.0003,215.8005,0.009769475412368774,3469.038688182831,355000,,,,,,,,,,,,,,,,,,,,,,,
