training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,3000.0,30.0,0,300.0,1529.8123,3.855505,-0.030703232,-3.0409393,711.37463,-726.00366,19921.398,0.0,1.3777595,1.3777595,0.0,0.0003,1943.1401,0.008232958841323853,41.16506028175354,0,,,,,,,,,,,,,,,,,,,,,,,
0.02762871,0.0,21921778.0,0.0,3000.0,30.0,2,300.0,1070.5767,989.93066,473.86835,-7.184995,2157.6023,-1710.1194,59012.387,0.0,0.21921778,0.21921778,1e-05,0.0003,1136.3696,0.012535549259185791,103.84298658370972,5000,,,,,,,,,,,,,,,,,,,,,,,
0.010916807,0.0,17328996.0,0.0,3000.0,30.0,4,300.0,904.8335,2044.6901,1041.463,-3.3467834,762.96564,-608.4263,52494.5,0.0,0.17328997,0.17328997,2e-05,0.0003,956.8314,0.009398300743103027,150.83467864990234,10000,,,,,,,,,,,,,,,,,,,,,,,
0.014493046,0.0,11645354.0,0.0,3000.0,30.0,7,300.0,9187.334,3026.013,1532.8903,-8.928431,15809.219,-14171.075,319906.94,0.0,0.11645354,0.11645354,3e-05,0.0003,9222.285,0.009267120218276978,197.17047715187073,15000,,,,,,,,,,,,,,,,,,,,,,,
0.015228674,0.0,12738511.0,0.0,3000.0,30.0,9,300.0,14602.664,3839.071,2030.553,-62.818233,37211.715,-45196.066,1042734.75,0.0,0.12738511,0.12738511,4e-05,0.0003,14640.8955,0.009343636226654052,243.88885164260864,20000,,,,,,,,,,,,,,,,,,,,,,,
0.016347278,0.0,1.0866592,0.08696904,3000.0,30.0,12,300.0,15157.096,4493.5225,2355.2798,-150.69931,15836.3955,-17456.527,460518.56,0.0,0.09450571,0.09450571,5e-05,0.0003,15185.464,0.008781360578536988,287.79583168029785,25000,,,,,,,,,,,,,,,,,,,,,,,
0.01003888,0.0,0.8795903,0.11730832,3000.0,30.0,14,300.0,15273.125,5020.319,2706.8784,-245.60461,39527.336,-38731.44,823745.25,0.0,0.103183255,0.103183255,6e-05,0.0003,15304.09,0.008946521711349487,332.5286138057709,30000,,,,,,,,,,,,,,,,,,,,,,,
0.01282015,0.0,0.7279131,0.13594618,3000.0,30.0,17,300.0,8281.08,5442.0977,2908.1013,-330.43057,43025.8,-40409.914,920230.5,0.0,0.098957,0.098957,6.9999995e-05,0.0003,8310.78,0.008791125869750976,376.4844162464142,35000,,,,,,,,,,,,,,,,,,,,,,,
0.010214688,0.0,0.5114564,0.14000241,3000.0,30.0,19,300.0,10951.348,5778.341,3116.8032,-420.6832,11567.394,-10773.388,417517.8,0.0,0.07160512,0.07160512,8e-05,0.0003,10972.839,0.008860519075393676,420.78718614578247,40000,,,,,,,,,,,,,,,,,,,,,,,
0.009615423,0.0,0.48229778,0.11711301,3000.0,30.0,20,300.0,16493.555,6058.538,3274.3848,-1647.8031,10529.303,-9448.043,322817.94,0.0,0.056483343,0.056483343,8.9999994e-05,0.0003,16510.51,0.008522192859649658,463.3983254432678,45000,,,,,,,,,,,,,,,,,,,,,,,
