training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,3000.0,30.0,0,300.0,123.27342,2.7388878,0.11780077,-3.5862422,549.9778,-541.2335,9472.4375,0.0,0.8926925,0.8926925,0.0,0.0003,391.08118,0.008015937089920044,40.08010458946228,0,,,,,,,,,,,,,,,,,,,,,,,
0.0086796535,0.0,24941282.0,0.0,3000.0,30.0,2,300.0,8.015715,695.8665,117.78964,-5.1349382,110.64778,-136.74031,6638.595,0.0,0.24941282,0.24941282,1e-05,0.0003,82.848236,0.015808491373062134,119.12275505065918,5000,,,,,,,,,,,,,,,,,,,,,,,
0.007030469,0.0,20191320.0,0.0,3000.0,30.0,4,300.0,9.041132,1251.0245,233.98038,-6.5305066,136.40643,-158.26877,6275.8237,0.0,0.20191321,0.20191321,2e-05,0.0003,69.62212,0.009299202489852906,165.61896324157715,10000,,,,,,,,,,,,,,,,,,,,,,,
0.006999368,0.0,18940698.0,0.0,3000.0,30.0,7,300.0,33.26191,1679.6483,363.10315,-9.604211,79.01511,-95.09835,6011.8877,0.0,0.18940698,0.18940698,3e-05,0.0003,90.091,0.009345610761642456,212.34719705581665,15000,,,,,,,,,,,,,,,,,,,,,,,
0.0063382904,0.0,17837296.0,0.0,3000.0,30.0,9,300.0,38.78456,2013.4075,460.85492,-13.643028,132.07446,-157.54625,5593.614,0.0,0.17837296,0.17837296,4e-05,0.0003,92.302795,0.009220249652862549,258.4486255645752,20000,,,,,,,,,,,,,,,,,,,,,,,
0.007056812,0.0,1.4569157,0.10621019,3000.0,30.0,12,300.0,218.21706,2276.1743,648.72876,-18.050724,228.10753,-258.78445,11968.908,0.0,0.15473929,0.15473929,5e-05,0.0003,264.6459,0.008979977750778198,303.3486874103546,25000,,,,,,,,,,,,,,,,,,,,,,,
0.008142828,0.0,1.2422205,0.14365934,3000.0,30.0,14,300.0,116.13846,2480.9226,686.30676,-23.554665,143.45863,-142.6223,6900.9785,0.0,0.17845657,0.17845657,6e-05,0.0003,169.68356,0.009167207622528076,349.18489170074463,30000,,,,,,,,,,,,,,,,,,,,,,,
0.004740584,0.0,0.86750305,0.17671856,3000.0,30.0,17,300.0,129.9245,2644.3357,753.0271,-22.701052,128.49475,-64.04068,5929.699,0.0,0.15330389,0.15330389,6.9999995e-05,0.0003,175.92041,0.008989810276031494,394.13412523269653,35000,,,,,,,,,,,,,,,,,,,,,,,
0.005143254,0.0,0.7595421,0.19144271,3000.0,30.0,19,300.0,245.61276,2774.3135,893.3044,-31.571043,233.45116,-256.7616,10705.554,0.0,0.14540881,0.14540881,8e-05,0.0003,289.24054,0.009011419582366943,439.19139099121094,40000,,,,,,,,,,,,,,,,,,,,,,,
0.006356263,0.0,0.83587646,0.17191865,3000.0,30.0,20,300.0,102.977295,2877.9128,1042.2863,-47.431656,97.303085,-78.61333,5709.7227,0.0,0.14370275,0.14370275,8.9999994e-05,0.0003,146.09448,0.008948726844787598,483.9351878166199,45000,,,,,,,,,,,,,,,,,,,,,,,
